=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Tron,"$4,688,004,840",3.38%,7.52%,🔥 資金暴衝
Sui,"$989,080,746",2.65%,6.84%,🚀 加速流入
Base,"$4,726,871,630",1.75%,6.78%,🚀 加速流入
Bitcoin,"$7,097,555,957",1.50%,3.99%,🚀 加速流入
OP Mainnet,"$304,782,210",1.50%,3.83%,🚀 加速流入
Solana,"$8,733,640,837",1.47%,4.41%,🚀 加速流入
Avalanche,"$1,329,838,400",1.41%,4.85%,🚀 加速流入
Aptos,"$450,165,935",1.39%,2.44%,🚀 加速流入
Cronos,"$385,903,990",1.38%,4.47%,🚀 加速流入
Arbitrum,"$3,052,206,506",0.88%,7.66%,🟢 穩健增長
Hyperliquid L1,"$1,424,757,785",0.81%,-3.65%,🟢 穩健增長
Vaulta,"$387,592,910",0.63%,2.32%,🚀 加速流入
Ethereum,"$72,681,344,644",0.62%,5.99%,🟢 穩健增長
BSC,"$6,774,629,553",0.43%,5.57%,🚀 加速流入
Polygon,"$1,093,406,066",-0.44%,-6.35%,🚀 加速流入

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
tron,PEPE,$0.011310,-17.90%,"$371,260","$658,550",0.56,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,SUNDOG,$0.009814,4.55%,"$38,300","$923,090",0.04,https://dexscreener.com/tron/tdr7rpu33htog8qo9i676v56bzcjkpjqox
tron,OSP,$1.690000,13.48%,"$77,081","$3,397,544",0.02,https://dexscreener.com/tron/tsqxeoxd6qwhunblj9slq7p8wy59oabuf8
tron,BTT,$0.000000,2.90%,"$58,960","$4,180,831",0.01,https://dexscreener.com/tron/tlkyq7ej4ykbs3tgevobjwkaxwyqkwo2nn
tron,SUN,$0.019820,2.33%,"$39,031","$5,442,960",0.01,https://dexscreener.com/tron/ttdecobmyxhffbyuzbiqqbz56zrfkse5dg
sui,MAGMA,$0.146700,-0.22%,"$1,553,873","$198,451",7.83,https://dexscreener.com/sui/0x9aedfbd1a64798b83a0d70d4432327c6372207aa2ff60ed828b799a634054411
sui,DEEP,$0.039640,1.79%,"$312,907","$110,635",2.83,https://dexscreener.com/sui/0xd978d331772a5b90d5a4781e1232d18afd12019d0c35db79e3674beeda8f9126
sui,WAL,$0.134600,0.43%,"$183,677","$133,313",1.38,https://dexscreener.com/sui/0xf4238fa592c9ed7f148fd091cb2c4147cb15ad81b797115ce42971923ebf6e4c
sui,IKA,$0.008132,2.12%,"$84,943","$124,663",0.68,https://dexscreener.com/sui/0xc23e7e8a74f0b18af4dfb7c3280e2a56916ec4d41e14416f85184a8aab6b7789
sui,US,$0.006344,1.18%,"$365,585","$629,826",0.58,https://dexscreener.com/sui/0x968f1f73b8e766e2ce0198c807d0c956aa384bfe64c98a18e56bfb970a13e7bb
base,VIRTUAL,$0.862300,3.00%,"$7,667,996","$691,950",11.08,https://dexscreener.com/base/0x3f0296bf652e19bca772ec3df08b32732f93014a
base,ZORA,$0.042550,2.05%,"$2,084,268","$512,377",4.07,https://dexscreener.com/base/0x3f53f1fd5b7723ddf38d93a584d280b9b94c3111
base,BNKR,$0.000197,10.98%,"$368,661","$117,423",3.14,https://dexscreener.com/base/0xcdd442e2de893c07146b2f1072f8e077559f9aa4
base,RECALL,$0.112100,2.42%,"$1,434,889","$619,882",2.31,https://dexscreener.com/base/0x5e3791f68ebceac82788f3becab154c15141a2f4
base,CLANKER,$33.920000,1.01%,"$701,601","$322,270",2.18,https://dexscreener.com/base/0xd23fe2db317e1a96454a2d1c7e8fc0dbf19bb000
optimism,VELO,$0.022370,4.83%,"$9,542","$111,678",0.09,https://dexscreener.com/optimism/0x8134a2fdc127549480865fb8e5a9e8a8a95a54c5
optimism,MOOBIFI,$189.240000,0.75%,"$3,232","$344,344",0.01,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,RING,$0.005307,2.59%,"$2,034","$282,482",0.01,https://dexscreener.com/optimism/0x69a9b0f791507c50b413d24abb761acb5ac52728
