=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Tron,"$4,688,004,840",3.38%,7.52%,🔥 資金暴衝
Sui,"$989,080,746",2.65%,6.84%,🚀 加速流入
Base,"$4,726,871,630",1.75%,6.78%,🚀 加速流入
Solana,"$8,733,640,837",1.47%,4.41%,🚀 加速流入
Avalanche,"$1,329,838,400",1.41%,4.85%,🚀 加速流入
Aptos,"$450,165,935",1.39%,2.44%,🚀 加速流入
Ethereum,"$72,773,001,009",0.75%,6.12%,🟢 穩健增長
Polygon,"$1,092,465,083",-0.52%,-6.43%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
aptos,XBTC,$91670.620000,2.42%,"$12,932","$194,836",0.07,https://dexscreener.com/aptos/0xd8a280a4e308f72547a02a48b2ec0cb661dc72ed10565f116a6c7059ada9aa6e-0xa-0x81214a80d82035a190fcb76b6ff3c0145161c3a9f33d137f2bbaee4cfec8a387
aptos,AMI,$0.010370,0.61%,"$7,003","$143,426",0.05,https://dexscreener.com/aptos/0x4a34ac7b916cc941530a99dfc0de27843bf20eba5e580f5c93d0a21e3bcb3464
aptos,GUI,$0.000001,0.83%,"$3,349","$75,240",0.04,https://dexscreener.com/aptos/pcs-1137
aptos,KGEN,$0.208800,-1.47%,"$2,778","$138,688",0.02,https://dexscreener.com/aptos/0x7f04db632793b77d784ce9518248f8956dcd6f5bba74a73d17843a73e0ec9010-0xa-0x2a8227993a4e38537a57caefe5e7e9a51327bf6cd732c1f56648f26f68304ebc
aptos,STAPT,$2.240000,3.41%,$531,"$63,230",0.01,https://dexscreener.com/aptos/liquidswapv0p5-2044
ethereum,ETHEREUM,$0.000151,1.80%,$148,"$104,533",0.00,https://dexscreener.com/ethereum/0x5f538e4a8d8c833aa9e7a926a99a3b415bb029ef
polygon,AAVE,$161.980000,0.26%,"$23,783","$98,032",0.24,https://dexscreener.com/polygon/0xa9077cdb3d13f45b8b9d87c43e11bce0e73d8631
polygon,A3,$0.137900,1.88%,"$44,089","$573,149",0.08,https://dexscreener.com/polygon/0xab9a56db85acf736980958c2a369ec4bbbf83072
polygon,TTAJ,$0.002691,0.96%,"$7,647","$135,737",0.06,https://dexscreener.com/polygon/0xa6a2d598365cd758ba0a72cd95b7f8805248a5d5
polygon,BET,$0.000295,3.67%,"$10,678","$286,970",0.04,https://dexscreener.com/polygon/0xda67d7c01c4c8f757c105c0890d94ac489952cd5
polygon,ONLIVE,$0.000229,1.05%,"$1,473","$56,607",0.03,https://dexscreener.com/polygon/0xb2c60f199f2f0ae7ef7b7923fffa24b181e7e187
