=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Tron,"$4,691,774,240",3.46%,7.61%,🔥 資金暴衝
Sui,"$988,427,003",2.59%,6.77%,🚀 加速流入
Avalanche,"$1,334,550,752",1.77%,5.22%,🚀 加速流入
OP Mainnet,"$305,452,231",1.72%,4.06%,🚀 加速流入
Cronos,"$386,756,731",1.61%,4.70%,🚀 加速流入
Bitcoin,"$7,089,374,756",1.39%,3.87%,🚀 加速流入
Solana,"$8,725,480,115",1.38%,4.31%,🚀 加速流入
Aptos,"$449,824,457",1.32%,2.36%,🚀 加速流入
Base,"$4,688,182,071",0.92%,5.90%,🚀 加速流入
Arbitrum,"$3,052,026,511",0.87%,7.66%,🟢 穩健增長
Hyperliquid L1,"$1,423,780,958",0.74%,-3.72%,🟢 穩健增長
Vaulta,"$387,495,968",0.61%,2.29%,🚀 加速流入
Ethereum,"$72,652,317,868",0.58%,5.95%,🟢 穩健增長
BSC,"$6,774,733,227",0.43%,5.58%,🟢 穩健增長
Mantle,"$336,295,532",0.17%,0.29%,🚀 加速流入
Polygon,"$1,092,835,993",-0.49%,-6.40%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
tron,PEPE,$0.010410,-24.48%,"$417,313","$632,071",0.66,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,SUNDOG,$0.010110,7.66%,"$44,308","$937,598",0.05,https://dexscreener.com/tron/tdr7rpu33htog8qo9i676v56bzcjkpjqox
tron,OSP,$1.690000,13.56%,"$77,019","$3,390,111",0.02,https://dexscreener.com/tron/tsqxeoxd6qwhunblj9slq7p8wy59oabuf8
tron,BTT,$0.000000,2.91%,"$59,081","$4,181,021",0.01,https://dexscreener.com/tron/tlkyq7ej4ykbs3tgevobjwkaxwyqkwo2nn
tron,SUN,$0.019820,2.20%,"$36,982","$5,442,801",0.01,https://dexscreener.com/tron/ttdecobmyxhffbyuzbiqqbz56zrfkse5dg
sui,MAGMA,$0.142900,0.17%,"$1,513,063","$196,158",7.71,https://dexscreener.com/sui/0x9aedfbd1a64798b83a0d70d4432327c6372207aa2ff60ed828b799a634054411
sui,DEEP,$0.039850,2.38%,"$298,963","$110,741",2.70,https://dexscreener.com/sui/0xd978d331772a5b90d5a4781e1232d18afd12019d0c35db79e3674beeda8f9126
sui,WAL,$0.134800,1.11%,"$182,538","$128,702",1.42,https://dexscreener.com/sui/0xf4238fa592c9ed7f148fd091cb2c4147cb15ad81b797115ce42971923ebf6e4c
sui,IKA,$0.008189,-0.08%,"$73,950","$125,401",0.59,https://dexscreener.com/sui/0xc23e7e8a74f0b18af4dfb7c3280e2a56916ec4d41e14416f85184a8aab6b7789
sui,US,$0.006284,1.80%,"$338,732","$626,226",0.54,https://dexscreener.com/sui/0x968f1f73b8e766e2ce0198c807d0c956aa384bfe64c98a18e56bfb970a13e7bb
avalanche,AUSD,$1.000300,0.00%,"$12,097,547","$2,178,355",5.55,https://dexscreener.com/avalanche/0xcec377285abf370fdf872625d2742252656d631a
avalanche,GUN,$0.014180,18.11%,"$290,541","$318,296",0.91,https://dexscreener.com/avalanche/0xbd26e663281fb35d4757219eb180f02e8a065c09
avalanche,ARENA,$0.002039,0.35%,"$153,547","$311,052",0.49,https://dexscreener.com/avalanche/0xa78c3e56afb8d34a536825e2497255e78b388619
avalanche,FOLKS,$4.022000,-0.65%,"$29,616","$62,285",0.48,https://dexscreener.com/avalanche/0xb3dc87bd570d8deaa960763234ef3d93cc789e6c
avalanche,SAVAX,$17.460000,1.57%,"$222,719","$599,324",0.37,https://dexscreener.com/avalanche/0x883ea72c2a46f7acb3820855344c43666c6cc5c0
optimism,VELO,$0.022280,5.01%,"$9,497","$111,467",0.09,https://dexscreener.com/optimism/0x8134a2fdc127549480865fb8e5a9e8a8a95a54c5
optimism,MOOBIFI,$188.720000,0.22%,"$3,745","$343,745",0.01,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,RING,$0.005294,2.35%,"$2,045","$281,839",0.01,https://dexscreener.com/optimism/0x69a9b0f791507c50b413d24abb761acb5ac52728
optimism,TAROT,$0.051110,1.71%,"$2,436","$447,895",0.01,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
optimism,OPP,$0.000387,1.67%,$617,"$161,229",0.00,https://dexscreener.com/optimism/0x62191c893df8d26ac295ba1274a00975dc07190c
cronos,PEPE,$0.000007,11.94%,"$12,533","$95,348",0.13,https://dexscreener.com/cronos/0xb90d6e09075168281d47da6f0665ff4fd8f0ff6f
cronos,FER,$0.000386,0.54%,"$11,247","$95,294",0.12,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,VNO,$0.008331,4.51%,"$10,110","$290,191",0.03,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
cronos,DOGE,$0.152600,8.52%,"$1,596","$62,065",0.03,https://dexscreener.com/cronos/0x2c30327a7ce35b9294ecf8624d1eda001b9e337f
cronos,CROID,$0.010240,6.66%,"$2,508","$136,472",0.02,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
solana,LIBERTADOR,$0.000115,95.50%,"$5,490,028","$34,849",157.54,https://dexscreener.com/solana/7z93mgwkcbplnshxpt6hmjbrrvblsj7vqfaphdngochb
solana,AMERICA,$0.000097,63.61%,"$3,914,594","$35,120",111.46,https://dexscreener.com/solana/hkehmgtbympmnxjktlxswcmha4qziwnh6n7plmyuuux6
