=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Tron,"$4,674,693,765",3.09%,7.22%,🔥 資金暴衝
Sui,"$989,243,476",2.67%,6.86%,🚀 加速流入
OP Mainnet,"$305,859,133",1.86%,4.20%,🚀 加速流入
Avalanche,"$1,334,550,752",1.77%,5.22%,🚀 加速流入
Cronos,"$386,756,731",1.61%,4.70%,🚀 加速流入
Bitcoin,"$7,094,167,750",1.45%,3.94%,🚀 加速流入
Solana,"$8,725,894,775",1.38%,4.32%,🚀 加速流入
Aptos,"$449,419,423",1.23%,2.27%,🚀 加速流入
Base,"$4,688,182,071",0.92%,5.90%,🚀 加速流入
Arbitrum,"$3,048,783,220",0.76%,7.54%,🟢 穩健增長
Ethereum,"$72,652,317,868",0.58%,5.95%,🟢 穩健增長
Vaulta,"$387,309,063",0.56%,2.24%,🚀 加速流入
Hyperliquid L1,"$1,420,589,617",0.51%,-3.93%,🟢 穩健增長
BSC,"$6,767,275,711",0.32%,5.46%,🟢 穩健增長
Mantle,"$336,453,486",0.21%,0.34%,🚀 加速流入
Polygon,"$1,091,967,964",-0.57%,-6.47%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
tron,PEPE,$0.010540,-23.49%,"$425,191","$635,804",0.67,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,AIT,$0.814500,2.01%,"$22,106","$198,539",0.11,https://dexscreener.com/tron/tenhghfwidt8roey6gtyymgrk8v7njspap
tron,EAT,$0.000441,0.00%,"$9,041","$137,319",0.07,https://dexscreener.com/tron/tyyp4ybbzx2vaifaihwgdztvwyjaao2mu2
tron,SUNDOG,$0.010040,6.98%,"$45,465","$933,996",0.05,https://dexscreener.com/tron/tdr7rpu33htog8qo9i676v56bzcjkpjqox
tron,WIN,$0.000028,3.70%,"$48,500","$1,625,812",0.03,https://dexscreener.com/tron/tc1ghhc5igfluuuthriuuu183p8ywpmqsk
sui,MAGMA,$0.138000,-1.77%,"$1,521,748","$192,960",7.89,https://dexscreener.com/sui/0x9aedfbd1a64798b83a0d70d4432327c6372207aa2ff60ed828b799a634054411
sui,DEEP,$0.040000,1.45%,"$299,037","$112,471",2.66,https://dexscreener.com/sui/0xd978d331772a5b90d5a4781e1232d18afd12019d0c35db79e3674beeda8f9126
sui,WAL,$0.135300,0.11%,"$178,861","$130,357",1.37,https://dexscreener.com/sui/0xf4238fa592c9ed7f148fd091cb2c4147cb15ad81b797115ce42971923ebf6e4c
sui,IKA,$0.008131,-1.29%,"$73,968","$125,187",0.59,https://dexscreener.com/sui/0xc23e7e8a74f0b18af4dfb7c3280e2a56916ec4d41e14416f85184a8aab6b7789
sui,US,$0.006285,1.29%,"$334,265","$626,252",0.53,https://dexscreener.com/sui/0x968f1f73b8e766e2ce0198c807d0c956aa384bfe64c98a18e56bfb970a13e7bb
