=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Tron,"$4,687,445,421",3.37%,7.51%,🔥 資金暴衝
Sui,"$989,243,476",2.67%,6.86%,🚀 加速流入
Cronos,"$389,559,975",2.34%,5.46%,🚀 加速流入
OP Mainnet,"$305,859,133",1.86%,4.20%,🚀 加速流入
Avalanche,"$1,333,118,917",1.66%,5.11%,🚀 加速流入
Bitcoin,"$7,094,167,750",1.45%,3.94%,🚀 加速流入
Solana,"$8,725,894,775",1.38%,4.32%,🚀 加速流入
Aptos,"$449,419,423",1.23%,2.27%,🚀 加速流入
Base,"$4,689,630,290",0.95%,5.94%,🚀 加速流入
Arbitrum,"$3,048,783,220",0.76%,7.54%,🟢 穩健增長
Vaulta,"$387,309,063",0.56%,2.24%,🚀 加速流入
Hyperliquid L1,"$1,420,589,617",0.51%,-3.93%,🟢 穩健增長
Ethereum,"$72,545,034,992",0.43%,5.79%,🟢 穩健增長
BSC,"$6,767,275,711",0.32%,5.46%,🟢 穩健增長
Mantle,"$336,453,486",0.21%,0.34%,🚀 加速流入
Polygon,"$1,091,967,964",-0.57%,-6.47%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
tron,PEPE,$0.010650,-22.62%,"$428,535","$639,022",0.67,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,AIT,$0.775900,-2.83%,"$24,484","$193,782",0.13,https://dexscreener.com/tron/tenhghfwidt8roey6gtyymgrk8v7njspap
tron,OSK,$87.590000,2.77%,"$21,433","$218,988",0.10,https://dexscreener.com/tron/ttrhkxr6cmrb5euwhphjjs5kgnbntrhqyz
tron,EAT,$0.000441,-0.23%,"$9,003","$137,369",0.07,https://dexscreener.com/tron/tyyp4ybbzx2vaifaihwgdztvwyjaao2mu2
tron,SUNDOG,$0.010100,7.59%,"$47,005","$936,481",0.05,https://dexscreener.com/tron/tdr7rpu33htog8qo9i676v56bzcjkpjqox
sui,MAGMA,$0.139000,1.71%,"$1,515,483","$193,733",7.82,https://dexscreener.com/sui/0x9aedfbd1a64798b83a0d70d4432327c6372207aa2ff60ed828b799a634054411
sui,DEEP,$0.040270,2.62%,"$299,140","$112,913",2.65,https://dexscreener.com/sui/0xd978d331772a5b90d5a4781e1232d18afd12019d0c35db79e3674beeda8f9126
sui,WAL,$0.135300,0.53%,"$184,026","$130,277",1.41,https://dexscreener.com/sui/0xf4238fa592c9ed7f148fd091cb2c4147cb15ad81b797115ce42971923ebf6e4c
sui,IKA,$0.008137,0.28%,"$71,286","$125,230",0.57,https://dexscreener.com/sui/0xc23e7e8a74f0b18af4dfb7c3280e2a56916ec4d41e14416f85184a8aab6b7789
sui,US,$0.006369,2.48%,"$303,842","$631,308",0.48,https://dexscreener.com/sui/0x968f1f73b8e766e2ce0198c807d0c956aa384bfe64c98a18e56bfb970a13e7bb
