=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Tron,"$4,684,488,493",3.30%,7.44%,🔥 資金暴衝
Sui,"$994,665,707",3.23%,7.45%,🔥 資金暴衝
Cronos,"$391,720,155",2.91%,6.04%,🚀 加速流入
Hyperliquid L1,"$1,453,436,576",2.83%,-1.71%,🟢 穩健增長
Avalanche,"$1,337,104,866",1.96%,5.42%,🚀 加速流入
Solana,"$8,757,141,587",1.75%,4.69%,🚀 加速流入
OP Mainnet,"$305,432,944",1.72%,4.05%,🚀 加速流入
Bitcoin,"$7,092,203,885",1.43%,3.91%,🚀 加速流入
Base,"$4,709,788,061",1.38%,6.39%,🚀 加速流入
Vaulta,"$388,982,601",0.99%,2.68%,🚀 加速流入
BSC,"$6,809,546,751",0.95%,6.12%,🚀 加速流入
Aptos,"$447,475,339",0.79%,1.83%,🚀 加速流入
Arbitrum,"$3,047,066,953",0.71%,7.48%,🟢 穩健增長
Ethereum,"$72,609,187,141",0.52%,5.88%,🟢 穩健增長
Mantle,"$337,203,954",0.44%,0.56%,🚀 加速流入
Polygon,"$1,098,884,339",0.06%,-5.88%,🟢 穩健增長

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
tron,PEPE,$0.009424,-17.87%,"$393,290","$601,426",0.65,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,SUNDOG,$0.012180,28.76%,"$385,199","$1,030,450",0.37,https://dexscreener.com/tron/tdr7rpu33htog8qo9i676v56bzcjkpjqox
tron,ARES,$0.000061,28.22%,"$6,571","$57,875",0.11,https://dexscreener.com/tron/tmaypj9wnqwqzabn5mweh3qxpzge6gnixr
tron,EAT,$0.000436,1.40%,"$7,524","$136,590",0.06,https://dexscreener.com/tron/tyyp4ybbzx2vaifaihwgdztvwyjaao2mu2
tron,WIN,$0.000029,3.57%,"$64,253","$1,654,552",0.04,https://dexscreener.com/tron/tc1ghhc5igfluuuthriuuu183p8ywpmqsk
sui,MAGMA,$0.139500,-9.41%,"$1,134,133","$194,113",5.84,https://dexscreener.com/sui/0x9aedfbd1a64798b83a0d70d4432327c6372207aa2ff60ed828b799a634054411
sui,DEEP,$0.039780,0.71%,"$284,515","$112,657",2.53,https://dexscreener.com/sui/0xd978d331772a5b90d5a4781e1232d18afd12019d0c35db79e3674beeda8f9126
sui,WAL,$0.137800,3.12%,"$210,832","$134,930",1.56,https://dexscreener.com/sui/0xf4238fa592c9ed7f148fd091cb2c4147cb15ad81b797115ce42971923ebf6e4c
sui,IKA,$0.007747,-6.52%,"$69,916","$120,495",0.58,https://dexscreener.com/sui/0xc23e7e8a74f0b18af4dfb7c3280e2a56916ec4d41e14416f85184a8aab6b7789
sui,US,$0.006390,2.56%,"$321,118","$632,571",0.51,https://dexscreener.com/sui/0x968f1f73b8e766e2ce0198c807d0c956aa384bfe64c98a18e56bfb970a13e7bb
cronos,PEPE,$0.000007,14.13%,"$28,086","$96,167",0.29,https://dexscreener.com/cronos/0xb90d6e09075168281d47da6f0665ff4fd8f0ff6f
cronos,FER,$0.000381,-0.46%,"$8,869","$94,774",0.09,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,CROID,$0.010590,8.07%,"$5,480","$138,875",0.04,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,DOGE,$0.149300,5.73%,"$1,820","$61,469",0.03,https://dexscreener.com/cronos/0x2c30327a7ce35b9294ecf8624d1eda001b9e337f
cronos,VNO,$0.008513,7.05%,"$7,832","$294,860",0.03,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
avalanche,AUSD,$1.000300,-0.01%,"$11,778,276","$2,191,298",5.38,https://dexscreener.com/avalanche/0xcec377285abf370fdf872625d2742252656d631a
avalanche,ARENA,$0.002132,6.45%,"$161,930","$318,220",0.51,https://dexscreener.com/avalanche/0xa78c3e56afb8d34a536825e2497255e78b388619
avalanche,FOLKS,$4.051000,-0.75%,"$22,952","$62,433",0.37,https://dexscreener.com/avalanche/0xb3dc87bd570d8deaa960763234ef3d93cc789e6c
avalanche,GUN,$0.014110,1.59%,"$98,699","$318,517",0.31,https://dexscreener.com/avalanche/0xbd26e663281fb35d4757219eb180f02e8a065c09
avalanche,JOE,$0.072080,8.75%,"$211,120","$800,216",0.26,https://dexscreener.com/avalanche/0x454e67025631c065d3cfad6d71e6892f74487a15
solana,AMERICA,$0.000069,-87.98%,"$1,985,673","$29,705",66.85,https://dexscreener.com/solana/hkehmgtbympmnxjktlxswcmha4qziwnh6n7plmyuuux6
solana,MADURO,$0.001220,575.00%,"$6,364,622","$113,176",56.24,https://dexscreener.com/solana/2hepehcrsrazfmvykyyrrfgdoirppr2emnqaiyqydfbo
solana,CAPITALISM,$0.000038,-36.49%,"$1,126,923","$21,031",53.58,https://dexscreener.com/solana/aizaph33wgfuewfmm6lcx9eybj7se4vwewm1emfqgexd
solana,FAFO,$0.001101,-62.77%,"$6,597,296","$139,842",47.18,https://dexscreener.com/solana/9xusvxuvkkrdcmhxbhek4uzp4hxz5sukt3eyajidy6fl
solana,LIBERTADOR,$0.000070,-87.84%,"$984,510","$27,209",36.18,https://dexscreener.com/solana/7z93mgwkcbplnshxpt6hmjbrrvblsj7vqfaphdngochb
optimism,USD₮0,$0.999700,-0.04%,"$35,834","$420,852",0.09,https://dexscreener.com/optimism/0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9
optimism,VELO,$0.022900,5.73%,"$5,902","$113,011",0.05,https://dexscreener.com/optimism/0x8134a2fdc127549480865fb8e5a9e8a8a95a54c5
optimism,RING,$0.005394,3.74%,"$3,576","$285,847",0.01,https://dexscreener.com/optimism/0x69a9b0f791507c50b413d24abb761acb5ac52728
optimism,MOOBIFI,$187.870000,-1.68%,"$2,895","$342,921",0.01,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,TAROT,$0.051190,2.05%,"$2,216","$448,365",0.00,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
base,JIMVANDEHEI,$0.000206,265.00%,"$1,031,350","$70,145",14.70,https://dexscreener.com/base/0xaa9d23f97c34d6fac878acb1b47554c85b774cf5c5c452617d36eb4b8bf6c3fe
base,VIRTUAL,$0.878200,4.04%,"$9,106,430","$688,336",13.23,https://dexscreener.com/base/0x3f0296bf652e19bca772ec3df08b32732f93014a
base,CRYPTOVC,$0.000497,851.00%,"$1,134,089","$114,346",9.92,https://dexscreener.com/base/0x76c2650b7bd16bbfd7763955b6dc90eb46316de07c667ae4dba6066517692122
base,TOSHI,$0.000379,18.54%,"$781,094","$118,463",6.59,https://dexscreener.com/base/0x74e4c08bb50619b70550733d32b7e60424e9628e
base,DEPLOYER,$0.000681,-51.64%,"$617,614","$146,772",4.21,https://dexscreener.com/base/0x87d7af8b040afc1aca217f876e23251d5705f3618dc2aaec9d522dd0688ebda3
