=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Sui,"$995,612,588",3.33%,7.55%,🔥 資金暴衝
Tron,"$4,671,421,245",3.01%,7.14%,🔥 資金暴衝
Cronos,"$391,977,945",2.98%,6.11%,🚀 加速流入
Hyperliquid L1,"$1,454,888,599",2.94%,-1.61%,🟢 穩健增長
Avalanche,"$1,337,078,991",1.96%,5.42%,🚀 加速流入
Solana,"$8,757,141,587",1.75%,4.69%,🚀 加速流入
OP Mainnet,"$305,432,944",1.72%,4.05%,🚀 加速流入
Bitcoin,"$7,092,203,885",1.43%,3.91%,🚀 加速流入
Base,"$4,703,819,027",1.26%,6.26%,🚀 加速流入
Vaulta,"$388,980,430",0.99%,2.68%,🚀 加速流入
Aptos,"$448,295,832",0.97%,2.02%,🚀 加速流入
BSC,"$6,809,546,751",0.95%,6.12%,🚀 加速流入
Arbitrum,"$3,045,915,983",0.67%,7.44%,🟢 穩健增長
Ethereum,"$72,607,907,716",0.52%,5.88%,🟢 穩健增長
Mantle,"$337,179,511",0.43%,0.56%,🚀 加速流入
Polygon,"$1,099,061,873",0.08%,-5.86%,🟢 穩健增長

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,MAGMA,$0.139600,-9.55%,"$1,121,672","$194,183",5.78,https://dexscreener.com/sui/0x9aedfbd1a64798b83a0d70d4432327c6372207aa2ff60ed828b799a634054411
sui,DEEP,$0.039780,0.54%,"$283,197","$112,657",2.51,https://dexscreener.com/sui/0xd978d331772a5b90d5a4781e1232d18afd12019d0c35db79e3674beeda8f9126
sui,WAL,$0.137800,3.05%,"$210,371","$134,592",1.56,https://dexscreener.com/sui/0xf4238fa592c9ed7f148fd091cb2c4147cb15ad81b797115ce42971923ebf6e4c
sui,IKA,$0.007747,-6.52%,"$69,916","$120,495",0.58,https://dexscreener.com/sui/0xc23e7e8a74f0b18af4dfb7c3280e2a56916ec4d41e14416f85184a8aab6b7789
sui,US,$0.006390,1.64%,"$319,063","$632,571",0.50,https://dexscreener.com/sui/0x968f1f73b8e766e2ce0198c807d0c956aa384bfe64c98a18e56bfb970a13e7bb
tron,PEPE,$0.008938,-23.41%,"$407,946","$586,056",0.70,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,SUNDOG,$0.012250,29.48%,"$386,721","$1,033,144",0.37,https://dexscreener.com/tron/tdr7rpu33htog8qo9i676v56bzcjkpjqox
tron,ARES,$0.000061,28.63%,"$7,202","$57,980",0.12,https://dexscreener.com/tron/tmaypj9wnqwqzabn5mweh3qxpzge6gnixr
tron,EAT,$0.000436,1.40%,"$7,524","$136,590",0.06,https://dexscreener.com/tron/tyyp4ybbzx2vaifaihwgdztvwyjaao2mu2
tron,WIN,$0.000029,3.57%,"$65,622","$1,654,549",0.04,https://dexscreener.com/tron/tc1ghhc5igfluuuthriuuu183p8ywpmqsk
cronos,PEPE,$0.000007,12.31%,"$28,317","$95,092",0.30,https://dexscreener.com/cronos/0xb90d6e09075168281d47da6f0665ff4fd8f0ff6f
cronos,FER,$0.000381,-0.51%,"$8,776","$94,774",0.09,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,CROID,$0.010590,8.07%,"$5,480","$138,875",0.04,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,DOGE,$0.148700,5.31%,"$1,859","$61,153",0.03,https://dexscreener.com/cronos/0x2c30327a7ce35b9294ecf8624d1eda001b9e337f
cronos,VNO,$0.008513,7.05%,"$7,832","$294,860",0.03,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
avalanche,AUSD,$1.000300,-0.01%,"$11,796,404","$2,221,915",5.31,https://dexscreener.com/avalanche/0xcec377285abf370fdf872625d2742252656d631a
avalanche,ARENA,$0.002122,5.99%,"$162,115","$316,806",0.51,https://dexscreener.com/avalanche/0xa78c3e56afb8d34a536825e2497255e78b388619
avalanche,FOLKS,$4.023000,-1.15%,"$23,148","$62,320",0.37,https://dexscreener.com/avalanche/0xb3dc87bd570d8deaa960763234ef3d93cc789e6c
avalanche,GUN,$0.014110,1.59%,"$98,699","$318,517",0.31,https://dexscreener.com/avalanche/0xbd26e663281fb35d4757219eb180f02e8a065c09
avalanche,JOE,$0.071520,7.90%,"$212,460","$795,880",0.27,https://dexscreener.com/avalanche/0x454e67025631c065d3cfad6d71e6892f74487a15
solana,CAPITALISM,$0.000031,-48.02%,"$1,130,409","$18,868",59.91,https://dexscreener.com/solana/aizaph33wgfuewfmm6lcx9eybj7se4vwewm1emfqgexd
solana,AMERICA,$0.000078,-84.94%,"$1,732,816","$31,690",54.68,https://dexscreener.com/solana/hkehmgtbympmnxjktlxswcmha4qziwnh6n7plmyuuux6
solana,MADURO,$0.001253,321.00%,"$6,149,795","$114,782",53.58,https://dexscreener.com/solana/2hepehcrsrazfmvykyyrrfgdoirppr2emnqaiyqydfbo
solana,FAFO,$0.001028,-60.29%,"$6,519,806","$135,409",48.15,https://dexscreener.com/solana/9xusvxuvkkrdcmhxbhek4uzp4hxz5sukt3eyajidy6fl
solana,LIBERTADOR,$0.000069,-86.84%,"$946,225","$26,907",35.17,https://dexscreener.com/solana/7z93mgwkcbplnshxpt6hmjbrrvblsj7vqfaphdngochb
optimism,USD₮0,$0.999700,0.00%,"$36,012","$420,851",0.09,https://dexscreener.com/optimism/0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9
optimism,VELO,$0.022890,5.75%,"$5,897","$112,995",0.05,https://dexscreener.com/optimism/0x8134a2fdc127549480865fb8e5a9e8a8a95a54c5
optimism,RING,$0.005394,3.74%,"$3,576","$285,847",0.01,https://dexscreener.com/optimism/0x69a9b0f791507c50b413d24abb761acb5ac52728
optimism,MOOBIFI,$187.870000,-1.69%,"$2,892","$342,921",0.01,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,TAROT,$0.051170,2.01%,"$2,216","$448,203",0.00,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
base,JIMVANDEHEI,$0.000123,117.00%,"$1,059,301","$52,394",20.22,https://dexscreener.com/base/0xaa9d23f97c34d6fac878acb1b47554c85b774cf5c5c452617d36eb4b8bf6c3fe
base,VIRTUAL,$0.883100,4.24%,"$9,132,681","$683,119",13.37,https://dexscreener.com/base/0x3f0296bf652e19bca772ec3df08b32732f93014a
base,CRYPTOVC,$0.000504,863.00%,"$1,136,123","$114,866",9.89,https://dexscreener.com/base/0x76c2650b7bd16bbfd7763955b6dc90eb46316de07c667ae4dba6066517692122
base,TOSHI,$0.000377,17.93%,"$788,673","$162,891",4.84,https://dexscreener.com/base/0x74e4c08bb50619b70550733d32b7e60424e9628e
base,DEPLOYER,$0.000646,-51.66%,"$612,056","$141,815",4.32,https://dexscreener.com/base/0x87d7af8b040afc1aca217f876e23251d5705f3618dc2aaec9d522dd0688ebda3
aptos,DOODOO,$0.086240,1.06%,$12,"$161,588",0.00,https://dexscreener.com/aptos/liquidswapv0p5-2297
bsc,HAPPY-SCI,$0.000905,1238.00%,"$5,654,471","$118,445",47.74,https://dexscreener.com/bsc/0x9cf746e45a0cbfbc39c928b66953d086b942f7fa
bsc,人生K线,$0.000784,-60.86%,"$3,498,963","$137,850",25.38,https://dexscreener.com/bsc/0x8dd1610052d4d7ccbeb687417a2333a90b012e27
bsc,我踏马来了,$0.000276,51.77%,"$1,756,064","$76,698",22.90,https://dexscreener.com/bsc/0xa651c8deb3ff9f8d56a26e72042b7a8a1f433480
bsc,BULLA,$0.042510,-38.93%,"$16,420,283","$1,076,458",15.25,https://dexscreener.com/bsc/0x48bc32f212d539b23e1459e57dc27724aea6677a
bsc,BNBJAK,$0.000174,62.55%,"$495,431","$48,311",10.26,https://dexscreener.com/bsc/0x4501a50e970db6367bc1a4bf306f85a736e713a4
arbitrum,PENDLE,$2.190000,-1.49%,"$573,027","$422,407",1.36,https://dexscreener.com/arbitrum/0xe461f84c3fe6bcdd1162eb0ef4284f3bb6e4cad3
