=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Sui,"$994,407,632",3.21%,7.42%,🔥 資金暴衝
Tron,"$4,679,794,256",3.20%,7.34%,🔥 資金暴衝
Cronos,"$391,194,858",2.77%,5.90%,🚀 加速流入
Hyperliquid L1,"$1,444,676,534",2.21%,-2.30%,🟢 穩健增長
OP Mainnet,"$305,793,051",1.84%,4.18%,🚀 加速流入
Avalanche,"$1,330,940,223",1.49%,4.94%,🚀 加速流入
Solana,"$8,731,163,824",1.45%,4.38%,🚀 加速流入
Bitcoin,"$7,075,834,622",1.19%,3.67%,🚀 加速流入
Aptos,"$448,615,340",1.05%,2.09%,🚀 加速流入
Base,"$4,693,405,648",1.03%,6.02%,🚀 加速流入
Vaulta,"$388,873,397",0.96%,2.65%,🚀 加速流入
BSC,"$6,808,259,131",0.93%,6.10%,🚀 加速流入
Polygon,"$1,106,023,131",0.71%,-5.27%,🟢 穩健增長
Arbitrum,"$3,041,738,803",0.53%,7.30%,🟢 穩健增長
Mantle,"$336,706,375",0.29%,0.41%,🚀 加速流入
Ethereum,"$72,387,452,472",0.21%,5.56%,🟢 穩健增長

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,MAGMA,$0.142500,-5.40%,"$1,107,469","$196,214",5.64,https://dexscreener.com/sui/0x9aedfbd1a64798b83a0d70d4432327c6372207aa2ff60ed828b799a634054411
sui,DEEP,$0.040190,2.38%,"$292,135","$114,133",2.56,https://dexscreener.com/sui/0xd978d331772a5b90d5a4781e1232d18afd12019d0c35db79e3674beeda8f9126
sui,WAL,$0.139200,4.61%,"$211,741","$137,061",1.54,https://dexscreener.com/sui/0xf4238fa592c9ed7f148fd091cb2c4147cb15ad81b797115ce42971923ebf6e4c
sui,LOFI,$0.008624,38.21%,"$67,558","$50,082",1.35,https://dexscreener.com/sui/0xd6918afa64d432b84b48088d165b0dda0b7459463a7d66365f7ff890cae22d2d
sui,IKA,$0.007668,-3.85%,"$64,943","$120,282",0.54,https://dexscreener.com/sui/0xc23e7e8a74f0b18af4dfb7c3280e2a56916ec4d41e14416f85184a8aab6b7789
tron,PEPE,$0.008690,-25.44%,"$446,967","$577,795",0.77,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,SUNDOG,$0.012460,31.40%,"$393,276","$1,041,266",0.38,https://dexscreener.com/tron/tdr7rpu33htog8qo9i676v56bzcjkpjqox
tron,AIT,$0.692100,-21.93%,"$46,029","$183,115",0.25,https://dexscreener.com/tron/tenhghfwidt8roey6gtyymgrk8v7njspap
tron,ARES,$0.000062,29.91%,"$11,410","$58,299",0.20,https://dexscreener.com/tron/tmaypj9wnqwqzabn5mweh3qxpzge6gnixr
tron,WIN,$0.000029,3.57%,"$66,025","$1,654,552",0.04,https://dexscreener.com/tron/tc1ghhc5igfluuuthriuuu183p8ywpmqsk
cronos,PEPE,$0.000007,15.15%,"$28,765","$96,506",0.30,https://dexscreener.com/cronos/0xb90d6e09075168281d47da6f0665ff4fd8f0ff6f
cronos,FER,$0.000383,1.33%,"$8,752","$95,071",0.09,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,CROID,$0.010640,8.66%,"$5,495","$139,397",0.04,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,DOGE,$0.149800,6.05%,"$1,907","$61,482",0.03,https://dexscreener.com/cronos/0x2c30327a7ce35b9294ecf8624d1eda001b9e337f
cronos,VNO,$0.008435,5.43%,"$7,821","$292,027",0.03,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
optimism,VELO,$0.022850,4.72%,"$5,658","$112,887",0.05,https://dexscreener.com/optimism/0x8134a2fdc127549480865fb8e5a9e8a8a95a54c5
optimism,RING,$0.005394,3.74%,"$3,576","$285,847",0.01,https://dexscreener.com/optimism/0x69a9b0f791507c50b413d24abb761acb5ac52728
optimism,MOOBIFI,$187.820000,-1.73%,"$2,887","$342,817",0.01,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,TAROT,$0.051170,1.94%,"$2,214","$448,188",0.00,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
optimism,ALETH,$3037.280000,0.54%,"$16,009","$4,124,088",0.00,https://dexscreener.com/optimism/0xa1055762336f92b4b8d2edc032a0ce45ead6280a
avalanche,AUSD,$1.000300,-0.01%,"$11,850,215","$2,221,991",5.33,https://dexscreener.com/avalanche/0xcec377285abf370fdf872625d2742252656d631a
avalanche,ARENA,$0.002148,7.25%,"$162,536","$320,705",0.51,https://dexscreener.com/avalanche/0xa78c3e56afb8d34a536825e2497255e78b388619
avalanche,FOLKS,$4.066000,0.63%,"$22,629","$62,995",0.36,https://dexscreener.com/avalanche/0xb3dc87bd570d8deaa960763234ef3d93cc789e6c
avalanche,JOE,$0.073950,10.96%,"$216,760","$813,538",0.27,https://dexscreener.com/avalanche/0x454e67025631c065d3cfad6d71e6892f74487a15
avalanche,GUN,$0.014190,1.63%,"$84,936","$319,906",0.27,https://dexscreener.com/avalanche/0xbd26e663281fb35d4757219eb180f02e8a065c09
solana,CAPITALISM,$0.000024,-60.46%,"$1,139,561","$16,475",69.17,https://dexscreener.com/solana/aizaph33wgfuewfmm6lcx9eybj7se4vwewm1emfqgexd
solana,MADURO,$0.000922,38.68%,"$5,038,994","$99,836",50.47,https://dexscreener.com/solana/2hepehcrsrazfmvykyyrrfgdoirppr2emnqaiyqydfbo
solana,CHUD,$0.000269,174.00%,"$2,087,066","$56,430",36.99,https://dexscreener.com/solana/4gztkqxuvgls43ruiz2njqnxgsewmz5rqeftvlx8vk11
solana,FAFO,$0.001183,-57.81%,"$5,252,815","$145,068",36.21,https://dexscreener.com/solana/9xusvxuvkkrdcmhxbhek4uzp4hxz5sukt3eyajidy6fl
solana,KASH,$0.000271,348.00%,"$1,936,671","$55,466",34.92,https://dexscreener.com/solana/xywwfyn3ckul1tewal7unet62c1wyrwihwryzpeepmy
aptos,DOODOO,$0.086240,1.06%,$12,"$161,588",0.00,https://dexscreener.com/aptos/liquidswapv0p5-2297
base,JIMVANDEHEI,$0.000126,123.00%,"$1,112,302","$54,158",20.54,https://dexscreener.com/base/0xaa9d23f97c34d6fac878acb1b47554c85b774cf5c5c452617d36eb4b8bf6c3fe
base,VIRTUAL,$0.895600,6.12%,"$9,102,167","$712,740",12.77,https://dexscreener.com/base/0x3f0296bf652e19bca772ec3df08b32732f93014a
base,CRYPTOVC,$0.000762,1357.00%,"$1,218,400","$145,991",8.35,https://dexscreener.com/base/0x76c2650b7bd16bbfd7763955b6dc90eb46316de07c667ae4dba6066517692122
base,TOSHI,$0.000380,18.99%,"$836,045","$156,268",5.35,https://dexscreener.com/base/0x74e4c08bb50619b70550733d32b7e60424e9628e
base,DEPLOYER,$0.000629,-54.00%,"$523,783","$140,907",3.72,https://dexscreener.com/base/0x87d7af8b040afc1aca217f876e23251d5705f3618dc2aaec9d522dd0688ebda3
bsc,HAPPY-SCI,$0.000697,930.00%,"$5,746,689","$104,356",55.07,https://dexscreener.com/bsc/0x9cf746e45a0cbfbc39c928b66953d086b942f7fa
bsc,人生K线,$0.000763,-62.58%,"$3,426,493","$136,253",25.15,https://dexscreener.com/bsc/0x8dd1610052d4d7ccbeb687417a2333a90b012e27
bsc,我踏马来了,$0.000280,61.79%,"$1,761,661","$72,783",24.20,https://dexscreener.com/bsc/0xa651c8deb3ff9f8d56a26e72042b7a8a1f433480
bsc,BULLA,$0.041890,-39.91%,"$16,783,842","$1,065,358",15.75,https://dexscreener.com/bsc/0x48bc32f212d539b23e1459e57dc27724aea6677a
bsc,BNBJAK,$0.000167,56.10%,"$530,995","$47,517",11.17,https://dexscreener.com/bsc/0x4501a50e970db6367bc1a4bf306f85a736e713a4
polygon,SUT,$1.260000,42.93%,"$421,970","$703,461",0.60,https://dexscreener.com/polygon/0x6699f00b75741fc7ca4d20e190f763086f77cb41
