=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Tron,"$4,682,364,455",3.25%,7.39%,🔥 資金暴衝
Sui,"$992,838,618",3.04%,7.25%,🔥 資金暴衝
Cronos,"$390,986,858",2.72%,5.84%,🚀 加速流入
OP Mainnet,"$306,178,393",1.97%,4.31%,🚀 加速流入
Avalanche,"$1,332,978,582",1.65%,5.10%,🚀 加速流入
Solana,"$8,736,616,656",1.51%,4.45%,🚀 加速流入
Bitcoin,"$7,093,121,128",1.44%,3.92%,🚀 加速流入
Base,"$4,701,418,596",1.20%,6.20%,🚀 加速流入
Aptos,"$449,048,702",1.14%,2.19%,🚀 加速流入
Hyperliquid L1,"$1,429,064,680",1.11%,-3.36%,🟢 穩健增長
Arbitrum,"$3,049,349,586",0.78%,7.56%,🟢 穩健增長
Vaulta,"$387,204,441",0.53%,2.21%,🚀 加速流入
Ethereum,"$72,580,718,855",0.48%,5.84%,🟢 穩健增長
BSC,"$6,776,602,582",0.46%,5.61%,🟢 穩健增長
Mantle,"$337,074,516",0.40%,0.52%,🚀 加速流入
Polygon,"$1,089,363,049",-0.80%,-6.69%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
tron,PEPE,$0.011150,-13.75%,"$434,655","$654,300",0.66,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,AIT,$0.697000,-12.47%,"$33,618","$183,692",0.18,https://dexscreener.com/tron/tenhghfwidt8roey6gtyymgrk8v7njspap
tron,OSK,$87.150000,0.90%,"$21,246","$218,582",0.10,https://dexscreener.com/tron/ttrhkxr6cmrb5euwhphjjs5kgnbntrhqyz
tron,EAT,$0.000441,-0.45%,"$8,893","$137,369",0.06,https://dexscreener.com/tron/tyyp4ybbzx2vaifaihwgdztvwyjaao2mu2
tron,SUNDOG,$0.010240,13.37%,"$49,136","$943,677",0.05,https://dexscreener.com/tron/tdr7rpu33htog8qo9i676v56bzcjkpjqox
sui,MAGMA,$0.138300,-4.37%,"$1,437,755","$193,405",7.43,https://dexscreener.com/sui/0x9aedfbd1a64798b83a0d70d4432327c6372207aa2ff60ed828b799a634054411
sui,DEEP,$0.039830,0.79%,"$300,335","$111,655",2.69,https://dexscreener.com/sui/0xd978d331772a5b90d5a4781e1232d18afd12019d0c35db79e3674beeda8f9126
sui,WAL,$0.134300,0.03%,"$193,688","$128,667",1.51,https://dexscreener.com/sui/0xf4238fa592c9ed7f148fd091cb2c4147cb15ad81b797115ce42971923ebf6e4c
sui,IKA,$0.008225,4.01%,"$66,624","$125,785",0.53,https://dexscreener.com/sui/0xc23e7e8a74f0b18af4dfb7c3280e2a56916ec4d41e14416f85184a8aab6b7789
sui,SCA,$0.042040,-0.86%,"$181,031","$413,204",0.44,https://dexscreener.com/sui/0x9661cca01a5b9b3536883568fa967a2943e237de11a97976795f5adb293892e9
cronos,PEPE,$0.000007,17.25%,"$27,959","$96,605",0.29,https://dexscreener.com/cronos/0xb90d6e09075168281d47da6f0665ff4fd8f0ff6f
cronos,FER,$0.000384,-0.02%,"$10,541","$95,203",0.11,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,DOGE,$0.152900,7.20%,"$1,495","$62,190",0.02,https://dexscreener.com/cronos/0x2c30327a7ce35b9294ecf8624d1eda001b9e337f
cronos,CROID,$0.010370,7.58%,"$3,292","$137,321",0.02,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
