=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Sui,"$991,965,701",2.95%,7.15%,🚀 加速流入
Tron,"$4,657,507,122",2.71%,6.82%,🚀 加速流入
Cronos,"$389,751,525",2.39%,5.51%,🚀 加速流入
Hyperliquid L1,"$1,446,873,878",2.37%,-2.16%,🟢 穩健增長
OP Mainnet,"$305,686,824",1.80%,4.14%,🚀 加速流入
Avalanche,"$1,331,885,961",1.56%,5.01%,🚀 加速流入
Solana,"$8,731,163,824",1.45%,4.38%,🚀 加速流入
Bitcoin,"$7,076,966,444",1.21%,3.69%,🚀 加速流入
Base,"$4,698,644,162",1.14%,6.14%,🚀 加速流入
Vaulta,"$388,783,544",0.94%,2.63%,🚀 加速流入
Aptos,"$447,941,114",0.89%,1.94%,🚀 加速流入
BSC,"$6,800,797,529",0.82%,5.98%,🟢 穩健增長
Polygon,"$1,105,979,145",0.71%,-5.27%,🟢 穩健增長
Arbitrum,"$3,042,280,448",0.55%,7.31%,🟢 穩健增長
Mantle,"$336,629,887",0.27%,0.39%,🚀 加速流入
Ethereum,"$72,402,152,993",0.23%,5.58%,🟢 穩健增長

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,MAGMA,$0.139600,-5.08%,"$1,103,282","$194,206",5.68,https://dexscreener.com/sui/0x9aedfbd1a64798b83a0d70d4432327c6372207aa2ff60ed828b799a634054411
sui,DEEP,$0.040050,1.83%,"$294,369","$113,747",2.59,https://dexscreener.com/sui/0xd978d331772a5b90d5a4781e1232d18afd12019d0c35db79e3674beeda8f9126
sui,WAL,$0.138300,3.88%,"$213,495","$135,994",1.57,https://dexscreener.com/sui/0xf4238fa592c9ed7f148fd091cb2c4147cb15ad81b797115ce42971923ebf6e4c
sui,IKA,$0.007525,-5.65%,"$69,080","$118,488",0.58,https://dexscreener.com/sui/0xc23e7e8a74f0b18af4dfb7c3280e2a56916ec4d41e14416f85184a8aab6b7789
sui,SCA,$0.042570,1.92%,"$221,841","$418,050",0.53,https://dexscreener.com/sui/0x9661cca01a5b9b3536883568fa967a2943e237de11a97976795f5adb293892e9
tron,PEPE,$0.008647,-26.03%,"$448,586","$576,074",0.78,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,SUNPEPE,$0.000071,8.41%,"$23,097","$55,103",0.42,https://dexscreener.com/tron/twqh9wcgtosnfguu8u8rigzd1ytjxfk9yu
tron,SUNDOG,$0.012920,35.87%,"$411,567","$1,059,980",0.39,https://dexscreener.com/tron/tdr7rpu33htog8qo9i676v56bzcjkpjqox
tron,AIT,$0.681900,-21.78%,"$46,238","$181,774",0.25,https://dexscreener.com/tron/tenhghfwidt8roey6gtyymgrk8v7njspap
tron,ARES,$0.000058,21.64%,"$12,322","$56,357",0.22,https://dexscreener.com/tron/tmaypj9wnqwqzabn5mweh3qxpzge6gnixr
cronos,PEPE,$0.000007,16.17%,"$28,972","$96,950",0.30,https://dexscreener.com/cronos/0xb90d6e09075168281d47da6f0665ff4fd8f0ff6f
cronos,FER,$0.000382,1.11%,"$8,812","$94,980",0.09,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,CROID,$0.010660,8.25%,"$5,501","$139,681",0.04,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,DOGE,$0.149800,5.01%,"$1,880","$61,482",0.03,https://dexscreener.com/cronos/0x2c30327a7ce35b9294ecf8624d1eda001b9e337f
cronos,VNO,$0.008435,5.43%,"$7,821","$292,027",0.03,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
optimism,VELO,$0.022830,4.53%,"$5,630","$112,844",0.05,https://dexscreener.com/optimism/0x8134a2fdc127549480865fb8e5a9e8a8a95a54c5
optimism,RING,$0.005394,3.74%,"$3,576","$285,847",0.01,https://dexscreener.com/optimism/0x69a9b0f791507c50b413d24abb761acb5ac52728
optimism,MOOBIFI,$187.960000,-1.69%,"$2,711","$343,072",0.01,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,TAROT,$0.051170,1.87%,"$2,143","$448,190",0.00,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
