=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Tron,"$4,679,794,256",3.20%,7.34%,🔥 資金暴衝
Sui,"$991,220,422",2.88%,7.07%,🚀 加速流入
Cronos,"$389,751,525",2.39%,5.51%,🚀 加速流入
Hyperliquid L1,"$1,444,676,534",2.21%,-2.30%,🟢 穩健增長
OP Mainnet,"$305,606,267",1.77%,4.11%,🚀 加速流入
Avalanche,"$1,330,940,223",1.49%,4.94%,🚀 加速流入
Solana,"$8,731,163,824",1.45%,4.38%,🚀 加速流入
Bitcoin,"$7,076,966,444",1.21%,3.69%,🚀 加速流入
Base,"$4,698,644,162",1.14%,6.14%,🚀 加速流入
Aptos,"$448,615,340",1.05%,2.09%,🚀 加速流入
Vaulta,"$388,783,544",0.94%,2.63%,🚀 加速流入
BSC,"$6,800,797,529",0.82%,5.98%,🟢 穩健增長
Polygon,"$1,106,023,131",0.71%,-5.27%,🟢 穩健增長
Arbitrum,"$3,042,280,448",0.55%,7.31%,🟢 穩健增長
Mantle,"$336,706,375",0.29%,0.41%,🚀 加速流入
Ethereum,"$72,387,452,472",0.21%,5.56%,🟢 穩健增長

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
tron,PEPE,$0.008647,-26.03%,"$448,586","$576,074",0.78,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,SUNDOG,$0.012920,35.89%,"$411,619","$1,060,237",0.39,https://dexscreener.com/tron/tdr7rpu33htog8qo9i676v56bzcjkpjqox
tron,OSP,$1.820000,8.00%,"$74,047","$3,651,563",0.02,https://dexscreener.com/tron/tsqxeoxd6qwhunblj9slq7p8wy59oabuf8
tron,BTT,$0.000000,3.17%,"$66,482","$4,192,443",0.02,https://dexscreener.com/tron/tlkyq7ej4ykbs3tgevobjwkaxwyqkwo2nn
tron,WIN,$0.000029,3.57%,"$66,458","$1,654,560",0.04,https://dexscreener.com/tron/tc1ghhc5igfluuuthriuuu183p8ywpmqsk
sui,SCA,$0.042550,1.88%,"$221,892","$417,901",0.53,https://dexscreener.com/sui/0x9661cca01a5b9b3536883568fa967a2943e237de11a97976795f5adb293892e9
sui,JACKSON,$0.043860,4.64%,"$207,668","$3,586,277",0.06,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,HAEDAL,$0.045520,1.95%,"$114,395","$842,752",0.14,https://dexscreener.com/sui/0x711f5d37e3b09b026b182d9e0973d05e9a837d11066ff48f4a55a426d8913359
sui,BLUB,$0.000000,45.68%,"$27,483","$254,997",0.11,https://dexscreener.com/sui/0x40a372f9ee1989d76ceb8e50941b04468f8551d091fb8a5d7211522e42e60aaf
sui,USDB,$0.999900,0.02%,"$20,454","$1,086,950",0.02,https://dexscreener.com/sui/0x7a0abae43a864801894c29d72c387ce7681ba752dd331492b32c3c5e1672c973
