=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Sui,"$992,771,483",3.04%,7.24%,🔥 資金暴衝
Tron,"$4,667,185,010",2.92%,7.05%,🚀 加速流入
Cronos,"$391,126,282",2.75%,5.88%,🚀 加速流入
OP Mainnet,"$306,178,393",1.97%,4.31%,🚀 加速流入
Avalanche,"$1,332,978,582",1.65%,5.10%,🚀 加速流入
Solana,"$8,734,927,604",1.49%,4.43%,🚀 加速流入
Bitcoin,"$7,089,881,052",1.39%,3.87%,🚀 加速流入
Base,"$4,701,418,596",1.20%,6.20%,🚀 加速流入
Aptos,"$449,120,533",1.16%,2.20%,🚀 加速流入
Hyperliquid L1,"$1,429,064,680",1.11%,-3.36%,🟢 穩健增長
Arbitrum,"$3,049,349,586",0.78%,7.56%,🟢 穩健增長
Vaulta,"$387,444,297",0.59%,2.28%,🚀 加速流入
BSC,"$6,776,602,582",0.46%,5.61%,🟢 穩健增長
Ethereum,"$72,545,380,455",0.43%,5.79%,🟢 穩健增長
Mantle,"$336,825,605",0.33%,0.45%,🚀 加速流入
Polygon,"$1,089,096,296",-0.83%,-6.72%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,MAGMA,$0.139100,-3.04%,"$1,435,872","$194,067",7.40,https://dexscreener.com/sui/0x9aedfbd1a64798b83a0d70d4432327c6372207aa2ff60ed828b799a634054411
sui,DEEP,$0.040000,0.90%,"$282,142","$111,818",2.52,https://dexscreener.com/sui/0xd978d331772a5b90d5a4781e1232d18afd12019d0c35db79e3674beeda8f9126
sui,WAL,$0.134500,-0.29%,"$193,179","$128,404",1.50,https://dexscreener.com/sui/0xf4238fa592c9ed7f148fd091cb2c4147cb15ad81b797115ce42971923ebf6e4c
sui,IKA,$0.008215,2.39%,"$65,927","$125,653",0.52,https://dexscreener.com/sui/0xc23e7e8a74f0b18af4dfb7c3280e2a56916ec4d41e14416f85184a8aab6b7789
sui,US,$0.006384,2.33%,"$296,977","$632,233",0.47,https://dexscreener.com/sui/0x968f1f73b8e766e2ce0198c807d0c956aa384bfe64c98a18e56bfb970a13e7bb
tron,PEPE,$0.011160,-13.86%,"$427,347","$654,768",0.65,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,AIT,$0.750400,-5.55%,"$36,974","$190,611",0.19,https://dexscreener.com/tron/tenhghfwidt8roey6gtyymgrk8v7njspap
tron,OSK,$86.810000,0.51%,"$21,714","$218,230",0.10,https://dexscreener.com/tron/ttrhkxr6cmrb5euwhphjjs5kgnbntrhqyz
tron,EAT,$0.000441,-0.45%,"$8,846","$137,369",0.06,https://dexscreener.com/tron/tyyp4ybbzx2vaifaihwgdztvwyjaao2mu2
tron,SUNDOG,$0.010160,9.84%,"$36,707","$939,729",0.04,https://dexscreener.com/tron/tdr7rpu33htog8qo9i676v56bzcjkpjqox
