=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Sui,"$991,965,701",2.95%,7.15%,🚀 加速流入
Tron,"$4,657,507,122",2.71%,6.82%,🚀 加速流入
Cronos,"$389,751,525",2.39%,5.51%,🚀 加速流入
Hyperliquid L1,"$1,446,873,878",2.37%,-2.16%,🟢 穩健增長
OP Mainnet,"$305,686,824",1.80%,4.14%,🚀 加速流入
Solana,"$8,742,898,835",1.58%,4.52%,🚀 加速流入
Avalanche,"$1,331,885,961",1.56%,5.01%,🚀 加速流入
Bitcoin,"$7,076,966,444",1.21%,3.69%,🚀 加速流入
Base,"$4,698,644,162",1.14%,6.14%,🚀 加速流入
Vaulta,"$388,783,544",0.94%,2.63%,🚀 加速流入
Aptos,"$447,941,114",0.89%,1.94%,🚀 加速流入
BSC,"$6,800,797,529",0.82%,5.98%,🟢 穩健增長
Polygon,"$1,105,979,145",0.71%,-5.27%,🟢 穩健增長
Arbitrum,"$3,042,280,448",0.55%,7.31%,🟢 穩健增長
Mantle,"$336,629,887",0.27%,0.39%,🚀 加速流入
Ethereum,"$72,402,152,993",0.23%,5.58%,🟢 穩健增長

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,SCA,$0.042600,1.96%,"$222,558","$417,493",0.53,https://dexscreener.com/sui/0x9661cca01a5b9b3536883568fa967a2943e237de11a97976795f5adb293892e9
sui,JACKSON,$0.043470,4.50%,"$207,599","$3,556,182",0.06,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,BLUB,$0.000000,45.06%,"$27,666","$254,083",0.11,https://dexscreener.com/sui/0x40a372f9ee1989d76ceb8e50941b04468f8551d091fb8a5d7211522e42e60aaf
sui,USDB,$0.999900,0.02%,"$20,500","$1,086,938",0.02,https://dexscreener.com/sui/0x7a0abae43a864801894c29d72c387ce7681ba752dd331492b32c3c5e1672c973
sui,PANS,$0.000349,10.32%,"$13,370","$120,297",0.11,https://dexscreener.com/sui/0x155b01dc5dbf6eb319ee5df50d201ae49fdc7a0a074acfe4fe1201acbf181a56
tron,PEPE,$0.008608,-26.35%,"$449,849","$574,807",0.78,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,SUNDOG,$0.012940,36.08%,"$421,582","$1,060,829",0.40,https://dexscreener.com/tron/tdr7rpu33htog8qo9i676v56bzcjkpjqox
tron,OSP,$1.820000,8.00%,"$74,047","$3,651,563",0.02,https://dexscreener.com/tron/tsqxeoxd6qwhunblj9slq7p8wy59oabuf8
tron,BTT,$0.000000,3.17%,"$66,482","$4,192,443",0.02,https://dexscreener.com/tron/tlkyq7ej4ykbs3tgevobjwkaxwyqkwo2nn
tron,WIN,$0.000029,3.57%,"$64,635","$1,654,560",0.04,https://dexscreener.com/tron/tc1ghhc5igfluuuthriuuu183p8ywpmqsk
cronos,PEPE,$0.000007,15.13%,"$29,190","$96,686",0.30,https://dexscreener.com/cronos/0xb90d6e09075168281d47da6f0665ff4fd8f0ff6f
cronos,FUL,$0.003189,5.06%,"$4,725","$276,725",0.02,https://dexscreener.com/cronos/0x6ae624714f221964aff3ab8d8276a7ec142a759f
cronos,H2,$0.000633,4.74%,$173,"$104,155",0.00,https://dexscreener.com/cronos/0x910c37d26a9eb4aadff925b47ffde6308e03fa37
optimism,ALETH,$3048.800000,0.73%,"$16,341","$4,138,315",0.00,https://dexscreener.com/optimism/0xa1055762336f92b4b8d2edc032a0ce45ead6280a
optimism,MOOBIFI,$188.510000,-1.32%,"$2,713","$344,084",0.01,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,TAROT,$0.051170,1.94%,"$2,143","$448,191",0.00,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
optimism,OPP,$0.000388,0.79%,$60,"$161,607",0.00,https://dexscreener.com/optimism/0x62191c893df8d26ac295ba1274a00975dc07190c
solana,TRUMP,$5.360000,1.00%,"$87,001,557","$153,895,601",0.57,https://dexscreener.com/solana/9d9mb8kooffad3sctgztkxqypkshx6ezhbkio89ixyy2
solana,JLP,$4.700000,0.48%,"$4,717,806","$2,791,528",1.69,https://dexscreener.com/solana/6nuivmsnjsi4afsmseiaezsav9n4n1zrd4jenuwnrvyb
solana,FAFO,$0.001148,-46.50%,"$4,713,280","$143,066",32.94,https://dexscreener.com/solana/9xusvxuvkkrdcmhxbhek4uzp4hxz5sukt3eyajidy6fl
solana,PONKE,$0.064190,98.09%,"$4,640,534","$2,652,598",1.75,https://dexscreener.com/solana/5utwg3y3f5cx4ykodgtjwehdrx5hdkz5bzz72x8eq6ze
solana,MADURO,$0.001081,-24.87%,"$4,246,933","$108,521",39.13,https://dexscreener.com/solana/2hepehcrsrazfmvykyyrrfgdoirppr2emnqaiyqydfbo
avalanche,AUSD,$1.000300,-0.01%,"$11,873,340","$2,222,035",5.34,https://dexscreener.com/avalanche/0xcec377285abf370fdf872625d2742252656d631a
avalanche,JOE,$0.074000,10.91%,"$219,380","$818,217",0.27,https://dexscreener.com/avalanche/0x454e67025631c065d3cfad6d71e6892f74487a15
