=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Sui,"$992,771,483",3.04%,7.24%,🔥 資金暴衝
Tron,"$4,667,185,010",2.92%,7.05%,🚀 加速流入
Cronos,"$390,295,927",2.54%,5.66%,🚀 加速流入
OP Mainnet,"$306,519,263",2.08%,4.42%,🚀 加速流入
Solana,"$8,734,927,604",1.49%,4.43%,🚀 加速流入
Avalanche,"$1,330,256,510",1.44%,4.88%,🚀 加速流入
Bitcoin,"$7,085,570,298",1.33%,3.81%,🚀 加速流入
Base,"$4,698,348,796",1.14%,6.13%,🚀 加速流入
Hyperliquid L1,"$1,427,292,375",0.98%,-3.48%,🟢 穩健增長
Aptos,"$448,286,042",0.97%,2.01%,🚀 加速流入
Arbitrum,"$3,046,907,093",0.70%,7.48%,🟢 穩健增長
Vaulta,"$387,444,297",0.59%,2.28%,🚀 加速流入
Ethereum,"$72,545,380,455",0.43%,5.79%,🟢 穩健增長
BSC,"$6,773,235,430",0.41%,5.55%,🟢 穩健增長
Mantle,"$336,825,605",0.33%,0.45%,🚀 加速流入
Polygon,"$1,089,096,296",-0.83%,-6.72%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,MAGMA,$0.138300,-2.60%,"$1,426,987","$193,435",7.38,https://dexscreener.com/sui/0x9aedfbd1a64798b83a0d70d4432327c6372207aa2ff60ed828b799a634054411
sui,DEEP,$0.040050,1.21%,"$280,713","$113,193",2.48,https://dexscreener.com/sui/0xd978d331772a5b90d5a4781e1232d18afd12019d0c35db79e3674beeda8f9126
sui,WAL,$0.135000,0.20%,"$191,568","$129,339",1.48,https://dexscreener.com/sui/0xf4238fa592c9ed7f148fd091cb2c4147cb15ad81b797115ce42971923ebf6e4c
sui,IKA,$0.008203,1.56%,"$66,038","$125,654",0.53,https://dexscreener.com/sui/0xc23e7e8a74f0b18af4dfb7c3280e2a56916ec4d41e14416f85184a8aab6b7789
sui,US,$0.006409,2.82%,"$296,260","$633,703",0.47,https://dexscreener.com/sui/0x968f1f73b8e766e2ce0198c807d0c956aa384bfe64c98a18e56bfb970a13e7bb
tron,PEPE,$0.011100,-11.23%,"$392,891","$652,936",0.60,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,AIT,$0.763600,-3.88%,"$41,594","$192,295",0.22,https://dexscreener.com/tron/tenhghfwidt8roey6gtyymgrk8v7njspap
tron,OSK,$86.810000,0.51%,"$21,714","$218,230",0.10,https://dexscreener.com/tron/ttrhkxr6cmrb5euwhphjjs5kgnbntrhqyz
tron,SUNDOG,$0.010450,12.89%,"$62,431","$953,262",0.07,https://dexscreener.com/tron/tdr7rpu33htog8qo9i676v56bzcjkpjqox
tron,EAT,$0.000441,-0.45%,"$8,846","$137,369",0.06,https://dexscreener.com/tron/tyyp4ybbzx2vaifaihwgdztvwyjaao2mu2
cronos,PEPE,$0.000007,14.47%,"$28,379","$96,173",0.30,https://dexscreener.com/cronos/0xb90d6e09075168281d47da6f0665ff4fd8f0ff6f
cronos,FER,$0.000387,0.03%,"$11,189","$95,830",0.12,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,CROID,$0.010430,7.70%,"$4,010","$138,054",0.03,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,DOGE,$0.152600,7.02%,"$1,665","$62,220",0.03,https://dexscreener.com/cronos/0x2c30327a7ce35b9294ecf8624d1eda001b9e337f
cronos,VNO,$0.008358,4.93%,"$5,184","$291,607",0.02,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
optimism,USD₮0,$0.999600,-0.02%,"$36,477","$420,803",0.09,https://dexscreener.com/optimism/0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9
optimism,VELO,$0.022490,5.00%,"$9,628","$111,995",0.09,https://dexscreener.com/optimism/0x8134a2fdc127549480865fb8e5a9e8a8a95a54c5
optimism,MOOBIFI,$188.410000,0.04%,"$3,803","$343,746",0.01,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,RING,$0.005425,4.71%,"$2,669","$285,731",0.01,https://dexscreener.com/optimism/0x69a9b0f791507c50b413d24abb761acb5ac52728
optimism,TAROT,$0.051140,2.01%,"$2,180","$448,187",0.00,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
solana,AMERICA,$0.000126,112.00%,"$4,052,340","$40,051",101.18,https://dexscreener.com/solana/hkehmgtbympmnxjktlxswcmha4qziwnh6n7plmyuuux6
