=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Sui,"$990,857,080",2.84%,7.03%,🚀 加速流入
Hyperliquid L1,"$1,452,888,529",2.80%,-1.75%,🟢 穩健增長
Tron,"$4,657,507,122",2.71%,6.82%,🚀 加速流入
Cronos,"$389,751,525",2.39%,5.51%,🚀 加速流入
OP Mainnet,"$305,686,824",1.80%,4.14%,🚀 加速流入
Solana,"$8,742,898,835",1.58%,4.52%,🚀 加速流入
Avalanche,"$1,331,885,961",1.56%,5.01%,🚀 加速流入
Bitcoin,"$7,076,966,444",1.21%,3.69%,🚀 加速流入
Base,"$4,698,644,162",1.14%,6.14%,🚀 加速流入
Polygon,"$1,109,100,075",0.99%,-5.00%,🟢 穩健增長
Vaulta,"$388,783,544",0.94%,2.63%,🚀 加速流入
BSC,"$6,800,797,529",0.82%,5.98%,🟢 穩健增長
Arbitrum,"$3,044,934,679",0.64%,7.41%,🟢 穩健增長
Ethereum,"$72,610,572,771",0.52%,5.89%,🟢 穩健增長
Mantle,"$336,629,887",0.27%,0.39%,🚀 加速流入
Aptos,"$440,468,933",-0.79%,0.23%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,SCA,$0.042670,1.95%,"$224,532","$418,542",0.54,https://dexscreener.com/sui/0x9661cca01a5b9b3536883568fa967a2943e237de11a97976795f5adb293892e9
sui,JACKSON,$0.043600,3.75%,"$207,742","$3,566,322",0.06,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,HAEDAL,$0.045320,1.28%,"$115,985","$840,867",0.14,https://dexscreener.com/sui/0x711f5d37e3b09b026b182d9e0973d05e9a837d11066ff48f4a55a426d8913359
sui,BLUB,$0.000000,45.94%,"$27,575","$255,158",0.11,https://dexscreener.com/sui/0x40a372f9ee1989d76ceb8e50941b04468f8551d091fb8a5d7211522e42e60aaf
sui,USDB,$0.999900,0.00%,"$21,245","$1,086,938",0.02,https://dexscreener.com/sui/0x7a0abae43a864801894c29d72c387ce7681ba752dd331492b32c3c5e1672c973
tron,PEPE,$0.008623,-27.35%,"$449,031","$575,678",0.78,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,SUNDOG,$0.012520,31.71%,"$430,255","$1,043,853",0.41,https://dexscreener.com/tron/tdr7rpu33htog8qo9i676v56bzcjkpjqox
tron,JST,$0.040940,4.46%,"$90,570","$7,484,644",0.01,https://dexscreener.com/tron/tw68dbgdy9gtk16bfzmvacz9peti3kfkk2
tron,OSP,$1.820000,8.00%,"$74,047","$3,651,563",0.02,https://dexscreener.com/tron/tsqxeoxd6qwhunblj9slq7p8wy59oabuf8
tron,WIN,$0.000029,3.57%,"$64,635","$1,654,560",0.04,https://dexscreener.com/tron/tc1ghhc5igfluuuthriuuu183p8ywpmqsk
