=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Tron,"$4,667,684,622",2.93%,7.06%,🚀 加速流入
Sui,"$989,952,331",2.74%,6.94%,🚀 加速流入
Cronos,"$390,295,927",2.54%,5.66%,🚀 加速流入
OP Mainnet,"$306,519,263",2.08%,4.42%,🚀 加速流入
Avalanche,"$1,330,256,510",1.44%,4.88%,🚀 加速流入
Solana,"$8,729,741,526",1.43%,4.37%,🚀 加速流入
Bitcoin,"$7,080,343,773",1.26%,3.74%,🚀 加速流入
Base,"$4,698,348,796",1.14%,6.13%,🚀 加速流入
Aptos,"$448,286,042",0.97%,2.01%,🚀 加速流入
Hyperliquid L1,"$1,425,892,243",0.89%,-3.57%,🟢 穩健增長
Arbitrum,"$3,046,907,093",0.70%,7.48%,🟢 穩健增長
Vaulta,"$387,446,213",0.59%,2.28%,🚀 加速流入
Ethereum,"$72,530,186,871",0.41%,5.77%,🟢 穩健增長
BSC,"$6,773,235,430",0.41%,5.55%,🟢 穩健增長
Mantle,"$336,621,885",0.26%,0.39%,🚀 加速流入
Polygon,"$1,090,659,051",-0.69%,-6.58%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
tron,PEPE,$0.010860,-11.19%,"$378,283","$645,561",0.59,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,AIT,$0.783000,-1.45%,"$44,381","$194,721",0.23,https://dexscreener.com/tron/tenhghfwidt8roey6gtyymgrk8v7njspap
tron,OSK,$86.810000,0.51%,"$21,714","$218,230",0.10,https://dexscreener.com/tron/ttrhkxr6cmrb5euwhphjjs5kgnbntrhqyz
tron,SUNDOG,$0.011060,18.93%,"$78,342","$979,944",0.08,https://dexscreener.com/tron/tdr7rpu33htog8qo9i676v56bzcjkpjqox
tron,EAT,$0.000441,-0.68%,"$8,841","$137,369",0.06,https://dexscreener.com/tron/tyyp4ybbzx2vaifaihwgdztvwyjaao2mu2
sui,MAGMA,$0.138400,-3.13%,"$1,413,617","$193,533",7.30,https://dexscreener.com/sui/0x9aedfbd1a64798b83a0d70d4432327c6372207aa2ff60ed828b799a634054411
sui,DEEP,$0.040050,0.65%,"$277,010","$112,958",2.45,https://dexscreener.com/sui/0xd978d331772a5b90d5a4781e1232d18afd12019d0c35db79e3674beeda8f9126
sui,WAL,$0.134700,-0.36%,"$189,833","$129,107",1.47,https://dexscreener.com/sui/0xf4238fa592c9ed7f148fd091cb2c4147cb15ad81b797115ce42971923ebf6e4c
sui,IKA,$0.008071,0.17%,"$67,881","$124,214",0.55,https://dexscreener.com/sui/0xc23e7e8a74f0b18af4dfb7c3280e2a56916ec4d41e14416f85184a8aab6b7789
sui,US,$0.006395,3.15%,"$300,812","$632,885",0.48,https://dexscreener.com/sui/0x968f1f73b8e766e2ce0198c807d0c956aa384bfe64c98a18e56bfb970a13e7bb
