=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Hyperliquid L1,"$1,461,670,197",3.42%,-1.16%,🔥 資金暴衝
Tron,"$4,671,951,177",3.02%,7.16%,🔥 資金暴衝
Cronos,"$391,620,211",2.88%,6.01%,🚀 加速流入
Sui,"$990,857,080",2.84%,7.03%,🚀 加速流入
Avalanche,"$1,340,081,363",2.19%,5.66%,🚀 加速流入
OP Mainnet,"$305,452,223",1.72%,4.06%,🚀 加速流入
Solana,"$8,742,898,835",1.58%,4.52%,🚀 加速流入
Bitcoin,"$7,089,526,869",1.39%,3.87%,🚀 加速流入
Base,"$4,706,678,125",1.32%,6.32%,🚀 加速流入
BSC,"$6,814,692,959",1.02%,6.20%,🚀 加速流入
Polygon,"$1,109,100,075",0.99%,-5.00%,🟢 穩健增長
Vaulta,"$388,281,738",0.81%,2.50%,🚀 加速流入
Arbitrum,"$3,044,934,679",0.64%,7.41%,🟢 穩健增長
Ethereum,"$72,610,572,771",0.52%,5.89%,🟢 穩健增長
Mantle,"$337,162,197",0.43%,0.55%,🚀 加速流入
Aptos,"$440,468,933",-0.79%,0.23%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
tron,PEPE,$0.008691,-27.90%,"$443,556","$577,769",0.77,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,SUNDOG,$0.012470,31.22%,"$431,398","$1,042,279",0.41,https://dexscreener.com/tron/tdr7rpu33htog8qo9i676v56bzcjkpjqox
tron,JST,$0.041270,5.30%,"$105,627","$7,514,756",0.01,https://dexscreener.com/tron/tw68dbgdy9gtk16bfzmvacz9peti3kfkk2
tron,OSP,$1.820000,8.00%,"$74,047","$3,651,563",0.02,https://dexscreener.com/tron/tsqxeoxd6qwhunblj9slq7p8wy59oabuf8
tron,WIN,$0.000029,3.57%,"$64,179","$1,654,560",0.04,https://dexscreener.com/tron/tc1ghhc5igfluuuthriuuu183p8ywpmqsk
cronos,PEPE,$0.000007,15.76%,"$29,612","$97,614",0.30,https://dexscreener.com/cronos/0xb90d6e09075168281d47da6f0665ff4fd8f0ff6f
cronos,FUL,$0.003189,4.84%,"$4,560","$276,725",0.02,https://dexscreener.com/cronos/0x6ae624714f221964aff3ab8d8276a7ec142a759f
cronos,H2,$0.000633,4.74%,$173,"$104,155",0.00,https://dexscreener.com/cronos/0x910c37d26a9eb4aadff925b47ffde6308e03fa37
sui,SCA,$0.042670,1.87%,"$224,509","$418,065",0.54,https://dexscreener.com/sui/0x9661cca01a5b9b3536883568fa967a2943e237de11a97976795f5adb293892e9
sui,JACKSON,$0.043740,4.27%,"$207,386","$3,577,099",0.06,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,HAEDAL,$0.045320,1.08%,"$115,340","$840,867",0.14,https://dexscreener.com/sui/0x711f5d37e3b09b026b182d9e0973d05e9a837d11066ff48f4a55a426d8913359
sui,BLUB,$0.000000,45.58%,"$27,491","$254,912",0.11,https://dexscreener.com/sui/0x40a372f9ee1989d76ceb8e50941b04468f8551d091fb8a5d7211522e42e60aaf
sui,USDB,$0.999700,0.00%,"$21,021","$1,086,731",0.02,https://dexscreener.com/sui/0x7a0abae43a864801894c29d72c387ce7681ba752dd331492b32c3c5e1672c973
avalanche,AUSD,$1.000300,-0.01%,"$11,911,602","$2,222,076",5.36,https://dexscreener.com/avalanche/0xcec377285abf370fdf872625d2742252656d631a
avalanche,JOE,$0.072180,8.28%,"$223,431","$806,439",0.28,https://dexscreener.com/avalanche/0x454e67025631c065d3cfad6d71e6892f74487a15
avalanche,COQ,$0.000000,10.61%,"$182,462","$952,485",0.19,https://dexscreener.com/avalanche/0x41ab86eecbd110a82ca602d032a461f453066f1e
avalanche,ARENA,$0.002163,7.61%,"$142,874","$322,870",0.44,https://dexscreener.com/avalanche/0xa78c3e56afb8d34a536825e2497255e78b388619
avalanche,GUN,$0.014320,3.00%,"$84,154","$323,746",0.26,https://dexscreener.com/avalanche/0xbd26e663281fb35d4757219eb180f02e8a065c09
