=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Cronos,"$392,553,222",3.13%,6.27%,🔥 資金暴衝
Tron,"$4,667,684,622",2.93%,7.06%,🚀 加速流入
Sui,"$989,952,331",2.74%,6.94%,🚀 加速流入
OP Mainnet,"$306,816,354",2.18%,4.53%,🚀 加速流入
Avalanche,"$1,330,691,224",1.47%,4.92%,🚀 加速流入
Solana,"$8,729,741,526",1.43%,4.37%,🚀 加速流入
Bitcoin,"$7,080,343,773",1.26%,3.74%,🚀 加速流入
Base,"$4,697,743,037",1.12%,6.12%,🚀 加速流入
Aptos,"$448,473,924",1.01%,2.06%,🚀 加速流入
Hyperliquid L1,"$1,425,892,243",0.89%,-3.57%,🟢 穩健增長
Arbitrum,"$3,046,931,016",0.70%,7.48%,🟢 穩健增長
Vaulta,"$387,446,213",0.59%,2.28%,🚀 加速流入
BSC,"$6,781,188,489",0.53%,5.68%,🟢 穩健增長
Ethereum,"$72,527,378,808",0.41%,5.76%,🟢 穩健增長
Mantle,"$336,621,885",0.26%,0.39%,🚀 加速流入
Polygon,"$1,090,659,051",-0.69%,-6.58%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
cronos,PEPE,$0.000007,14.89%,"$28,503","$96,558",0.30,https://dexscreener.com/cronos/0xb90d6e09075168281d47da6f0665ff4fd8f0ff6f
cronos,FER,$0.000384,-0.42%,"$9,701","$95,499",0.10,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,CROID,$0.010470,8.12%,"$4,466","$138,349",0.03,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,DOGE,$0.151600,6.34%,"$1,771","$62,034",0.03,https://dexscreener.com/cronos/0x2c30327a7ce35b9294ecf8624d1eda001b9e337f
cronos,VNO,$0.008358,4.91%,"$5,029","$291,462",0.02,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
tron,PEPE,$0.010620,-12.54%,"$377,497","$638,999",0.59,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,AIT,$0.783000,0.80%,"$46,316","$194,732",0.24,https://dexscreener.com/tron/tenhghfwidt8roey6gtyymgrk8v7njspap
tron,SUNDOG,$0.013580,45.88%,"$165,976","$1,087,943",0.15,https://dexscreener.com/tron/tdr7rpu33htog8qo9i676v56bzcjkpjqox
tron,OSK,$86.150000,-1.12%,"$23,214","$217,550",0.11,https://dexscreener.com/tron/ttrhkxr6cmrb5euwhphjjs5kgnbntrhqyz
tron,EAT,$0.000441,4.75%,"$8,793","$137,369",0.06,https://dexscreener.com/tron/tyyp4ybbzx2vaifaihwgdztvwyjaao2mu2
sui,MAGMA,$0.138200,-4.38%,"$1,407,406","$193,355",7.28,https://dexscreener.com/sui/0x9aedfbd1a64798b83a0d70d4432327c6372207aa2ff60ed828b799a634054411
sui,DEEP,$0.040150,1.39%,"$270,338","$113,006",2.39,https://dexscreener.com/sui/0xd978d331772a5b90d5a4781e1232d18afd12019d0c35db79e3674beeda8f9126
sui,WAL,$0.135600,0.97%,"$190,280","$129,717",1.47,https://dexscreener.com/sui/0xf4238fa592c9ed7f148fd091cb2c4147cb15ad81b797115ce42971923ebf6e4c
sui,IKA,$0.008070,0.39%,"$67,758","$124,457",0.54,https://dexscreener.com/sui/0xc23e7e8a74f0b18af4dfb7c3280e2a56916ec4d41e14416f85184a8aab6b7789
sui,US,$0.006430,5.28%,"$298,668","$634,964",0.47,https://dexscreener.com/sui/0x968f1f73b8e766e2ce0198c807d0c956aa384bfe64c98a18e56bfb970a13e7bb
optimism,USD₮0,$1.000051,0.01%,"$33,781","$420,966",0.08,https://dexscreener.com/optimism/0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9
optimism,VELO,$0.022660,-1.80%,"$6,591","$112,419",0.06,https://dexscreener.com/optimism/0x8134a2fdc127549480865fb8e5a9e8a8a95a54c5
