=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Hyperliquid L1,"$1,461,670,197",3.42%,-1.16%,🔥 資金暴衝
Tron,"$4,671,951,177",3.02%,7.16%,🔥 資金暴衝
Cronos,"$391,620,211",2.88%,6.01%,🚀 加速流入
Sui,"$990,857,080",2.84%,7.03%,🚀 加速流入
Avalanche,"$1,340,081,363",2.19%,5.66%,🚀 加速流入
OP Mainnet,"$305,452,223",1.72%,4.06%,🚀 加速流入
Solana,"$8,741,904,051",1.57%,4.51%,🚀 加速流入
Bitcoin,"$7,089,526,869",1.39%,3.87%,🚀 加速流入
Polygon,"$1,113,395,474",1.38%,-4.63%,🟢 穩健增長
Base,"$4,706,678,125",1.32%,6.32%,🚀 加速流入
BSC,"$6,814,692,959",1.02%,6.20%,🚀 加速流入
Vaulta,"$388,281,738",0.81%,2.50%,🚀 加速流入
Arbitrum,"$3,047,021,514",0.71%,7.48%,🟢 穩健增長
Ethereum,"$72,566,949,557",0.46%,5.82%,🟢 穩健增長
Mantle,"$337,162,197",0.43%,0.55%,🚀 加速流入
Aptos,"$440,468,933",-0.79%,0.23%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
tron,PEPE,$0.009039,-23.51%,"$449,672","$589,148",0.76,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,SUNDOG,$0.012720,33.85%,"$436,716","$1,052,202",0.42,https://dexscreener.com/tron/tdr7rpu33htog8qo9i676v56bzcjkpjqox
tron,JST,$0.040970,4.53%,"$122,867","$7,487,053",0.02,https://dexscreener.com/tron/tw68dbgdy9gtk16bfzmvacz9peti3kfkk2
tron,OSP,$1.820000,8.00%,"$74,047","$3,651,563",0.02,https://dexscreener.com/tron/tsqxeoxd6qwhunblj9slq7p8wy59oabuf8
tron,WIN,$0.000029,3.57%,"$66,261","$1,654,602",0.04,https://dexscreener.com/tron/tc1ghhc5igfluuuthriuuu183p8ywpmqsk
cronos,PEPE,$0.000007,15.76%,"$29,612","$97,614",0.30,https://dexscreener.com/cronos/0xb90d6e09075168281d47da6f0665ff4fd8f0ff6f
cronos,FUL,$0.003189,4.26%,"$4,260","$276,725",0.02,https://dexscreener.com/cronos/0x6ae624714f221964aff3ab8d8276a7ec142a759f
cronos,H2,$0.000633,3.03%,$147,"$104,155",0.00,https://dexscreener.com/cronos/0x910c37d26a9eb4aadff925b47ffde6308e03fa37
sui,SCA,$0.042650,1.71%,"$235,460","$416,770",0.56,https://dexscreener.com/sui/0x9661cca01a5b9b3536883568fa967a2943e237de11a97976795f5adb293892e9
sui,JACKSON,$0.043480,2.75%,"$207,586","$3,556,053",0.06,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,HAEDAL,$0.045500,2.08%,"$117,558","$842,590",0.14,https://dexscreener.com/sui/0x711f5d37e3b09b026b182d9e0973d05e9a837d11066ff48f4a55a426d8913359
sui,BLUB,$0.000000,45.02%,"$30,780","$257,399",0.12,https://dexscreener.com/sui/0x40a372f9ee1989d76ceb8e50941b04468f8551d091fb8a5d7211522e42e60aaf
sui,USDB,$0.999900,0.02%,"$21,741","$1,086,937",0.02,https://dexscreener.com/sui/0x7a0abae43a864801894c29d72c387ce7681ba752dd331492b32c3c5e1672c973
avalanche,AUSD,$1.000300,-0.01%,"$11,884,310","$2,222,105",5.35,https://dexscreener.com/avalanche/0xcec377285abf370fdf872625d2742252656d631a
avalanche,JOE,$0.072590,8.69%,"$224,180","$810,365",0.28,https://dexscreener.com/avalanche/0x454e67025631c065d3cfad6d71e6892f74487a15
avalanche,COQ,$0.000000,11.29%,"$180,645","$955,567",0.19,https://dexscreener.com/avalanche/0x41ab86eecbd110a82ca602d032a461f453066f1e
avalanche,ARENA,$0.002171,7.93%,"$96,931","$324,159",0.30,https://dexscreener.com/avalanche/0xa78c3e56afb8d34a536825e2497255e78b388619
avalanche,GUN,$0.014240,2.45%,"$84,203","$322,275",0.26,https://dexscreener.com/avalanche/0xbd26e663281fb35d4757219eb180f02e8a065c09
