=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Cronos,"$392,553,222",3.13%,6.27%,🔥 資金暴衝
Tron,"$4,666,068,448",2.90%,7.02%,🚀 加速流入
Sui,"$989,836,011",2.73%,6.92%,🚀 加速流入
OP Mainnet,"$306,816,354",2.18%,4.53%,🚀 加速流入
Hyperliquid L1,"$1,436,470,716",1.63%,-2.86%,🟢 穩健增長
Solana,"$8,740,750,771",1.56%,4.50%,🚀 加速流入
Avalanche,"$1,330,691,224",1.47%,4.92%,🚀 加速流入
Bitcoin,"$7,081,712,811",1.28%,3.76%,🚀 加速流入
Base,"$4,697,743,037",1.12%,6.12%,🚀 加速流入
Aptos,"$448,473,924",1.01%,2.06%,🚀 加速流入
Arbitrum,"$3,046,931,016",0.70%,7.48%,🟢 穩健增長
Vaulta,"$387,648,722",0.65%,2.33%,🚀 加速流入
BSC,"$6,781,188,489",0.53%,5.68%,🟢 穩健增長
Ethereum,"$72,527,378,808",0.41%,5.76%,🟢 穩健增長
Mantle,"$337,052,080",0.39%,0.52%,🚀 加速流入
Polygon,"$1,087,931,864",-0.93%,-6.82%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
cronos,PEPE,$0.000007,13.57%,"$28,426","$96,488",0.29,https://dexscreener.com/cronos/0xb90d6e09075168281d47da6f0665ff4fd8f0ff6f
cronos,FER,$0.000384,0.24%,"$8,964","$95,538",0.09,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,CROID,$0.010450,8.22%,"$4,482","$138,231",0.03,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,DOGE,$0.151300,6.25%,"$1,805","$61,959",0.03,https://dexscreener.com/cronos/0x2c30327a7ce35b9294ecf8624d1eda001b9e337f
cronos,VNO,$0.008367,4.83%,"$5,109","$291,634",0.02,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
tron,PEPE,$0.010520,-12.64%,"$375,837","$636,268",0.59,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,SUNDOG,$0.013840,48.77%,"$277,355","$1,098,625",0.25,https://dexscreener.com/tron/tdr7rpu33htog8qo9i676v56bzcjkpjqox
tron,AIT,$0.783000,0.80%,"$46,316","$194,732",0.24,https://dexscreener.com/tron/tenhghfwidt8roey6gtyymgrk8v7njspap
tron,EAT,$0.000435,3.33%,"$9,216","$136,433",0.07,https://dexscreener.com/tron/tyyp4ybbzx2vaifaihwgdztvwyjaao2mu2
tron,WIN,$0.000029,7.41%,"$53,363","$1,654,509",0.03,https://dexscreener.com/tron/tc1ghhc5igfluuuthriuuu183p8ywpmqsk
sui,MAGMA,$0.138300,-3.40%,"$1,393,616","$193,412",7.21,https://dexscreener.com/sui/0x9aedfbd1a64798b83a0d70d4432327c6372207aa2ff60ed828b799a634054411
sui,DEEP,$0.040040,0.88%,"$272,907","$113,145",2.41,https://dexscreener.com/sui/0xd978d331772a5b90d5a4781e1232d18afd12019d0c35db79e3674beeda8f9126
sui,WAL,$0.136900,2.18%,"$193,034","$134,716",1.43,https://dexscreener.com/sui/0xf4238fa592c9ed7f148fd091cb2c4147cb15ad81b797115ce42971923ebf6e4c
sui,IKA,$0.008086,0.53%,"$67,463","$124,669",0.54,https://dexscreener.com/sui/0xc23e7e8a74f0b18af4dfb7c3280e2a56916ec4d41e14416f85184a8aab6b7789
sui,US,$0.006480,4.96%,"$299,275","$637,909",0.47,https://dexscreener.com/sui/0x968f1f73b8e766e2ce0198c807d0c956aa384bfe64c98a18e56bfb970a13e7bb
optimism,VELO,$0.022740,-0.21%,"$6,789","$112,604",0.06,https://dexscreener.com/optimism/0x8134a2fdc127549480865fb8e5a9e8a8a95a54c5
optimism,MOOBIFI,$188.052000,-0.23%,"$3,937","$343,294",0.01,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,RING,$0.005420,4.35%,"$2,575","$285,465",0.01,https://dexscreener.com/optimism/0x69a9b0f791507c50b413d24abb761acb5ac52728
optimism,TAROT,$0.051140,1.95%,"$2,177","$448,186",0.00,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
optimism,ALETH,$3043.990000,1.05%,"$17,079","$4,131,489",0.00,https://dexscreener.com/optimism/0xa1055762336f92b4b8d2edc032a0ce45ead6280a
