=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Hyperliquid L1,"$1,461,670,197",3.42%,-1.16%,🔥 資金暴衝
Tron,"$4,671,951,177",3.02%,7.16%,🔥 資金暴衝
Cronos,"$391,620,211",2.88%,6.01%,🚀 加速流入
Sui,"$989,913,415",2.74%,6.93%,🚀 加速流入
Avalanche,"$1,340,081,363",2.19%,5.66%,🚀 加速流入
OP Mainnet,"$305,452,223",1.72%,4.06%,🚀 加速流入
Solana,"$8,741,904,051",1.57%,4.51%,🚀 加速流入
Polygon,"$1,113,809,012",1.42%,-4.60%,🟢 穩健增長
Bitcoin,"$7,089,526,869",1.39%,3.87%,🚀 加速流入
Base,"$4,706,678,125",1.32%,6.32%,🚀 加速流入
BSC,"$6,814,692,959",1.02%,6.20%,🚀 加速流入
Vaulta,"$388,281,738",0.81%,2.50%,🚀 加速流入
Arbitrum,"$3,047,021,514",0.71%,7.48%,🟢 穩健增長
Ethereum,"$72,566,949,557",0.46%,5.82%,🟢 穩健增長
Mantle,"$337,162,197",0.43%,0.55%,🚀 加速流入
Aptos,"$440,419,742",-0.80%,0.22%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
tron,PEPE,$0.009352,-18.79%,"$452,592","$599,397",0.76,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,SUNDOG,$0.012830,35.03%,"$439,445","$1,056,991",0.42,https://dexscreener.com/tron/tdr7rpu33htog8qo9i676v56bzcjkpjqox
tron,JST,$0.040970,4.53%,"$122,867","$7,487,053",0.02,https://dexscreener.com/tron/tw68dbgdy9gtk16bfzmvacz9peti3kfkk2
tron,OSP,$1.800000,6.76%,"$74,068","$3,609,863",0.02,https://dexscreener.com/tron/tsqxeoxd6qwhunblj9slq7p8wy59oabuf8
tron,WIN,$0.000029,3.57%,"$66,261","$1,654,602",0.04,https://dexscreener.com/tron/tc1ghhc5igfluuuthriuuu183p8ywpmqsk
cronos,PEPE,$0.000007,17.51%,"$30,214","$98,961",0.31,https://dexscreener.com/cronos/0xb90d6e09075168281d47da6f0665ff4fd8f0ff6f
cronos,FUL,$0.003189,4.27%,"$4,236","$276,725",0.02,https://dexscreener.com/cronos/0x6ae624714f221964aff3ab8d8276a7ec142a759f
cronos,H2,$0.000633,3.03%,$147,"$104,155",0.00,https://dexscreener.com/cronos/0x910c37d26a9eb4aadff925b47ffde6308e03fa37
sui,SCA,$0.042620,1.59%,"$237,638","$416,045",0.57,https://dexscreener.com/sui/0x9661cca01a5b9b3536883568fa967a2943e237de11a97976795f5adb293892e9
sui,JACKSON,$0.043350,2.75%,"$207,516","$3,545,546",0.06,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
