=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Cronos,"$392,893,687",3.22%,6.36%,🔥 資金暴衝
Tron,"$4,666,068,448",2.90%,7.02%,🚀 加速流入
Sui,"$991,406,708",2.90%,7.09%,🚀 加速流入
OP Mainnet,"$306,974,480",2.23%,4.58%,🚀 加速流入
Hyperliquid L1,"$1,436,470,716",1.63%,-2.86%,🟢 穩健增長
Avalanche,"$1,332,646,255",1.62%,5.07%,🚀 加速流入
Solana,"$8,740,750,771",1.56%,4.50%,🚀 加速流入
Bitcoin,"$7,081,712,811",1.28%,3.76%,🚀 加速流入
Base,"$4,705,008,407",1.28%,6.28%,🚀 加速流入
Arbitrum,"$3,045,754,377",0.66%,7.44%,🟢 穩健增長
Vaulta,"$387,648,722",0.65%,2.33%,🚀 加速流入
Aptos,"$446,740,483",0.62%,1.66%,🚀 加速流入
Ethereum,"$72,585,219,032",0.49%,5.85%,🟢 穩健增長
BSC,"$6,775,948,695",0.45%,5.60%,🟢 穩健增長
Mantle,"$337,052,080",0.39%,0.52%,🚀 加速流入
Polygon,"$1,087,931,864",-0.93%,-6.82%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
cronos,PEPE,$0.000007,12.58%,"$28,584","$96,416",0.30,https://dexscreener.com/cronos/0xb90d6e09075168281d47da6f0665ff4fd8f0ff6f
cronos,FER,$0.000383,-0.11%,"$8,989","$95,367",0.09,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,CROID,$0.010450,7.98%,"$4,482","$138,231",0.03,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,DOGE,$0.151300,6.85%,"$1,702","$61,959",0.03,https://dexscreener.com/cronos/0x2c30327a7ce35b9294ecf8624d1eda001b9e337f
cronos,VNO,$0.008374,4.92%,"$5,168","$291,754",0.02,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
tron,PEPE,$0.010570,-12.95%,"$371,167","$637,723",0.58,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,SUNDOG,$0.013020,39.42%,"$332,276","$1,066,199",0.31,https://dexscreener.com/tron/tdr7rpu33htog8qo9i676v56bzcjkpjqox
tron,AIT,$0.783000,0.74%,"$45,202","$194,732",0.23,https://dexscreener.com/tron/tenhghfwidt8roey6gtyymgrk8v7njspap
tron,EAT,$0.000435,3.33%,"$9,216","$136,433",0.07,https://dexscreener.com/tron/tyyp4ybbzx2vaifaihwgdztvwyjaao2mu2
tron,WIN,$0.000029,7.41%,"$56,485","$1,654,533",0.03,https://dexscreener.com/tron/tc1ghhc5igfluuuthriuuu183p8ywpmqsk
sui,MAGMA,$0.135400,-7.81%,"$1,392,462","$191,167",7.28,https://dexscreener.com/sui/0x9aedfbd1a64798b83a0d70d4432327c6372207aa2ff60ed828b799a634054411
sui,DEEP,$0.040200,1.62%,"$272,625","$113,111",2.41,https://dexscreener.com/sui/0xd978d331772a5b90d5a4781e1232d18afd12019d0c35db79e3674beeda8f9126
sui,WAL,$0.139400,4.19%,"$196,422","$135,560",1.45,https://dexscreener.com/sui/0xf4238fa592c9ed7f148fd091cb2c4147cb15ad81b797115ce42971923ebf6e4c
sui,IKA,$0.008069,0.45%,"$68,076","$124,670",0.55,https://dexscreener.com/sui/0xc23e7e8a74f0b18af4dfb7c3280e2a56916ec4d41e14416f85184a8aab6b7789
sui,US,$0.006525,5.51%,"$305,082","$640,616",0.48,https://dexscreener.com/sui/0x968f1f73b8e766e2ce0198c807d0c956aa384bfe64c98a18e56bfb970a13e7bb
optimism,USD₮0,$0.999800,-0.02%,"$35,472","$420,884",0.08,https://dexscreener.com/optimism/0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9
optimism,VELO,$0.022770,1.46%,"$6,428","$112,681",0.06,https://dexscreener.com/optimism/0x8134a2fdc127549480865fb8e5a9e8a8a95a54c5
optimism,RING,$0.005420,4.44%,"$2,575","$285,465",0.01,https://dexscreener.com/optimism/0x69a9b0f791507c50b413d24abb761acb5ac52728
optimism,MOOBIFI,$187.460000,-1.60%,"$2,923","$342,230",0.01,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,TAROT,$0.051140,1.95%,"$2,177","$448,187",0.00,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
avalanche,AUSD,$1.000100,0.00%,"$11,680,670","$2,543,255",4.59,https://dexscreener.com/avalanche/0x8573f98175d816d520248b5facf40d309b1c9cee
avalanche,SAVAX,$17.510000,1.75%,"$773,345","$778,397",0.99,https://dexscreener.com/avalanche/0x883ea72c2a46f7acb3820855344c43666c6cc5c0
avalanche,ARENA,$0.002148,7.66%,"$163,181","$320,664",0.51,https://dexscreener.com/avalanche/0xa78c3e56afb8d34a536825e2497255e78b388619
avalanche,GUN,$0.014240,1.59%,"$126,956","$320,498",0.40,https://dexscreener.com/avalanche/0xbd26e663281fb35d4757219eb180f02e8a065c09
avalanche,FOLKS,$4.092000,0.90%,"$21,521","$62,824",0.34,https://dexscreener.com/avalanche/0xb3dc87bd570d8deaa960763234ef3d93cc789e6c
solana,LIBERTADOR,$0.000078,-93.35%,"$2,619,299","$28,725",91.19,https://dexscreener.com/solana/7z93mgwkcbplnshxpt6hmjbrrvblsj7vqfaphdngochb
solana,AMERICA,$0.000186,214.00%,"$4,116,725","$48,809",84.34,https://dexscreener.com/solana/hkehmgtbympmnxjktlxswcmha4qziwnh6n7plmyuuux6
solana,FAFO,$0.000928,84.00%,"$10,446,476","$128,236",81.46,https://dexscreener.com/solana/9xusvxuvkkrdcmhxbhek4uzp4hxz5sukt3eyajidy6fl
solana,MADURO,$0.001376,2280.00%,"$6,096,008","$119,894",50.84,https://dexscreener.com/solana/2hepehcrsrazfmvykyyrrfgdoirppr2emnqaiyqydfbo
solana,MARLEE,$0.000111,-85.34%,"$1,792,136","$38,900",46.07,https://dexscreener.com/solana/gbdbj2qx7xltrcetzmxhwn5upo2etzfgihlehko6frim
base,VIRTUAL,$0.900300,6.74%,"$8,724,367","$693,591",12.58,https://dexscreener.com/base/0x3f0296bf652e19bca772ec3df08b32732f93014a
base,CRYPTOVC,$0.000466,791.00%,"$1,085,471","$110,362",9.84,https://dexscreener.com/base/0x76c2650b7bd16bbfd7763955b6dc90eb46316de07c667ae4dba6066517692122
base,DEPLOYER,$0.000726,-37.52%,"$768,872","$151,686",5.07,https://dexscreener.com/base/0x87d7af8b040afc1aca217f876e23251d5705f3618dc2aaec9d522dd0688ebda3
base,BNKR,$0.000202,13.67%,"$382,107","$118,165",3.23,https://dexscreener.com/base/0xcdd442e2de893c07146b2f1072f8e077559f9aa4
base,ZORA,$0.043320,0.40%,"$1,590,802","$519,700",3.06,https://dexscreener.com/base/0x3f53f1fd5b7723ddf38d93a584d280b9b94c3111
arbitrum,PENDLE,$2.220000,1.77%,"$480,145","$428,006",1.12,https://dexscreener.com/arbitrum/0xe461f84c3fe6bcdd1162eb0ef4284f3bb6e4cad3
arbitrum,ZRO,$1.400000,6.26%,"$18,586","$58,570",0.32,https://dexscreener.com/arbitrum/0x105ba85d9047daf3f9fe941d8188d4b9a6900388
arbitrum,GNS,$1.150000,-0.17%,"$101,576","$637,544",0.16,https://dexscreener.com/arbitrum/0x9b6ff025aee245d314c09f57b72f0de6e231c3a6
arbitrum,MAGIC,$0.101200,3.71%,"$5,286","$50,547",0.10,https://dexscreener.com/arbitrum/0x1106db7165a8d4a8559b441ecdee14a5d5070dbc
arbitrum,GMX,$8.170000,1.63%,"$5,895","$65,776",0.09,https://dexscreener.com/arbitrum/0xc99be44383bc8d82357f5a1d9ae9976ee9d75bee
aptos,DOODOO,$0.085880,0.95%,$14,"$160,899",0.00,https://dexscreener.com/aptos/liquidswapv0p5-2297
aptos,STAPT,$2.260000,0.94%,$2,"$63,668",0.00,https://dexscreener.com/aptos/liquidswapv0p5-2044
ethereum,BEAR,$0.013520,-38.91%,"$431,451","$110,448",3.91,https://dexscreener.com/ethereum/0xf15b73e7f5edcfc0d91da289c21d9af89cf377ce
ethereum,CVX,$2.100000,22.20%,"$986,116","$330,286",2.99,https://dexscreener.com/ethereum/0x05767d9ef41dc40689678ffca0608878fb3de906
ethereum,ATLAS,$0.000000,6.73%,"$237,850","$128,654",1.85,https://dexscreener.com/ethereum/0xf48e2d9b367594be8fd287ab61332e8b80a6912e
ethereum,YEE,$0.025540,42.02%,"$1,792,978","$1,139,056",1.57,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
ethereum,MOG,$0.000000,14.39%,"$4,056,365","$10,425,363",0.39,https://dexscreener.com/ethereum/0xc2eab7d33d3cb97692ecb231a5d0e4a649cb539d
bsc,来坐牢吧,$0.000008,-92.54%,"$4,876,074","$11,558",421.88,https://dexscreener.com/bsc/0xab6685a4f0c5f5bc6cf1928613e83fad00136ef4
bsc,HAPPY-SCI,$0.001164,1621.00%,"$5,382,925","$133,488",40.33,https://dexscreener.com/bsc/0x9cf746e45a0cbfbc39c928b66953d086b942f7fa
bsc,人生K线,$0.000719,-77.37%,"$4,029,353","$131,328",30.68,https://dexscreener.com/bsc/0x8dd1610052d4d7ccbeb687417a2333a90b012e27
