=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Cronos,"$392,415,037",3.09%,6.23%,🔥 資金暴衝
Tron,"$4,666,202,611",2.90%,7.02%,🚀 加速流入
Sui,"$989,625,501",2.71%,6.90%,🚀 加速流入
OP Mainnet,"$307,131,222",2.28%,4.63%,🚀 加速流入
Hyperliquid L1,"$1,442,357,225",2.05%,-2.46%,🟢 穩健增長
Solana,"$8,743,793,509",1.59%,4.53%,🚀 加速流入
Avalanche,"$1,332,148,011",1.58%,5.03%,🚀 加速流入
Base,"$4,706,504,027",1.31%,6.32%,🚀 加速流入
Bitcoin,"$7,082,493,629",1.29%,3.77%,🚀 加速流入
Aptos,"$446,867,523",0.65%,1.69%,🚀 加速流入
Vaulta,"$387,656,707",0.65%,2.33%,🚀 加速流入
BSC,"$6,788,031,328",0.63%,5.78%,🟢 穩健增長
Arbitrum,"$3,042,546,399",0.56%,7.32%,🟢 穩健增長
Ethereum,"$72,527,477,301",0.41%,5.76%,🟢 穩健增長
Mantle,"$337,050,399",0.39%,0.52%,🚀 加速流入
Polygon,"$1,087,774,179",-0.95%,-6.83%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
cronos,PEPE,$0.000007,16.41%,"$27,436","$97,072",0.28,https://dexscreener.com/cronos/0xb90d6e09075168281d47da6f0665ff4fd8f0ff6f
cronos,FER,$0.000383,-0.06%,"$8,860","$95,483",0.09,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,CROID,$0.010630,9.51%,"$5,965","$139,482",0.04,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,VNO,$0.008478,5.92%,"$9,077","$293,505",0.03,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
cronos,DOGE,$0.150900,6.83%,"$1,656","$61,858",0.03,https://dexscreener.com/cronos/0x2c30327a7ce35b9294ecf8624d1eda001b9e337f
tron,PEPE,$0.010490,-10.39%,"$340,566","$634,929",0.54,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,SUNDOG,$0.012540,33.35%,"$368,960","$1,045,263",0.35,https://dexscreener.com/tron/tdr7rpu33htog8qo9i676v56bzcjkpjqox
tron,AIT,$0.765100,-2.07%,"$46,274","$192,491",0.24,https://dexscreener.com/tron/tenhghfwidt8roey6gtyymgrk8v7njspap
tron,EAT,$0.000435,3.33%,"$9,216","$136,433",0.07,https://dexscreener.com/tron/tyyp4ybbzx2vaifaihwgdztvwyjaao2mu2
tron,ARES,$0.000055,15.78%,"$2,771","$55,022",0.05,https://dexscreener.com/tron/tmaypj9wnqwqzabn5mweh3qxpzge6gnixr
sui,MAGMA,$0.137500,-7.15%,"$1,354,873","$192,819",7.03,https://dexscreener.com/sui/0x9aedfbd1a64798b83a0d70d4432327c6372207aa2ff60ed828b799a634054411
sui,DEEP,$0.040540,2.51%,"$263,146","$114,732",2.29,https://dexscreener.com/sui/0xd978d331772a5b90d5a4781e1232d18afd12019d0c35db79e3674beeda8f9126
sui,WAL,$0.140000,4.58%,"$196,875","$136,501",1.44,https://dexscreener.com/sui/0xf4238fa592c9ed7f148fd091cb2c4147cb15ad81b797115ce42971923ebf6e4c
sui,IKA,$0.007710,-4.05%,"$71,356","$121,011",0.59,https://dexscreener.com/sui/0xc23e7e8a74f0b18af4dfb7c3280e2a56916ec4d41e14416f85184a8aab6b7789
sui,US,$0.006518,4.37%,"$313,684","$640,212",0.49,https://dexscreener.com/sui/0x968f1f73b8e766e2ce0198c807d0c956aa384bfe64c98a18e56bfb970a13e7bb
optimism,USD₮0,$0.999800,-0.02%,"$35,791","$420,892",0.09,https://dexscreener.com/optimism/0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9
optimism,VELO,$0.022980,4.48%,"$6,226","$113,214",0.05,https://dexscreener.com/optimism/0x8134a2fdc127549480865fb8e5a9e8a8a95a54c5
optimism,RING,$0.005420,4.37%,"$2,555","$285,465",0.01,https://dexscreener.com/optimism/0x69a9b0f791507c50b413d24abb761acb5ac52728
optimism,MOOBIFI,$187.750000,-1.54%,"$2,889","$342,716",0.01,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,TAROT,$0.051190,2.03%,"$2,269","$448,356",0.01,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
solana,AMERICA,$0.000112,89.82%,"$4,143,935","$37,985",109.09,https://dexscreener.com/solana/hkehmgtbympmnxjktlxswcmha4qziwnh6n7plmyuuux6
solana,FAFO,$0.001280,7.41%,"$10,056,406","$149,939",67.07,https://dexscreener.com/solana/9xusvxuvkkrdcmhxbhek4uzp4hxz5sukt3eyajidy6fl
solana,LIBERTADOR,$0.000071,-94.10%,"$1,751,517","$27,443",63.82,https://dexscreener.com/solana/7z93mgwkcbplnshxpt6hmjbrrvblsj7vqfaphdngochb
solana,MADURO,$0.001149,1887.00%,"$6,248,864","$109,844",56.89,https://dexscreener.com/solana/2hepehcrsrazfmvykyyrrfgdoirppr2emnqaiyqydfbo
solana,MARLEE,$0.000096,-84.77%,"$1,521,683","$36,199",42.04,https://dexscreener.com/solana/gbdbj2qx7xltrcetzmxhwn5upo2etzfgihlehko6frim
avalanche,AUSD,$1.000100,0.00%,"$11,768,950","$2,506,348",4.70,https://dexscreener.com/avalanche/0x8573f98175d816d520248b5facf40d309b1c9cee
avalanche,SAVAX,$17.650000,2.00%,"$763,851","$784,613",0.97,https://dexscreener.com/avalanche/0x883ea72c2a46f7acb3820855344c43666c6cc5c0
avalanche,ARENA,$0.002165,6.73%,"$160,955","$323,189",0.50,https://dexscreener.com/avalanche/0xa78c3e56afb8d34a536825e2497255e78b388619
avalanche,GUN,$0.014360,2.82%,"$122,921","$322,822",0.38,https://dexscreener.com/avalanche/0xbd26e663281fb35d4757219eb180f02e8a065c09
avalanche,FOLKS,$4.150000,3.59%,"$23,222","$63,576",0.37,https://dexscreener.com/avalanche/0xb3dc87bd570d8deaa960763234ef3d93cc789e6c
base,VIRTUAL,$0.907000,8.51%,"$8,873,425","$696,432",12.74,https://dexscreener.com/base/0x3f0296bf652e19bca772ec3df08b32732f93014a
base,CRYPTOVC,$0.000491,840.00%,"$1,102,185","$113,992",9.67,https://dexscreener.com/base/0x76c2650b7bd16bbfd7763955b6dc90eb46316de07c667ae4dba6066517692122
base,DEPLOYER,$0.000683,-49.76%,"$719,285","$147,094",4.89,https://dexscreener.com/base/0x87d7af8b040afc1aca217f876e23251d5705f3618dc2aaec9d522dd0688ebda3
base,BNKR,$0.000203,14.40%,"$389,240","$121,018",3.22,https://dexscreener.com/base/0xcdd442e2de893c07146b2f1072f8e077559f9aa4
base,ZORA,$0.043580,1.50%,"$1,607,281","$545,696",2.95,https://dexscreener.com/base/0x3f53f1fd5b7723ddf38d93a584d280b9b94c3111
aptos,DOODOO,$0.086240,1.38%,$16,"$161,588",0.00,https://dexscreener.com/aptos/liquidswapv0p5-2297
aptos,STAPT,$2.260000,0.71%,$2,"$63,668",0.00,https://dexscreener.com/aptos/liquidswapv0p5-2044
bsc,来坐牢吧,$0.000008,-92.34%,"$4,876,161","$11,747",415.08,https://dexscreener.com/bsc/0xab6685a4f0c5f5bc6cf1928613e83fad00136ef4
bsc,HAPPY-SCI,$0.000819,1110.00%,"$5,509,378","$112,685",48.89,https://dexscreener.com/bsc/0x9cf746e45a0cbfbc39c928b66953d086b942f7fa
bsc,人生K线,$0.000803,-65.73%,"$3,805,572","$139,784",27.22,https://dexscreener.com/bsc/0x8dd1610052d4d7ccbeb687417a2333a90b012e27
bsc,我踏马来了,$0.000262,32.10%,"$1,741,148","$74,918",23.24,https://dexscreener.com/bsc/0xa651c8deb3ff9f8d56a26e72042b7a8a1f433480
bsc,BNBJAK,$0.000144,34.51%,"$424,323","$43,912",9.66,https://dexscreener.com/bsc/0x4501a50e970db6367bc1a4bf306f85a736e713a4
arbitrum,PENDLE,$2.250000,2.77%,"$507,143","$431,563",1.18,https://dexscreener.com/arbitrum/0xe461f84c3fe6bcdd1162eb0ef4284f3bb6e4cad3
arbitrum,ZRO,$1.410000,6.30%,"$16,909","$58,711",0.29,https://dexscreener.com/arbitrum/0x105ba85d9047daf3f9fe941d8188d4b9a6900388
arbitrum,GNS,$1.150000,-0.16%,"$102,958","$637,782",0.16,https://dexscreener.com/arbitrum/0x9b6ff025aee245d314c09f57b72f0de6e231c3a6
arbitrum,MAGIC,$0.101500,3.17%,"$5,452","$50,656",0.11,https://dexscreener.com/arbitrum/0x1106db7165a8d4a8559b441ecdee14a5d5070dbc
arbitrum,GMX,$8.230000,2.34%,"$6,835","$66,187",0.10,https://dexscreener.com/arbitrum/0xc99be44383bc8d82357f5a1d9ae9976ee9d75bee
ethereum,BEAR,$0.012740,-41.04%,"$444,961","$107,419",4.14,https://dexscreener.com/ethereum/0xf15b73e7f5edcfc0d91da289c21d9af89cf377ce
ethereum,CVX,$2.092000,13.10%,"$905,617","$329,686",2.75,https://dexscreener.com/ethereum/0x05767d9ef41dc40689678ffca0608878fb3de906
ethereum,ATLAS,$0.000000,-2.11%,"$245,515","$123,135",1.99,https://dexscreener.com/ethereum/0xf48e2d9b367594be8fd287ab61332e8b80a6912e
ethereum,YEE,$0.025340,40.12%,"$1,808,316","$1,135,589",1.59,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
