=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Cronos,"$392,415,037",3.09%,6.23%,🔥 資金暴衝
Tron,"$4,669,359,883",2.97%,7.10%,🚀 加速流入
Sui,"$989,625,501",2.71%,6.90%,🚀 加速流入
OP Mainnet,"$307,131,222",2.28%,4.63%,🚀 加速流入
Hyperliquid L1,"$1,444,521,414",2.20%,-2.31%,🟢 穩健增長
Solana,"$8,745,162,023",1.61%,4.55%,🚀 加速流入
Avalanche,"$1,332,148,011",1.58%,5.03%,🚀 加速流入
Base,"$4,706,504,027",1.31%,6.32%,🚀 加速流入
Bitcoin,"$7,078,109,902",1.22%,3.70%,🚀 加速流入
Vaulta,"$388,234,982",0.80%,2.49%,🚀 加速流入
Aptos,"$446,867,523",0.65%,1.69%,🚀 加速流入
BSC,"$6,788,031,328",0.63%,5.78%,🟢 穩健增長
Arbitrum,"$3,042,546,399",0.56%,7.32%,🟢 穩健增長
Mantle,"$337,280,402",0.46%,0.59%,🚀 加速流入
Ethereum,"$72,527,477,301",0.41%,5.76%,🟢 穩健增長
Polygon,"$1,093,340,269",-0.44%,-6.35%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
cronos,PEPE,$0.000007,16.45%,"$27,303","$97,487",0.28,https://dexscreener.com/cronos/0xb90d6e09075168281d47da6f0665ff4fd8f0ff6f
cronos,FER,$0.000383,0.15%,"$8,748","$95,483",0.09,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,CROID,$0.010660,9.81%,"$5,927","$139,953",0.04,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,VNO,$0.008513,6.18%,"$9,064","$294,860",0.03,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
cronos,DOGE,$0.151800,7.50%,"$1,677","$62,206",0.03,https://dexscreener.com/cronos/0x2c30327a7ce35b9294ecf8624d1eda001b9e337f
tron,PEPE,$0.010390,-11.84%,"$343,334","$632,178",0.54,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,SUNDOG,$0.012410,31.55%,"$375,522","$1,040,433",0.36,https://dexscreener.com/tron/tdr7rpu33htog8qo9i676v56bzcjkpjqox
tron,AIT,$0.765100,-2.07%,"$46,274","$192,491",0.24,https://dexscreener.com/tron/tenhghfwidt8roey6gtyymgrk8v7njspap
tron,EAT,$0.000435,3.33%,"$9,216","$136,433",0.07,https://dexscreener.com/tron/tyyp4ybbzx2vaifaihwgdztvwyjaao2mu2
tron,ARES,$0.000058,20.89%,"$3,358","$56,254",0.06,https://dexscreener.com/tron/tmaypj9wnqwqzabn5mweh3qxpzge6gnixr
