=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Cronos,"$392,269,790",3.05%,6.19%,🔥 資金暴衝
Tron,"$4,669,359,883",2.97%,7.10%,🚀 加速流入
Sui,"$990,872,604",2.84%,7.04%,🚀 加速流入
Hyperliquid L1,"$1,449,110,368",2.53%,-2.00%,🟢 穩健增長
Avalanche,"$1,337,104,866",1.96%,5.42%,🚀 加速流入
OP Mainnet,"$305,450,211",1.72%,4.06%,🚀 加速流入
Solana,"$8,745,162,023",1.61%,4.55%,🚀 加速流入
Bitcoin,"$7,091,781,834",1.42%,3.90%,🚀 加速流入
Base,"$4,708,374,012",1.35%,6.36%,🚀 加速流入
BSC,"$6,801,711,413",0.83%,6.00%,🟢 穩健增長
Vaulta,"$388,234,982",0.80%,2.49%,🚀 加速流入
Aptos,"$447,475,339",0.79%,1.83%,🚀 加速流入
Arbitrum,"$3,045,223,854",0.65%,7.42%,🟢 穩健增長
Ethereum,"$72,600,815,615",0.51%,5.87%,🟢 穩健增長
Mantle,"$337,280,402",0.46%,0.59%,🚀 加速流入
Polygon,"$1,091,603,204",-0.60%,-6.50%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
cronos,PEPE,$0.000007,16.53%,"$27,320","$97,523",0.28,https://dexscreener.com/cronos/0xb90d6e09075168281d47da6f0665ff4fd8f0ff6f
cronos,FER,$0.000383,0.15%,"$8,673","$95,483",0.09,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,CROID,$0.010700,10.88%,"$5,957","$140,439",0.04,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,VNO,$0.008513,7.59%,"$8,829","$294,860",0.03,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
cronos,DOGE,$0.151800,7.50%,"$1,677","$62,206",0.03,https://dexscreener.com/cronos/0x2c30327a7ce35b9294ecf8624d1eda001b9e337f
tron,PEPE,$0.010420,-11.73%,"$343,880","$633,361",0.54,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,SUNDOG,$0.012210,29.43%,"$380,200","$1,032,409",0.37,https://dexscreener.com/tron/tdr7rpu33htog8qo9i676v56bzcjkpjqox
tron,ARES,$0.000061,28.02%,"$6,339","$57,907",0.11,https://dexscreener.com/tron/tmaypj9wnqwqzabn5mweh3qxpzge6gnixr
tron,EAT,$0.000436,3.56%,"$9,316","$136,590",0.07,https://dexscreener.com/tron/tyyp4ybbzx2vaifaihwgdztvwyjaao2mu2
tron,WIN,$0.000029,3.57%,"$57,410","$1,654,533",0.03,https://dexscreener.com/tron/tc1ghhc5igfluuuthriuuu183p8ywpmqsk
sui,MAGMA,$0.137800,-8.26%,"$1,315,412","$193,082",6.81,https://dexscreener.com/sui/0x9aedfbd1a64798b83a0d70d4432327c6372207aa2ff60ed828b799a634054411
sui,DEEP,$0.040720,3.47%,"$282,817","$115,252",2.45,https://dexscreener.com/sui/0xd978d331772a5b90d5a4781e1232d18afd12019d0c35db79e3674beeda8f9126
sui,WAL,$0.141100,5.76%,"$206,195","$137,527",1.50,https://dexscreener.com/sui/0xf4238fa592c9ed7f148fd091cb2c4147cb15ad81b797115ce42971923ebf6e4c
sui,LOFI,$0.008632,42.25%,"$61,317","$50,283",1.22,https://dexscreener.com/sui/0xd6918afa64d432b84b48088d165b0dda0b7459463a7d66365f7ff890cae22d2d
sui,IKA,$0.007719,-3.92%,"$73,153","$121,032",0.60,https://dexscreener.com/sui/0xc23e7e8a74f0b18af4dfb7c3280e2a56916ec4d41e14416f85184a8aab6b7789
avalanche,AUSD,$1.000100,0.00%,"$11,784,247","$2,506,390",4.70,https://dexscreener.com/avalanche/0x8573f98175d816d520248b5facf40d309b1c9cee
avalanche,SAVAX,$17.660000,2.30%,"$763,009","$784,863",0.97,https://dexscreener.com/avalanche/0x883ea72c2a46f7acb3820855344c43666c6cc5c0
avalanche,ARENA,$0.002152,6.25%,"$159,495","$321,278",0.50,https://dexscreener.com/avalanche/0xa78c3e56afb8d34a536825e2497255e78b388619
avalanche,FOLKS,$4.150000,2.31%,"$22,734","$63,603",0.36,https://dexscreener.com/avalanche/0xb3dc87bd570d8deaa960763234ef3d93cc789e6c
avalanche,GUN,$0.014400,0.48%,"$104,352","$323,330",0.32,https://dexscreener.com/avalanche/0xbd26e663281fb35d4757219eb180f02e8a065c09
optimism,USD₮0,$0.999800,-0.01%,"$35,548","$420,892",0.08,https://dexscreener.com/optimism/0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9
optimism,VELO,$0.022930,5.08%,"$6,072","$113,071",0.05,https://dexscreener.com/optimism/0x8134a2fdc127549480865fb8e5a9e8a8a95a54c5
optimism,RING,$0.005394,3.84%,"$3,590","$285,847",0.01,https://dexscreener.com/optimism/0x69a9b0f791507c50b413d24abb761acb5ac52728
optimism,MOOBIFI,$188.230000,-1.35%,"$2,893","$343,586",0.01,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,TAROT,$0.051190,1.98%,"$2,216","$448,359",0.00,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
solana,AMERICA,$0.000086,-62.71%,"$3,383,464","$33,253",101.75,https://dexscreener.com/solana/hkehmgtbympmnxjktlxswcmha4qziwnh6n7plmyuuux6
solana,FAFO,$0.001083,-69.39%,"$8,015,468","$138,634",57.82,https://dexscreener.com/solana/9xusvxuvkkrdcmhxbhek4uzp4hxz5sukt3eyajidy6fl
solana,MADURO,$0.001623,2706.00%,"$6,381,481","$130,831",48.78,https://dexscreener.com/solana/2hepehcrsrazfmvykyyrrfgdoirppr2emnqaiyqydfbo
solana,CAPITALISM,$0.000047,-22.81%,"$1,108,188","$23,127",47.92,https://dexscreener.com/solana/aizaph33wgfuewfmm6lcx9eybj7se4vwewm1emfqgexd
solana,LIBERTADOR,$0.000070,-90.64%,"$1,218,741","$27,263",44.70,https://dexscreener.com/solana/7z93mgwkcbplnshxpt6hmjbrrvblsj7vqfaphdngochb
base,VIRTUAL,$0.902700,7.95%,"$8,968,048","$713,848",12.56,https://dexscreener.com/base/0x3f0296bf652e19bca772ec3df08b32732f93014a
base,CRYPTOVC,$0.000389,643.00%,"$1,120,854","$100,436",11.16,https://dexscreener.com/base/0x76c2650b7bd16bbfd7763955b6dc90eb46316de07c667ae4dba6066517692122
base,JIMVANDEHEI,$0.000425,652.00%,"$738,680","$101,404",7.28,https://dexscreener.com/base/0xaa9d23f97c34d6fac878acb1b47554c85b774cf5c5c452617d36eb4b8bf6c3fe
base,TOSHI,$0.000390,23.29%,"$735,401","$121,838",6.04,https://dexscreener.com/base/0x74e4c08bb50619b70550733d32b7e60424e9628e
base,DEPLOYER,$0.000665,-49.52%,"$661,297","$145,300",4.55,https://dexscreener.com/base/0x87d7af8b040afc1aca217f876e23251d5705f3618dc2aaec9d522dd0688ebda3
bsc,来坐牢吧,$0.000009,-91.92%,"$4,876,564","$12,080",403.69,https://dexscreener.com/bsc/0xab6685a4f0c5f5bc6cf1928613e83fad00136ef4
bsc,HAPPY-SCI,$0.000773,1042.00%,"$5,606,855","$109,681",51.12,https://dexscreener.com/bsc/0x9cf746e45a0cbfbc39c928b66953d086b942f7fa
bsc,人生K线,$0.000740,-60.20%,"$3,634,649","$134,252",27.07,https://dexscreener.com/bsc/0x8dd1610052d4d7ccbeb687417a2333a90b012e27
bsc,我踏马来了,$0.000305,67.64%,"$1,751,419","$80,906",21.65,https://dexscreener.com/bsc/0xa651c8deb3ff9f8d56a26e72042b7a8a1f433480
bsc,BULLA,$0.039780,-42.89%,"$15,113,073","$1,027,099",14.71,https://dexscreener.com/bsc/0x48bc32f212d539b23e1459e57dc27724aea6677a
aptos,DOODOO,$0.086240,1.06%,$12,"$161,588",0.00,https://dexscreener.com/aptos/liquidswapv0p5-2297
aptos,STAPT,$2.260000,0.60%,$1,"$63,668",0.00,https://dexscreener.com/aptos/liquidswapv0p5-2044
arbitrum,PENDLE,$2.230000,1.41%,"$542,779","$428,507",1.27,https://dexscreener.com/arbitrum/0xe461f84c3fe6bcdd1162eb0ef4284f3bb6e4cad3
arbitrum,ZRO,$1.410000,6.39%,"$14,986","$58,711",0.26,https://dexscreener.com/arbitrum/0x105ba85d9047daf3f9fe941d8188d4b9a6900388
arbitrum,GNS,$1.150000,-0.27%,"$103,372","$636,457",0.16,https://dexscreener.com/arbitrum/0x9b6ff025aee245d314c09f57b72f0de6e231c3a6
arbitrum,MAGIC,$0.101400,3.08%,"$5,499","$50,629",0.11,https://dexscreener.com/arbitrum/0x1106db7165a8d4a8559b441ecdee14a5d5070dbc
arbitrum,GMX,$8.230000,2.38%,"$6,897","$66,206",0.10,https://dexscreener.com/arbitrum/0xc99be44383bc8d82357f5a1d9ae9976ee9d75bee
ethereum,BEAR,$0.012680,-19.48%,"$406,711","$107,095",3.80,https://dexscreener.com/ethereum/0xf15b73e7f5edcfc0d91da289c21d9af89cf377ce
ethereum,CVX,$2.085000,3.95%,"$671,730","$328,993",2.04,https://dexscreener.com/ethereum/0x05767d9ef41dc40689678ffca0608878fb3de906
ethereum,ATLAS,$0.000000,-8.63%,"$223,098","$124,379",1.79,https://dexscreener.com/ethereum/0xf48e2d9b367594be8fd287ab61332e8b80a6912e
ethereum,YEE,$0.026770,21.96%,"$1,668,095","$1,166,241",1.43,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
ethereum,MOG,$0.000000,9.47%,"$3,948,753","$10,281,319",0.38,https://dexscreener.com/ethereum/0xc2eab7d33d3cb97692ecb231a5d0e4a649cb539d
polygon,SUT,$1.280000,44.70%,"$418,735","$710,929",0.59,https://dexscreener.com/polygon/0x6699f00b75741fc7ca4d20e190f763086f77cb41
polygon,AAVE,$164.950000,2.81%,"$48,700","$106,904",0.46,https://dexscreener.com/polygon/0x44720a6f572649526ac9073cae9200755cc78e0a
polygon,IXT,$0.294800,20.81%,"$30,052","$109,699",0.27,https://dexscreener.com/polygon/0x304e57c752e854e9a233ae82fcc42f7568b81180
polygon,QUICK,$0.012100,2.06%,"$37,572","$186,044",0.20,https://dexscreener.com/polygon/0xde2d1fd2e8238aba80a5b80c7262e4833d92f624
polygon,KARMA,$0.018960,4.36%,"$22,501","$112,248",0.20,https://dexscreener.com/polygon/0x6d1f31e55816141c3359c868ef9503378afc590f
