=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Bitcoin,"$7,215,516,021",2.00%,7.24%,🚀 加速流入
Hyperliquid L1,"$1,471,357,334",1.35%,-0.29%,🟢 穩健增長
BSC,"$6,818,431,946",0.97%,4.55%,🚀 加速流入
Vaulta,"$388,763,847",0.70%,2.67%,🚀 加速流入
Avalanche,"$1,340,118,530",0.57%,4.74%,🟢 穩健增長
Sui,"$990,544,819",0.52%,7.36%,🟢 穩健增長
Tron,"$4,697,246,159",0.48%,7.07%,🟢 穩健增長
Solana,"$8,747,603,472",0.45%,2.99%,🚀 加速流入
Mantle,"$337,366,622",0.29%,0.71%,🚀 加速流入
Cronos,"$391,547,615",0.12%,5.69%,🟢 穩健增長
Arbitrum,"$3,057,662,873",0.11%,7.75%,🟢 穩健增長
Ethereum,"$72,826,069,909",0.08%,5.83%,🟢 穩健增長
Base,"$4,724,780,489",0.07%,6.36%,🟢 穩健增長
Polygon,"$1,118,243,088",-0.03%,-4.10%,⚠️ 資金流出
Aptos,"$440,493,003",-0.07%,0.23%,⚠️ 資金流出
OP Mainnet,"$299,473,550",-0.24%,1.81%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
bsc,BULLA,$0.042700,-37.96%,"$16,655,060","$1,080,060",15.42,https://dexscreener.com/bsc/0x48bc32f212d539b23e1459e57dc27724aea6677a
bsc,HAPPY-SCI,$0.000974,1339.00%,"$5,978,434","$124,425",48.05,https://dexscreener.com/bsc/0x9cf746e45a0cbfbc39c928b66953d086b942f7fa
bsc,BROCCOLI,$0.033910,84.13%,"$5,575,433","$2,700,604",2.06,https://dexscreener.com/bsc/0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b
bsc,ARK,$19.640000,-1.16%,"$4,628,949","$86,254,627",0.05,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
bsc,人生K线,$0.000600,-60.69%,"$2,774,501","$121,823",22.77,https://dexscreener.com/bsc/0x8dd1610052d4d7ccbeb687417a2333a90b012e27
avalanche,JOE,$0.072760,8.63%,"$224,602","$813,929",0.28,https://dexscreener.com/avalanche/0x454e67025631c065d3cfad6d71e6892f74487a15
avalanche,COQ,$0.000000,13.80%,"$204,099","$980,459",0.21,https://dexscreener.com/avalanche/0x41ab86eecbd110a82ca602d032a461f453066f1e
avalanche,ARENA,$0.002229,8.73%,"$85,998","$329,069",0.26,https://dexscreener.com/avalanche/0xa78c3e56afb8d34a536825e2497255e78b388619
avalanche,GUN,$0.014680,2.42%,"$72,367","$328,688",0.22,https://dexscreener.com/avalanche/0xbd26e663281fb35d4757219eb180f02e8a065c09
avalanche,WOLF,$0.000001,4.42%,"$2,238","$70,168",0.03,https://dexscreener.com/avalanche/0x08db8eafeea89476bfc51b07613f430748ff350a
sui,MAGMA,$0.148300,3.80%,"$1,127,000","$199,921",5.64,https://dexscreener.com/sui/0x9aedfbd1a64798b83a0d70d4432327c6372207aa2ff60ed828b799a634054411
sui,SCA,$0.042780,1.81%,"$239,099","$420,550",0.57,https://dexscreener.com/sui/0x9661cca01a5b9b3536883568fa967a2943e237de11a97976795f5adb293892e9
sui,JACKSON,$0.043910,3.33%,"$205,929","$3,592,370",0.06,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,HAEDAL,$0.045300,1.74%,"$119,759","$840,715",0.14,https://dexscreener.com/sui/0x711f5d37e3b09b026b182d9e0973d05e9a837d11066ff48f4a55a426d8913359
sui,BLUB,$0.000000,41.02%,"$32,950","$260,329",0.13,https://dexscreener.com/sui/0x40a372f9ee1989d76ceb8e50941b04468f8551d091fb8a5d7211522e42e60aaf
tron,SUNDOG,$0.012150,29.29%,"$448,746","$1,029,835",0.44,https://dexscreener.com/tron/tdr7rpu33htog8qo9i676v56bzcjkpjqox
tron,PEPE,$0.009290,-19.24%,"$387,322","$598,202",0.65,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,JST,$0.041670,6.27%,"$169,722","$7,550,790",0.02,https://dexscreener.com/tron/tw68dbgdy9gtk16bfzmvacz9peti3kfkk2
tron,OSP,$1.800000,6.71%,"$74,088","$3,608,483",0.02,https://dexscreener.com/tron/tsqxeoxd6qwhunblj9slq7p8wy59oabuf8
tron,ARES,$0.000054,14.31%,"$29,400","$54,773",0.54,https://dexscreener.com/tron/tmaypj9wnqwqzabn5mweh3qxpzge6gnixr
solana,TRUMP,$5.480000,2.53%,"$89,903,788","$156,021,585",0.58,https://dexscreener.com/solana/9d9mb8kooffad3sctgztkxqypkshx6ezhbkio89ixyy2
solana,PIPPIN,$0.527100,11.33%,"$10,792,782","$16,277,417",0.66,https://dexscreener.com/solana/8wwcnqdzjcy5pt7akhupafknv2txca9sq6ybkgzlbvdt
solana,FARTCOIN ,$0.394800,12.48%,"$8,279,825","$12,982,701",0.64,https://dexscreener.com/solana/bzc9nzfmqkxr6fz1dbph7bdf9broyef6pnzesp7v5iiw
solana,JLP,$4.760000,1.36%,"$5,987,720","$2,822,497",2.12,https://dexscreener.com/solana/6nuivmsnjsi4afsmseiaezsav9n4n1zrd4jenuwnrvyb
solana,FAFO,$0.001367,-51.87%,"$5,029,453","$447,573",11.24,https://dexscreener.com/solana/adpoe7coikkvvnwg3tftkxhx3nvwiwtgz7zz8rmm2cvd
cronos,PEPE,$0.000007,12.04%,"$28,052","$98,209",0.29,https://dexscreener.com/cronos/0xb90d6e09075168281d47da6f0665ff4fd8f0ff6f
cronos,FUL,$0.003299,6.41%,"$2,416","$286,067",0.01,https://dexscreener.com/cronos/0x6ae624714f221964aff3ab8d8276a7ec142a759f
cronos,H2,$0.000654,5.95%,$191,"$107,552",0.00,https://dexscreener.com/cronos/0x910c37d26a9eb4aadff925b47ffde6308e03fa37
arbitrum,ZRO,$1.410000,5.70%,"$14,911","$59,158",0.25,https://dexscreener.com/arbitrum/0x105ba85d9047daf3f9fe941d8188d4b9a6900388
arbitrum,T,$0.003171,8.13%,"$14,442","$290,468",0.05,https://dexscreener.com/arbitrum/0xd971ff5a7530919ae67e06695710b262a72e8f2f
arbitrum,EPENDLE,$1.260000,0.92%,"$9,906","$534,716",0.02,https://dexscreener.com/arbitrum/0x6ad17e1133af65a8e3a9074e72004faef1e2341e
arbitrum,GMX,$8.230000,2.28%,"$8,933","$66,286",0.13,https://dexscreener.com/arbitrum/0xc99be44383bc8d82357f5a1d9ae9976ee9d75bee
arbitrum,MAGIC,$0.101600,2.90%,"$5,942","$51,043",0.12,https://dexscreener.com/arbitrum/0x1106db7165a8d4a8559b441ecdee14a5d5070dbc
ethereum,CBBTC,$93232.084000,1.94%,"$2,685,247","$213,122,897",0.01,https://dexscreener.com/ethereum/0x83f24023d15d835a213df24fd309c47dab5beb32
ethereum,YEE,$0.026010,8.94%,"$1,553,887","$1,161,390",1.34,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
ethereum,MANYU,$0.000000,12.32%,"$407,303","$877,322",0.46,https://dexscreener.com/ethereum/0xc4704f13d5e08b27b039d53873e813dd2fad99d9
ethereum,BEAR,$0.013690,-13.22%,"$347,072","$112,636",3.08,https://dexscreener.com/ethereum/0xf15b73e7f5edcfc0d91da289c21d9af89cf377ce
ethereum,YB,$0.447100,5.23%,"$144,886","$1,952,224",0.07,https://dexscreener.com/ethereum/0xec977f46467a3021785cff88894886e617abd65b
base,CBBTC,$92875.440000,1.96%,"$43,442,225","$25,676,950",1.69,https://dexscreener.com/base/0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1
base,BRETT,$0.021170,24.78%,"$1,751,350","$2,068,536",0.85,https://dexscreener.com/base/0x4e829f8a5213c42535ab84aa40bd4adcce9cba02
base,ZORA,$0.044740,4.60%,"$1,570,856","$510,906",3.07,https://dexscreener.com/base/0x3f53f1fd5b7723ddf38d93a584d280b9b94c3111
base,TIBBIR,$0.211000,9.77%,"$900,351","$456,335",1.97,https://dexscreener.com/base/0x0f664affb82f074937d5cfcd61b97f3f32d5dc50
base,EDEL,$0.027410,69.16%,"$558,050","$1,497,617",0.37,https://dexscreener.com/base/0x566bee7ef7b39f29d150ab3be6b6242c17cc5a31
polygon,AS,$1.240000,-0.56%,"$289,070","$17,094,956",0.02,https://dexscreener.com/polygon/0x1a9221261dc445d773e66075b9e9e52f40e15ab1
polygon,QUICK,$0.012400,4.71%,"$44,383","$190,342",0.23,https://dexscreener.com/polygon/0xde2d1fd2e8238aba80a5b80c7262e4833d92f624
polygon,KARMA,$0.018920,5.00%,"$22,285","$112,076",0.20,https://dexscreener.com/polygon/0x6d1f31e55816141c3359c868ef9503378afc590f
polygon,MEE,$0.002182,11.72%,"$15,880","$157,472",0.10,https://dexscreener.com/polygon/0x57bbdd430b6525d2c97a3e3f9aa910f7c64e123d
polygon,TEL,$0.004136,2.70%,"$12,158","$111,659",0.11,https://dexscreener.com/polygon/0xa5cabfc725dfa129f618d527e93702d10412f039
optimism,USD₮0,$0.999800,0.01%,"$32,963","$420,861",0.08,https://dexscreener.com/optimism/0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9
optimism,OVER,$0.280700,-0.68%,"$9,457","$994,277",0.01,https://dexscreener.com/optimism/0x1eaa860dca29a5124f665f7d80affed92e877681
optimism,TAROT,$0.052100,2.39%,"$2,685","$452,353",0.01,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
optimism,MOOBIFI,$191.470000,0.96%,"$1,998","$350,152",0.01,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,OPP,$0.000395,1.61%,$160,"$164,312",0.00,https://dexscreener.com/optimism/0x62191c893df8d26ac295ba1274a00975dc07190c
