=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Cronos,"$395,476,142",3.45%,6.75%,🔥 資金暴衝
Hyperliquid L1,"$1,465,457,423",2.33%,-0.69%,🟢 穩健增長
Bitcoin,"$7,217,339,431",2.03%,7.27%,🚀 加速流入
Sui,"$995,544,462",1.98%,7.90%,🚀 加速流入
BSC,"$6,867,433,798",1.97%,5.30%,🚀 加速流入
Avalanche,"$1,348,970,499",1.76%,5.44%,🚀 加速流入
Base,"$4,772,016,790",1.68%,7.42%,🚀 加速流入
Solana,"$8,827,035,465",1.63%,3.93%,🚀 加速流入
Ethereum,"$73,569,577,951",1.43%,6.91%,🚀 加速流入
Arbitrum,"$3,084,354,629",1.27%,8.69%,🚀 加速流入
Vaulta,"$389,238,660",0.84%,2.79%,🚀 加速流入
Mantle,"$338,308,877",0.67%,0.99%,🚀 加速流入
Tron,"$4,692,941,464",0.38%,6.97%,🟢 穩健增長
Polygon,"$1,093,345,621",-0.66%,-6.23%,⚠️ 資金流出
Aptos,"$441,841,650",-1.32%,0.54%,⚠️ 資金流出
OP Mainnet,"$297,647,515",-2.33%,1.19%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
cronos,PEPE,$0.000007,9.17%,"$26,840","$97,981",0.27,https://dexscreener.com/cronos/0xb90d6e09075168281d47da6f0665ff4fd8f0ff6f
cronos,VNO,$0.008662,6.24%,"$11,756","$299,364",0.04,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
cronos,CROID,$0.011090,10.98%,"$8,664","$144,301",0.06,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,FUL,$0.003293,6.80%,"$4,179","$284,718",0.01,https://dexscreener.com/cronos/0x6ae624714f221964aff3ab8d8276a7ec142a759f
cronos,TONIC,$0.000000,6.15%,"$1,605","$304,013",0.01,https://dexscreener.com/cronos/0xa922530960a1f94828a7e132ec1ba95717ed1eab
sui,SCA,$0.042570,0.88%,"$225,534","$416,983",0.54,https://dexscreener.com/sui/0x9661cca01a5b9b3536883568fa967a2943e237de11a97976795f5adb293892e9
sui,JACKSON,$0.043660,0.63%,"$191,711","$3,570,188",0.05,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,BLUB,$0.000000,38.17%,"$36,901","$260,280",0.14,https://dexscreener.com/sui/0x40a372f9ee1989d76ceb8e50941b04468f8551d091fb8a5d7211522e42e60aaf
sui,USDB,$0.999900,0.02%,"$23,624","$1,086,963",0.02,https://dexscreener.com/sui/0x7a0abae43a864801894c29d72c387ce7681ba752dd331492b32c3c5e1672c973
sui,PANS,$0.000338,3.88%,"$12,271","$117,850",0.10,https://dexscreener.com/sui/0x155b01dc5dbf6eb319ee5df50d201ae49fdc7a0a074acfe4fe1201acbf181a56
