=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Cronos,"$396,197,642",3.64%,6.94%,🔥 資金暴衝
Bitcoin,"$7,217,977,416",2.04%,7.28%,🚀 加速流入
Sui,"$996,199,469",2.04%,7.97%,🚀 加速流入
Hyperliquid L1,"$1,460,223,475",1.97%,-1.04%,🟢 穩健增長
BSC,"$6,855,626,816",1.80%,5.12%,🚀 加速流入
Base,"$4,773,919,440",1.75%,7.46%,🚀 加速流入
Solana,"$8,825,749,003",1.62%,3.91%,🚀 加速流入
Ethereum,"$73,625,964,071",1.51%,6.99%,🚀 加速流入
Arbitrum,"$3,091,290,249",1.50%,8.94%,🚀 加速流入
Avalanche,"$1,344,913,022",1.46%,5.12%,🚀 加速流入
Vaulta,"$390,125,836",1.07%,3.03%,🚀 加速流入
Tron,"$4,698,723,448",0.50%,7.10%,🟢 穩健增長
Mantle,"$337,507,494",0.43%,0.75%,🚀 加速流入
Polygon,"$1,091,810,652",-0.78%,-6.36%,⚠️ 資金流出
OP Mainnet,"$302,068,145",-0.88%,2.70%,⚠️ 資金流出
Aptos,"$441,737,996",-1.34%,0.51%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
cronos,PEPE,$0.000007,10.94%,"$27,007","$96,987",0.28,https://dexscreener.com/cronos/0xb90d6e09075168281d47da6f0665ff4fd8f0ff6f
cronos,VNO,$0.008542,4.62%,"$19,968","$294,641",0.07,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
cronos,FER,$0.000396,2.01%,"$11,980","$97,051",0.12,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,CROID,$0.011090,11.02%,"$9,810","$142,646",0.07,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,FUL,$0.003261,5.63%,"$8,446","$280,501",0.03,https://dexscreener.com/cronos/0x6ae624714f221964aff3ab8d8276a7ec142a759f
sui,SCA,$0.042440,0.45%,"$228,465","$413,643",0.55,https://dexscreener.com/sui/0x9661cca01a5b9b3536883568fa967a2943e237de11a97976795f5adb293892e9
sui,JACKSON,$0.042880,-0.43%,"$182,910","$3,507,382",0.05,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,BLUB,$0.000000,44.89%,"$41,463","$265,194",0.16,https://dexscreener.com/sui/0x40a372f9ee1989d76ceb8e50941b04468f8551d091fb8a5d7211522e42e60aaf
sui,USDB,$0.999900,0.02%,"$23,421","$1,086,963",0.02,https://dexscreener.com/sui/0x7a0abae43a864801894c29d72c387ce7681ba752dd331492b32c3c5e1672c973
bsc,BULLA,$0.042010,-39.16%,"$16,637,977","$1,067,760",15.58,https://dexscreener.com/bsc/0x48bc32f212d539b23e1459e57dc27724aea6677a
bsc,HAPPY-SCI,$0.001259,1762.00%,"$6,588,165","$142,356",46.28,https://dexscreener.com/bsc/0x9cf746e45a0cbfbc39c928b66953d086b942f7fa
bsc,BROCCOLI,$0.031210,71.20%,"$6,127,080","$2,599,412",2.36,https://dexscreener.com/bsc/0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b
bsc,ARK,$19.550000,-1.21%,"$4,293,443","$86,058,850",0.05,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
bsc,币安人生,$0.131000,3.51%,"$3,680,554","$3,838,541",0.96,https://dexscreener.com/bsc/0x66f289de31eef70d52186729d2637ac978cfc56b
base,CBBTC,$92716.950000,1.44%,"$46,406,568","$37,159,306",1.25,https://dexscreener.com/base/0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1
base,BRETT,$0.019560,11.04%,"$2,043,637","$1,948,744",1.05,https://dexscreener.com/base/0x4e829f8a5213c42535ab84aa40bd4adcce9cba02
base,ZORA,$0.043990,2.05%,"$1,554,706","$522,113",2.98,https://dexscreener.com/base/0x3f53f1fd5b7723ddf38d93a584d280b9b94c3111
base,TIBBIR,$0.208400,4.57%,"$827,159","$454,266",1.82,https://dexscreener.com/base/0x0f664affb82f074937d5cfcd61b97f3f32d5dc50
base,TOSHI,$0.000356,4.86%,"$794,105","$138,789",5.72,https://dexscreener.com/base/0x74e4c08bb50619b70550733d32b7e60424e9628e
solana,FARTCOIN ,$0.391100,9.46%,"$8,522,509","$12,878,677",0.66,https://dexscreener.com/solana/bzc9nzfmqkxr6fz1dbph7bdf9broyef6pnzesp7v5iiw
solana,JLP,$4.740000,0.75%,"$7,018,425","$2,818,792",2.49,https://dexscreener.com/solana/6nuivmsnjsi4afsmseiaezsav9n4n1zrd4jenuwnrvyb
solana,PONKE,$0.054810,67.46%,"$5,132,605","$2,470,669",2.08,https://dexscreener.com/solana/5utwg3y3f5cx4ykodgtjwehdrx5hdkz5bzz72x8eq6ze
solana,FAFO,$0.001297,-52.77%,"$3,235,701","$434,616",7.44,https://dexscreener.com/solana/adpoe7coikkvvnwg3tftkxhx3nvwiwtgz7zz8rmm2cvd
solana,MADURO,$0.000743,-12.26%,"$2,907,221","$88,423",32.88,https://dexscreener.com/solana/2hepehcrsrazfmvykyyrrfgdoirppr2emnqaiyqydfbo
ethereum,PEPE,$0.000007,11.37%,"$8,437,914","$42,551,730",0.20,https://dexscreener.com/ethereum/0xa43fe16908251ee70ef74718545e4fe6c5ccec9f
ethereum,CBBTC,$92466.350000,1.01%,"$6,138,387","$215,669,226",0.03,https://dexscreener.com/ethereum/0x83f24023d15d835a213df24fd309c47dab5beb32
ethereum,MOG,$0.000000,0.71%,"$2,595,190","$10,288,831",0.25,https://dexscreener.com/ethereum/0xc2eab7d33d3cb97692ecb231a5d0e4a649cb539d
ethereum,YEE,$0.025030,3.59%,"$1,563,262","$1,135,327",1.38,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
ethereum,MANYU,$0.000000,9.38%,"$427,495","$848,431",0.50,https://dexscreener.com/ethereum/0xc4704f13d5e08b27b039d53873e813dd2fad99d9
arbitrum,T,$0.003171,8.13%,"$14,442","$290,468",0.05,https://dexscreener.com/arbitrum/0xd971ff5a7530919ae67e06695710b262a72e8f2f
arbitrum,GMX,$8.130000,0.77%,"$10,663","$65,570",0.16,https://dexscreener.com/arbitrum/0xc99be44383bc8d82357f5a1d9ae9976ee9d75bee
arbitrum,EPENDLE,$1.260000,1.34%,"$8,858","$535,189",0.02,https://dexscreener.com/arbitrum/0x6ad17e1133af65a8e3a9074e72004faef1e2341e
arbitrum,WINR,$0.001967,-1.55%,"$6,890","$279,597",0.02,https://dexscreener.com/arbitrum/0xc35aa1cec34e02a8acc3e5f79c22be364823094c
arbitrum,PEAR,$0.029370,0.58%,"$2,071","$994,062",0.00,https://dexscreener.com/arbitrum/0x299c7d6f2ef82cb52b2ab83b14f05c6b2b803aba
avalanche,JOE,$0.071880,6.44%,"$225,678","$801,855",0.28,https://dexscreener.com/avalanche/0x454e67025631c065d3cfad6d71e6892f74487a15
avalanche,COQ,$0.000000,11.38%,"$197,723","$960,021",0.21,https://dexscreener.com/avalanche/0x41ab86eecbd110a82ca602d032a461f453066f1e
avalanche,PNG,$0.036060,6.67%,"$139,355","$314,790",0.44,https://dexscreener.com/avalanche/0xd7538cabbf8605bde1f4901b47b8d42c61de0367
avalanche,ARENA,$0.002190,6.20%,"$90,519","$323,250",0.28,https://dexscreener.com/avalanche/0xa78c3e56afb8d34a536825e2497255e78b388619
avalanche,GUN,$0.014240,-0.46%,"$62,374","$321,034",0.19,https://dexscreener.com/avalanche/0xbd26e663281fb35d4757219eb180f02e8a065c09
tron,SUNDOG,$0.011400,16.88%,"$459,206","$998,348",0.46,https://dexscreener.com/tron/tdr7rpu33htog8qo9i676v56bzcjkpjqox
tron,PEPE,$0.008735,-22.80%,"$372,761","$580,550",0.64,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,JST,$0.041860,6.33%,"$187,159","$7,568,344",0.02,https://dexscreener.com/tron/tw68dbgdy9gtk16bfzmvacz9peti3kfkk2
tron,OSP,$1.780000,5.09%,"$74,088","$3,570,648",0.02,https://dexscreener.com/tron/tsqxeoxd6qwhunblj9slq7p8wy59oabuf8
tron,WIN,$0.000029,3.57%,"$55,285","$1,654,639",0.03,https://dexscreener.com/tron/tc1ghhc5igfluuuthriuuu183p8ywpmqsk
polygon,AS,$1.240000,-0.51%,"$286,418","$17,087,908",0.02,https://dexscreener.com/polygon/0x1a9221261dc445d773e66075b9e9e52f40e15ab1
polygon,QUICK,$0.012240,3.33%,"$43,874","$188,135",0.23,https://dexscreener.com/polygon/0xde2d1fd2e8238aba80a5b80c7262e4833d92f624
polygon,KARMA,$0.019080,5.59%,"$22,323","$112,819",0.20,https://dexscreener.com/polygon/0x6d1f31e55816141c3359c868ef9503378afc590f
polygon,MEE,$0.002109,7.98%,"$17,151","$154,852",0.11,https://dexscreener.com/polygon/0x57bbdd430b6525d2c97a3e3f9aa910f7c64e123d
polygon,TEL,$0.004082,0.88%,"$12,585","$110,926",0.11,https://dexscreener.com/polygon/0xa5cabfc725dfa129f618d527e93702d10412f039
optimism,USD₮0,$1.000210,0.06%,"$32,976","$420,979",0.08,https://dexscreener.com/optimism/0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9
optimism,ALUSD,$0.991500,-0.14%,"$23,570","$1,857,914",0.01,https://dexscreener.com/optimism/0x124d69daeda338b1b31ffc8e429e39c9a991164e
optimism,OVER,$0.278100,-1.50%,"$10,120","$985,367",0.01,https://dexscreener.com/optimism/0x1eaa860dca29a5124f665f7d80affed92e877681
optimism,MOOBIFI,$189.310000,-0.30%,"$4,339","$346,040",0.01,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,TAROT,$0.051950,1.58%,"$2,411","$451,596",0.01,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
