=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Cronos,"$394,767,933",3.27%,6.55%,🔥 資金暴衝
Base,"$4,773,919,440",1.75%,7.46%,🚀 加速流入
Sui,"$993,395,038",1.75%,7.67%,🚀 加速流入
BSC,"$6,847,624,756",1.68%,5.00%,🚀 加速流入
Hyperliquid L1,"$1,455,837,336",1.66%,-1.34%,🟢 穩健增長
Solana,"$8,825,749,003",1.62%,3.91%,🚀 加速流入
Ethereum,"$73,625,964,071",1.51%,6.99%,🚀 加速流入
Arbitrum,"$3,091,290,249",1.50%,8.94%,🚀 加速流入
Bitcoin,"$7,177,568,439",1.47%,6.68%,🚀 加速流入
OP Mainnet,"$308,836,224",1.34%,5.00%,🚀 加速流入
Avalanche,"$1,341,064,560",1.17%,4.82%,🚀 加速流入
Vaulta,"$389,906,870",1.02%,2.97%,🚀 加速流入
Tron,"$4,697,938,245",0.49%,7.08%,🟢 穩健增長
Mantle,"$337,455,658",0.42%,0.73%,🚀 加速流入
Aptos,"$441,737,996",-1.34%,0.51%,⚠️ 資金流出
Polygon,"$1,084,994,787",-1.40%,-6.95%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
cronos,PEPE,$0.000007,9.39%,"$27,062","$96,588",0.28,https://dexscreener.com/cronos/0xb90d6e09075168281d47da6f0665ff4fd8f0ff6f
cronos,VNO,$0.008504,4.00%,"$21,751","$293,785",0.07,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
cronos,FER,$0.000396,1.88%,"$11,998","$96,895",0.12,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,FUL,$0.003260,5.60%,"$10,410","$280,259",0.04,https://dexscreener.com/cronos/0x6ae624714f221964aff3ab8d8276a7ec142a759f
cronos,CROID,$0.011090,10.80%,"$9,810","$142,646",0.07,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
base,CBBTC,$92432.620000,1.00%,"$48,284,185","$33,048,922",1.46,https://dexscreener.com/base/0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1
base,BRETT,$0.019720,10.60%,"$2,013,345","$1,954,043",1.03,https://dexscreener.com/base/0x4e829f8a5213c42535ab84aa40bd4adcce9cba02
base,ZORA,$0.043680,1.38%,"$1,570,693","$603,568",2.60,https://dexscreener.com/base/0x3f53f1fd5b7723ddf38d93a584d280b9b94c3111
base,TIBBIR,$0.209700,3.00%,"$811,789","$454,043",1.79,https://dexscreener.com/base/0x0f664affb82f074937d5cfcd61b97f3f32d5dc50
base,TOSHI,$0.000358,5.02%,"$794,090","$118,050",6.73,https://dexscreener.com/base/0x74e4c08bb50619b70550733d32b7e60424e9628e
sui,SCA,$0.042460,0.55%,"$228,271","$413,873",0.55,https://dexscreener.com/sui/0x9661cca01a5b9b3536883568fa967a2943e237de11a97976795f5adb293892e9
sui,JACKSON,$0.042840,-0.28%,"$176,298","$3,504,611",0.05,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,BLUB,$0.000000,44.23%,"$41,862","$261,800",0.16,https://dexscreener.com/sui/0x40a372f9ee1989d76ceb8e50941b04468f8551d091fb8a5d7211522e42e60aaf
sui,USDB,$0.999700,-0.02%,"$23,364","$1,086,745",0.02,https://dexscreener.com/sui/0x7a0abae43a864801894c29d72c387ce7681ba752dd331492b32c3c5e1672c973
bsc,BULLA,$0.042030,-39.25%,"$16,598,243","$1,068,026",15.54,https://dexscreener.com/bsc/0x48bc32f212d539b23e1459e57dc27724aea6677a
bsc,HAPPY-SCI,$0.001340,1881.00%,"$6,654,298","$146,915",45.29,https://dexscreener.com/bsc/0x9cf746e45a0cbfbc39c928b66953d086b942f7fa
