=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Cronos,"$391,183,699",2.33%,5.59%,🚀 加速流入
Hyperliquid L1,"$1,458,611,542",1.85%,-1.15%,🟢 穩健增長
BSC,"$6,839,995,801",1.56%,4.88%,🚀 加速流入
Bitcoin,"$7,172,047,361",1.39%,6.60%,🚀 加速流入
Sui,"$989,195,351",1.32%,7.21%,🚀 加速流入
Base,"$4,752,710,824",1.30%,6.99%,🚀 加速流入
Arbitrum,"$3,079,187,328",1.10%,8.51%,🟢 穩健增長
Ethereum,"$73,250,573,134",0.99%,6.44%,🚀 加速流入
OP Mainnet,"$307,586,657",0.93%,4.57%,🚀 加速流入
Solana,"$8,762,481,249",0.89%,3.17%,🚀 加速流入
Avalanche,"$1,337,403,461",0.89%,4.53%,🚀 加速流入
Vaulta,"$388,092,594",0.55%,2.49%,🚀 加速流入
Mantle,"$337,404,264",0.40%,0.72%,🚀 加速流入
Tron,"$4,677,563,106",0.05%,6.62%,🟢 穩健增長
Aptos,"$441,875,293",-1.31%,0.54%,⚠️ 資金流出
Polygon,"$1,072,105,807",-2.57%,-8.05%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
cronos,VNO,$0.008499,2.27%,"$27,577","$293,214",0.09,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
cronos,FUL,$0.003263,2.45%,"$16,601","$280,078",0.06,https://dexscreener.com/cronos/0x6ae624714f221964aff3ab8d8276a7ec142a759f
cronos,FER,$0.000400,2.78%,"$12,587","$97,252",0.13,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,CROID,$0.011120,9.11%,"$10,169","$142,509",0.07,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,TONIC,$0.000000,4.47%,"$3,957","$301,829",0.01,https://dexscreener.com/cronos/0xa922530960a1f94828a7e132ec1ba95717ed1eab
bsc,BULLA,$0.039150,-42.06%,"$16,881,342","$1,016,251",16.61,https://dexscreener.com/bsc/0x48bc32f212d539b23e1459e57dc27724aea6677a
bsc,BROCCOLI,$0.028950,52.58%,"$6,733,513","$2,541,034",2.65,https://dexscreener.com/bsc/0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b
bsc,HAPPY-SCI,$0.001200,396.00%,"$6,544,244","$139,892",46.78,https://dexscreener.com/bsc/0x9cf746e45a0cbfbc39c928b66953d086b942f7fa
bsc,ARK,$19.590000,-1.25%,"$4,312,860","$86,143,426",0.05,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
bsc,币安人生,$0.131500,1.69%,"$3,805,340","$3,852,210",0.99,https://dexscreener.com/bsc/0x66f289de31eef70d52186729d2637ac978cfc56b
sui,USDB,$0.999900,0.02%,"$488,371","$1,086,957",0.45,https://dexscreener.com/sui/0x7a0abae43a864801894c29d72c387ce7681ba752dd331492b32c3c5e1672c973
sui,SCA,$0.042420,0.89%,"$225,001","$414,723",0.54,https://dexscreener.com/sui/0x9661cca01a5b9b3536883568fa967a2943e237de11a97976795f5adb293892e9
sui,BLUB,$0.000000,36.35%,"$44,299","$257,478",0.17,https://dexscreener.com/sui/0x40a372f9ee1989d76ceb8e50941b04468f8551d091fb8a5d7211522e42e60aaf
sui,DMC,$0.001369,-1.83%,"$24,789","$135,583",0.18,https://dexscreener.com/sui/0xa288810f820498f7c2bca41cfadea3e99bd152b3dbeb2c282bb4b9c909f71c6d
base,CBBTC,$92497.840000,1.27%,"$47,229,747","$23,573,803",2.00,https://dexscreener.com/base/0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1
base,ZORA,$0.044880,5.48%,"$1,802,570","$678,303",2.66,https://dexscreener.com/base/0x3f53f1fd5b7723ddf38d93a584d280b9b94c3111
base,EDEL,$0.026060,56.75%,"$708,643","$1,454,929",0.49,https://dexscreener.com/base/0x566bee7ef7b39f29d150ab3be6b6242c17cc5a31
base,TIBBIR,$0.215300,7.24%,"$706,541","$457,500",1.54,https://dexscreener.com/base/0x0f664affb82f074937d5cfcd61b97f3f32d5dc50
base,AVNT,$0.342500,-2.01%,"$560,328","$1,430,175",0.39,https://dexscreener.com/base/0xe30d5bf485f7476ac15884a28ffb3c9cea635dcb
arbitrum,GNS,$1.160000,0.87%,"$209,023","$648,041",0.32,https://dexscreener.com/arbitrum/0x9b6ff025aee245d314c09f57b72f0de6e231c3a6
arbitrum,T,$0.003171,8.60%,"$14,336","$290,468",0.05,https://dexscreener.com/arbitrum/0xd971ff5a7530919ae67e06695710b262a72e8f2f
arbitrum,GMX,$8.100000,1.02%,"$12,877","$65,372",0.20,https://dexscreener.com/arbitrum/0xc99be44383bc8d82357f5a1d9ae9976ee9d75bee
arbitrum,EPENDLE,$1.250000,0.78%,"$8,349","$526,396",0.02,https://dexscreener.com/arbitrum/0x6ad17e1133af65a8e3a9074e72004faef1e2341e
arbitrum,PEAR,$0.029370,0.55%,"$2,146","$993,916",0.00,https://dexscreener.com/arbitrum/0x299c7d6f2ef82cb52b2ab83b14f05c6b2b803aba
ethereum,USDS,$0.999700,-0.02%,"$14,622,339","$99,974,916",0.15,https://dexscreener.com/ethereum/0xa632d59b9b804a956bfaa9b48af3a1b74808fc1f
ethereum,PEPE,$0.000007,1.38%,"$7,447,852","$42,128,662",0.18,https://dexscreener.com/ethereum/0xa43fe16908251ee70ef74718545e4fe6c5ccec9f
ethereum,CBBTC,$92243.140000,0.55%,"$5,602,107","$215,403,764",0.03,https://dexscreener.com/ethereum/0x83f24023d15d835a213df24fd309c47dab5beb32
ethereum,YEE,$0.025940,13.90%,"$1,572,916","$1,156,142",1.36,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
ethereum,MANYU,$0.000000,18.73%,"$421,595","$872,938",0.48,https://dexscreener.com/ethereum/0xc4704f13d5e08b27b039d53873e813dd2fad99d9
optimism,ALETH,$3066.960000,0.84%,"$27,227","$4,160,833",0.01,https://dexscreener.com/optimism/0xa1055762336f92b4b8d2edc032a0ce45ead6280a
optimism,ALUSD,$0.991500,-0.05%,"$25,932","$1,857,917",0.01,https://dexscreener.com/optimism/0x124d69daeda338b1b31ffc8e429e39c9a991164e
