=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Cronos,"$391,036,452",2.29%,5.55%,🚀 加速流入
Hyperliquid L1,"$1,458,587,092",1.85%,-1.15%,🟢 穩健增長
BSC,"$6,849,480,478",1.71%,5.03%,🚀 加速流入
Sui,"$990,477,396",1.45%,7.35%,🚀 加速流入
Base,"$4,756,893,691",1.39%,7.08%,🚀 加速流入
Bitcoin,"$7,171,389,975",1.38%,6.59%,🚀 加速流入
Arbitrum,"$3,082,103,802",1.20%,8.61%,🟢 穩健增長
Ethereum,"$73,297,164,181",1.06%,6.51%,🚀 加速流入
OP Mainnet,"$307,583,245",0.93%,4.57%,🚀 加速流入
Solana,"$8,762,481,249",0.89%,3.17%,🚀 加速流入
Avalanche,"$1,336,082,638",0.79%,4.43%,🚀 加速流入
Vaulta,"$388,245,852",0.59%,2.53%,🚀 加速流入
Mantle,"$337,614,491",0.46%,0.78%,🚀 加速流入
Tron,"$4,675,284,088",0.00%,6.57%,⚠️ 資金流出
Aptos,"$441,341,932",-1.43%,0.42%,⚠️ 資金流出
Polygon,"$1,072,061,840",-2.58%,-8.06%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
cronos,VNO,$0.008447,1.64%,"$28,997","$291,466",0.10,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
cronos,FUL,$0.003262,2.20%,"$17,870","$279,063",0.06,https://dexscreener.com/cronos/0x6ae624714f221964aff3ab8d8276a7ec142a759f
cronos,CROID,$0.011050,7.91%,"$9,979","$141,663",0.07,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,FER,$0.000400,3.10%,"$9,714","$97,252",0.10,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,TONIC,$0.000000,3.95%,"$4,075","$300,619",0.01,https://dexscreener.com/cronos/0xa922530960a1f94828a7e132ec1ba95717ed1eab
bsc,BULLA,$0.038950,-40.53%,"$16,663,598","$1,012,646",16.46,https://dexscreener.com/bsc/0x48bc32f212d539b23e1459e57dc27724aea6677a
bsc,BROCCOLI,$0.029310,51.87%,"$6,835,174","$2,557,324",2.67,https://dexscreener.com/bsc/0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b
bsc,HAPPY-SCI,$0.001307,29.32%,"$5,329,440","$146,190",36.46,https://dexscreener.com/bsc/0x9cf746e45a0cbfbc39c928b66953d086b942f7fa
bsc,ARK,$19.620000,-1.11%,"$4,342,171","$86,205,709",0.05,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
bsc,币安人生,$0.130500,0.99%,"$3,848,686","$3,839,596",1.00,https://dexscreener.com/bsc/0x66f289de31eef70d52186729d2637ac978cfc56b
