=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Cronos,"$391,029,855",2.29%,5.55%,🚀 加速流入
BSC,"$6,842,647,152",1.60%,4.92%,🚀 加速流入
Sui,"$990,461,200",1.45%,7.35%,🚀 加速流入
Bitcoin,"$7,171,638,004",1.38%,6.59%,🚀 加速流入
Base,"$4,756,283,894",1.38%,7.07%,🚀 加速流入
Hyperliquid L1,"$1,449,838,415",1.24%,-1.75%,🟢 穩健增長
Arbitrum,"$3,082,135,157",1.20%,8.62%,🟢 穩健增長
Ethereum,"$73,328,191,083",1.10%,6.56%,🚀 加速流入
OP Mainnet,"$307,666,545",0.96%,4.60%,🚀 加速流入
Solana,"$8,762,703,569",0.89%,3.17%,🚀 加速流入
Avalanche,"$1,336,027,997",0.79%,4.42%,🚀 加速流入
Vaulta,"$388,663,812",0.69%,2.64%,🚀 加速流入
Mantle,"$337,614,491",0.46%,0.78%,🚀 加速流入
Tron,"$4,679,267,498",0.09%,6.66%,🟢 穩健增長
Aptos,"$441,562,825",-1.38%,0.47%,⚠️ 資金流出
Polygon,"$1,068,676,758",-2.88%,-8.35%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
cronos,VNO,$0.008483,1.68%,"$30,703","$292,318",0.11,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
cronos,FUL,$0.003275,2.39%,"$19,773","$279,862",0.07,https://dexscreener.com/cronos/0x6ae624714f221964aff3ab8d8276a7ec142a759f
cronos,CROID,$0.011080,8.14%,"$10,005","$141,922",0.07,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,FER,$0.000400,3.10%,"$9,714","$97,252",0.10,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,TONIC,$0.000000,3.87%,"$4,035","$300,619",0.01,https://dexscreener.com/cronos/0xa922530960a1f94828a7e132ec1ba95717ed1eab
bsc,BULLA,$0.039110,-41.02%,"$16,533,649","$1,015,555",16.28,https://dexscreener.com/bsc/0x48bc32f212d539b23e1459e57dc27724aea6677a
bsc,BROCCOLI,$0.030240,56.87%,"$6,895,644","$2,605,988",2.65,https://dexscreener.com/bsc/0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b
bsc,HAPPY-SCI,$0.001369,101.00%,"$4,469,480","$150,197",29.76,https://dexscreener.com/bsc/0x9cf746e45a0cbfbc39c928b66953d086b942f7fa
bsc,ARK,$19.630000,-1.08%,"$4,335,789","$86,236,012",0.05,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
bsc,币安人生,$0.128500,-2.25%,"$3,779,006","$3,822,941",0.99,https://dexscreener.com/bsc/0x66f289de31eef70d52186729d2637ac978cfc56b
sui,SCA,$0.042580,1.24%,"$224,054","$415,678",0.54,https://dexscreener.com/sui/0x9661cca01a5b9b3536883568fa967a2943e237de11a97976795f5adb293892e9
