=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Cronos,"$390,313,347",2.10%,5.35%,🚀 加速流入
BSC,"$6,842,647,152",1.60%,4.92%,🚀 加速流入
Sui,"$990,461,200",1.45%,7.35%,🚀 加速流入
Bitcoin,"$7,171,638,004",1.38%,6.59%,🚀 加速流入
Base,"$4,750,666,508",1.26%,6.94%,🚀 加速流入
Hyperliquid L1,"$1,449,838,415",1.24%,-1.75%,🟢 穩健增長
Ethereum,"$73,421,309,210",1.23%,6.69%,🚀 加速流入
OP Mainnet,"$307,666,545",0.96%,4.60%,🚀 加速流入
Arbitrum,"$3,074,434,068",0.94%,8.34%,🟢 穩健增長
Solana,"$8,761,746,565",0.88%,3.16%,🚀 加速流入
Avalanche,"$1,335,582,317",0.75%,4.39%,🚀 加速流入
Vaulta,"$388,663,812",0.69%,2.64%,🚀 加速流入
Mantle,"$337,674,723",0.48%,0.80%,🚀 加速流入
Tron,"$4,679,267,498",0.09%,6.66%,🟢 穩健增長
Aptos,"$441,562,825",-1.38%,0.47%,⚠️ 資金流出
Polygon,"$1,068,676,758",-2.88%,-8.35%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
cronos,VNO,$0.008450,1.85%,"$32,958","$291,733",0.11,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
cronos,FUL,$0.003283,2.94%,"$21,670","$280,186",0.08,https://dexscreener.com/cronos/0x6ae624714f221964aff3ab8d8276a7ec142a759f
cronos,CROID,$0.011070,8.14%,"$9,970","$141,873",0.07,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,FER,$0.000400,5.02%,"$9,089","$97,252",0.09,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,TONIC,$0.000000,4.21%,"$4,079","$300,906",0.01,https://dexscreener.com/cronos/0xa922530960a1f94828a7e132ec1ba95717ed1eab
bsc,BULLA,$0.039590,-40.09%,"$16,487,922","$1,024,287",16.10,https://dexscreener.com/bsc/0x48bc32f212d539b23e1459e57dc27724aea6677a
bsc,BROCCOLI,$0.028850,53.57%,"$6,940,916","$2,550,306",2.72,https://dexscreener.com/bsc/0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b
bsc,ARK,$19.610000,-1.13%,"$4,365,734","$86,186,312",0.05,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
bsc,HAPPY-SCI,$0.001389,207.00%,"$4,128,447","$151,468",27.26,https://dexscreener.com/bsc/0x9cf746e45a0cbfbc39c928b66953d086b942f7fa
bsc,币安人生,$0.129100,-3.48%,"$3,898,646","$3,830,783",1.02,https://dexscreener.com/bsc/0x66f289de31eef70d52186729d2637ac978cfc56b
sui,MAGMA,$0.152000,8.51%,"$1,289,346","$201,517",6.40,https://dexscreener.com/sui/0x9aedfbd1a64798b83a0d70d4432327c6372207aa2ff60ed828b799a634054411
sui,USDB,$0.999900,0.02%,"$488,345","$1,086,961",0.45,https://dexscreener.com/sui/0x7a0abae43a864801894c29d72c387ce7681ba752dd331492b32c3c5e1672c973
sui,SCA,$0.042600,1.35%,"$221,835","$415,303",0.53,https://dexscreener.com/sui/0x9661cca01a5b9b3536883568fa967a2943e237de11a97976795f5adb293892e9
sui,HAEDAL,$0.044450,1.43%,"$112,020","$832,803",0.13,https://dexscreener.com/sui/0x711f5d37e3b09b026b182d9e0973d05e9a837d11066ff48f4a55a426d8913359
sui,NAVX,$0.019220,6.69%,"$100,845","$337,625",0.30,https://dexscreener.com/sui/0x0254747f5ca059a1972cd7f6016485d51392a3fde608107b93bbaebea550f703
base,CBBTC,$93020.550000,1.83%,"$49,307,751","$22,596,492",2.18,https://dexscreener.com/base/0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1
base,ZORA,$0.044340,2.46%,"$1,788,779","$532,545",3.36,https://dexscreener.com/base/0x3f53f1fd5b7723ddf38d93a584d280b9b94c3111
base,KTA,$0.258500,12.63%,"$1,058,467","$8,863,856",0.12,https://dexscreener.com/base/0xd9edc75a3a797ec92ca370f19051babebfb2edee
base,EDEL,$0.025060,52.93%,"$734,968","$1,428,159",0.51,https://dexscreener.com/base/0x566bee7ef7b39f29d150ab3be6b6242c17cc5a31
base,TOSHI,$0.000351,-3.70%,"$718,008","$118,481",6.06,https://dexscreener.com/base/0x74e4c08bb50619b70550733d32b7e60424e9628e
ethereum,PEPE,$0.000007,-2.88%,"$7,284,791","$41,746,696",0.17,https://dexscreener.com/ethereum/0xa43fe16908251ee70ef74718545e4fe6c5ccec9f
ethereum,CBBTC,$92243.140000,0.55%,"$5,602,107","$215,403,764",0.03,https://dexscreener.com/ethereum/0x83f24023d15d835a213df24fd309c47dab5beb32
ethereum,YEE,$0.026410,16.94%,"$1,562,906","$1,168,533",1.34,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
ethereum,MANYU,$0.000000,16.20%,"$405,873","$885,068",0.46,https://dexscreener.com/ethereum/0xc4704f13d5e08b27b039d53873e813dd2fad99d9
ethereum,BEAR,$0.013780,-3.74%,"$379,156","$113,117",3.35,https://dexscreener.com/ethereum/0xf15b73e7f5edcfc0d91da289c21d9af89cf377ce
optimism,ALETH,$3073.240000,0.75%,"$29,419","$4,169,554",0.01,https://dexscreener.com/optimism/0xa1055762336f92b4b8d2edc032a0ce45ead6280a
optimism,ALUSD,$0.992600,0.04%,"$28,126","$1,859,116",0.02,https://dexscreener.com/optimism/0x124d69daeda338b1b31ffc8e429e39c9a991164e
optimism,OVER,$0.279900,-0.77%,"$10,919","$988,666",0.01,https://dexscreener.com/optimism/0x1eaa860dca29a5124f665f7d80affed92e877681
optimism,MOOBIFI,$189.260000,0.31%,"$3,885","$346,206",0.01,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,TAROT,$0.051740,1.21%,"$2,844","$450,713",0.01,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
arbitrum,GNS,$1.160000,0.41%,"$219,185","$647,344",0.34,https://dexscreener.com/arbitrum/0x9b6ff025aee245d314c09f57b72f0de6e231c3a6
arbitrum,T,$0.002900,-0.69%,"$19,453","$278,373",0.07,https://dexscreener.com/arbitrum/0xd971ff5a7530919ae67e06695710b262a72e8f2f
arbitrum,GMX,$8.033000,-0.36%,"$13,196","$64,900",0.20,https://dexscreener.com/arbitrum/0xc99be44383bc8d82357f5a1d9ae9976ee9d75bee
arbitrum,PEAR,$0.029670,1.58%,"$5,675","$998,981",0.01,https://dexscreener.com/arbitrum/0x299c7d6f2ef82cb52b2ab83b14f05c6b2b803aba
