=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Cronos,"$389,597,962",1.91%,5.16%,🚀 加速流入
Bitcoin,"$7,198,149,914",1.76%,6.99%,🚀 加速流入
BSC,"$6,850,718,549",1.72%,5.05%,🚀 加速流入
Sui,"$990,525,693",1.46%,7.36%,🚀 加速流入
Base,"$4,757,860,565",1.39%,7.10%,🚀 加速流入
Ethereum,"$73,421,309,210",1.23%,6.69%,🚀 加速流入
Arbitrum,"$3,075,860,830",0.99%,8.39%,🟢 穩健增長
Solana,"$8,768,466,073",0.96%,3.24%,🚀 加速流入
OP Mainnet,"$307,611,214",0.94%,4.58%,🚀 加速流入
Hyperliquid L1,"$1,443,929,425",0.83%,-2.15%,🟢 穩健增長
Vaulta,"$388,796,314",0.73%,2.68%,🚀 加速流入
Avalanche,"$1,333,471,467",0.59%,4.22%,🟢 穩健增長
Mantle,"$337,590,682",0.46%,0.77%,🚀 加速流入
Tron,"$4,673,149,491",-0.04%,6.52%,⚠️ 資金流出
Aptos,"$440,969,391",-1.51%,0.34%,⚠️ 資金流出
Polygon,"$1,066,873,033",-3.05%,-8.50%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
cronos,VNO,$0.008513,2.16%,"$33,534","$293,224",0.11,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
cronos,FUL,$0.003294,3.28%,"$22,412","$281,047",0.08,https://dexscreener.com/cronos/0x6ae624714f221964aff3ab8d8276a7ec142a759f
cronos,CROID,$0.011070,8.17%,"$9,910","$141,873",0.07,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,FER,$0.000400,5.07%,"$9,075","$97,252",0.09,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,TONIC,$0.000000,4.21%,"$4,079","$300,906",0.01,https://dexscreener.com/cronos/0xa922530960a1f94828a7e132ec1ba95717ed1eab
bsc,BULLA,$0.039600,-39.45%,"$16,496,365","$1,024,466",16.10,https://dexscreener.com/bsc/0x48bc32f212d539b23e1459e57dc27724aea6677a
bsc,BROCCOLI,$0.028350,50.90%,"$6,970,248","$2,531,622",2.75,https://dexscreener.com/bsc/0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b
bsc,ARK,$19.610000,-1.11%,"$4,368,442","$86,195,647",0.05,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
bsc,币安人生,$0.129100,-2.49%,"$3,890,072","$3,836,676",1.01,https://dexscreener.com/bsc/0x66f289de31eef70d52186729d2637ac978cfc56b
bsc,HAPPY-SCI,$0.001353,64.47%,"$3,845,566","$149,766",25.68,https://dexscreener.com/bsc/0x9cf746e45a0cbfbc39c928b66953d086b942f7fa
sui,MAGMA,$0.151800,8.35%,"$1,311,422","$201,448",6.51,https://dexscreener.com/sui/0x9aedfbd1a64798b83a0d70d4432327c6372207aa2ff60ed828b799a634054411
sui,SCA,$0.042570,1.32%,"$222,833","$414,720",0.54,https://dexscreener.com/sui/0x9661cca01a5b9b3536883568fa967a2943e237de11a97976795f5adb293892e9
sui,HAEDAL,$0.044310,1.49%,"$111,867","$831,472",0.13,https://dexscreener.com/sui/0x711f5d37e3b09b026b182d9e0973d05e9a837d11066ff48f4a55a426d8913359
sui,NAVX,$0.019120,6.18%,"$103,817","$336,723",0.31,https://dexscreener.com/sui/0x0254747f5ca059a1972cd7f6016485d51392a3fde608107b93bbaebea550f703
sui,PANS,$0.000277,-20.02%,"$47,722","$92,787",0.51,https://dexscreener.com/sui/0x155b01dc5dbf6eb319ee5df50d201ae49fdc7a0a074acfe4fe1201acbf181a56
base,CBBTC,$92925.760000,1.73%,"$49,903,664","$22,582,443",2.21,https://dexscreener.com/base/0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1
base,ZORA,$0.044230,2.26%,"$1,814,333","$588,578",3.08,https://dexscreener.com/base/0x3f53f1fd5b7723ddf38d93a584d280b9b94c3111
