=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Cronos,"$389,702,703",1.94%,5.19%,🚀 加速流入
BSC,"$6,861,664,435",1.89%,5.21%,🚀 加速流入
Bitcoin,"$7,197,563,977",1.75%,6.98%,🚀 加速流入
Base,"$4,774,447,486",1.74%,7.48%,🚀 加速流入
Ethereum,"$73,475,549,223",1.31%,6.77%,🚀 加速流入
Arbitrum,"$3,079,562,106",1.11%,8.52%,🟢 穩健增長
Sui,"$986,573,633",1.05%,6.93%,🚀 加速流入
Solana,"$8,772,347,730",1.00%,3.28%,🚀 加速流入
OP Mainnet,"$307,711,110",0.97%,4.61%,🚀 加速流入
Vaulta,"$388,895,176",0.75%,2.70%,🚀 加速流入
Hyperliquid L1,"$1,442,255,334",0.71%,-2.26%,🟢 穩健增長
Avalanche,"$1,332,671,581",0.53%,4.16%,🟢 穩健增長
Mantle,"$337,740,331",0.50%,0.82%,🚀 加速流入
Tron,"$4,673,110,346",-0.04%,6.52%,⚠️ 資金流出
Aptos,"$440,974,389",-1.51%,0.34%,⚠️ 資金流出
Polygon,"$1,067,268,902",-3.01%,-8.47%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
cronos,VNO,$0.008534,2.41%,"$35,641","$294,588",0.12,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
cronos,FUL,$0.003307,3.67%,"$24,005","$282,527",0.08,https://dexscreener.com/cronos/0x6ae624714f221964aff3ab8d8276a7ec142a759f
cronos,CROID,$0.011150,7.73%,"$9,464","$143,063",0.07,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,FER,$0.000400,4.21%,"$8,883","$97,252",0.09,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,TONIC,$0.000000,3.79%,"$4,039","$300,906",0.01,https://dexscreener.com/cronos/0xa922530960a1f94828a7e132ec1ba95717ed1eab
bsc,BULLA,$0.042000,-36.94%,"$17,072,248","$1,067,810",15.99,https://dexscreener.com/bsc/0x48bc32f212d539b23e1459e57dc27724aea6677a
bsc,BROCCOLI,$0.028530,50.42%,"$7,041,304","$2,541,252",2.77,https://dexscreener.com/bsc/0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b
bsc,ARK,$19.650000,-0.82%,"$4,464,293","$86,276,097",0.05,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
bsc,币安人生,$0.129400,-3.61%,"$3,871,927","$3,839,597",1.01,https://dexscreener.com/bsc/0x66f289de31eef70d52186729d2637ac978cfc56b
bsc,HAPPY-SCI,$0.001195,-21.56%,"$3,337,244","$141,145",23.64,https://dexscreener.com/bsc/0x9cf746e45a0cbfbc39c928b66953d086b942f7fa
