=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Cronos,"$392,162,858",2.59%,5.85%,🚀 加速流入
Bitcoin,"$7,215,008,802",2.00%,7.24%,🚀 加速流入
Base,"$4,785,243,019",1.97%,7.72%,🚀 加速流入
BSC,"$6,865,136,415",1.94%,5.27%,🚀 加速流入
Arbitrum,"$3,087,589,661",1.38%,8.81%,🚀 加速流入
Ethereum,"$73,504,115,611",1.34%,6.81%,🚀 加速流入
OP Mainnet,"$308,233,036",1.14%,4.79%,🚀 加速流入
Sui,"$986,573,633",1.05%,6.93%,🚀 加速流入
Solana,"$8,774,721,512",1.03%,3.31%,🚀 加速流入
Vaulta,"$389,099,798",0.81%,2.76%,🚀 加速流入
Hyperliquid L1,"$1,442,255,334",0.71%,-2.26%,🟢 穩健增長
Mantle,"$337,862,898",0.54%,0.85%,🚀 加速流入
Avalanche,"$1,329,735,957",0.31%,3.93%,🟢 穩健增長
Tron,"$4,682,250,183",0.15%,6.73%,🟢 穩健增長
Aptos,"$448,430,723",0.15%,2.04%,🟢 穩健增長
Polygon,"$1,068,097,378",-2.94%,-8.40%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
cronos,VNO,$0.008474,1.41%,"$37,969","$293,019",0.13,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
cronos,FUL,$0.003301,3.00%,"$27,713","$281,775",0.10,https://dexscreener.com/cronos/0x6ae624714f221964aff3ab8d8276a7ec142a759f
cronos,CROID,$0.011130,6.74%,"$8,858","$142,681",0.06,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,FER,$0.000397,2.02%,"$8,369","$96,892",0.09,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,TONIC,$0.000000,3.79%,"$4,039","$300,906",0.01,https://dexscreener.com/cronos/0xa922530960a1f94828a7e132ec1ba95717ed1eab
base,CBBTC,$92674.310000,1.59%,"$51,338,502","$27,896,872",1.84,https://dexscreener.com/base/0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1
base,ZORA,$0.043480,0.32%,"$1,840,840","$524,567",3.51,https://dexscreener.com/base/0x3f53f1fd5b7723ddf38d93a584d280b9b94c3111
base,KTA,$0.254000,11.54%,"$1,139,549","$8,743,438",0.13,https://dexscreener.com/base/0xd9edc75a3a797ec92ca370f19051babebfb2edee
base,EDEL,$0.029810,82.37%,"$807,157","$1,551,250",0.52,https://dexscreener.com/base/0x566bee7ef7b39f29d150ab3be6b6242c17cc5a31
base,TIBBIR,$0.213100,5.49%,"$692,284","$459,069",1.51,https://dexscreener.com/base/0x0f664affb82f074937d5cfcd61b97f3f32d5dc50
