=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Cronos,"$392,344,319",2.63%,5.90%,🚀 加速流入
BSC,"$6,880,235,923",2.16%,5.50%,🚀 加速流入
Bitcoin,"$7,191,134,665",1.66%,6.88%,🚀 加速流入
Sui,"$989,950,484",1.40%,7.29%,🚀 加速流入
Ethereum,"$73,531,999,692",1.38%,6.85%,🚀 加速流入
Arbitrum,"$3,084,920,951",1.29%,8.71%,🚀 加速流入
OP Mainnet,"$308,233,036",1.14%,4.79%,🚀 加速流入
Base,"$4,744,839,108",1.11%,6.81%,🚀 加速流入
Solana,"$8,774,721,512",1.03%,3.31%,🚀 加速流入
Vaulta,"$389,530,310",0.92%,2.87%,🚀 加速流入
Hyperliquid L1,"$1,440,581,888",0.59%,-2.37%,🟢 穩健增長
Mantle,"$337,862,898",0.54%,0.85%,🚀 加速流入
Avalanche,"$1,328,041,350",0.18%,3.80%,🟢 穩健增長
Aptos,"$448,297,240",0.12%,2.00%,🟢 穩健增長
Tron,"$4,680,465,007",0.11%,6.69%,🟢 穩健增長
Polygon,"$1,068,097,378",-2.94%,-8.40%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
cronos,VNO,$0.008497,1.61%,"$39,155","$293,096",0.13,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
cronos,FUL,$0.003303,3.11%,"$31,458","$281,565",0.11,https://dexscreener.com/cronos/0x6ae624714f221964aff3ab8d8276a7ec142a759f
cronos,CROID,$0.011110,6.66%,"$8,604","$142,395",0.06,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,FER,$0.000397,2.57%,"$8,149","$96,892",0.08,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,TONIC,$0.000000,3.97%,"$3,909","$300,906",0.01,https://dexscreener.com/cronos/0xa922530960a1f94828a7e132ec1ba95717ed1eab
bsc,BULLA,$0.039230,-41.03%,"$17,769,516","$1,017,855",17.46,https://dexscreener.com/bsc/0x48bc32f212d539b23e1459e57dc27724aea6677a
bsc,BROCCOLI,$0.026460,25.86%,"$6,667,074","$2,449,775",2.72,https://dexscreener.com/bsc/0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b
bsc,ARK,$19.650000,-0.69%,"$4,435,016","$86,263,961",0.05,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
bsc,币安人生,$0.124700,-9.51%,"$3,761,215","$3,760,928",1.00,https://dexscreener.com/bsc/0x66f289de31eef70d52186729d2637ac978cfc56b
bsc,4,$0.028180,-2.79%,"$2,315,564","$1,480,197",1.56,https://dexscreener.com/bsc/0xf0a949d3d93b833c183a27ee067165b6f2c9625e
sui,USDB,$1.000004,0.02%,"$491,299","$1,086,980",0.45,https://dexscreener.com/sui/0x7a0abae43a864801894c29d72c387ce7681ba752dd331492b32c3c5e1672c973
sui,SCA,$0.042640,1.55%,"$228,050","$413,575",0.55,https://dexscreener.com/sui/0x9661cca01a5b9b3536883568fa967a2943e237de11a97976795f5adb293892e9
sui,NAVX,$0.018570,3.70%,"$109,119","$330,198",0.33,https://dexscreener.com/sui/0x0254747f5ca059a1972cd7f6016485d51392a3fde608107b93bbaebea550f703
sui,BLUB,$0.000000,19.50%,"$49,386","$242,284",0.20,https://dexscreener.com/sui/0x40a372f9ee1989d76ceb8e50941b04468f8551d091fb8a5d7211522e42e60aaf
