=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Cronos,"$392,344,319",2.63%,5.90%,🚀 加速流入
BSC,"$6,880,235,923",2.16%,5.50%,🚀 加速流入
Bitcoin,"$7,186,655,606",1.60%,6.82%,🚀 加速流入
Sui,"$989,950,484",1.40%,7.29%,🚀 加速流入
Arbitrum,"$3,084,920,951",1.29%,8.71%,🚀 加速流入
Ethereum,"$73,339,757,869",1.12%,6.57%,🚀 加速流入
Base,"$4,744,839,108",1.11%,6.81%,🚀 加速流入
Vaulta,"$389,530,310",0.92%,2.87%,🚀 加速流入
OP Mainnet,"$307,538,070",0.92%,4.56%,🚀 加速流入
Solana,"$8,753,577,589",0.79%,3.06%,🚀 加速流入
Hyperliquid L1,"$1,440,581,888",0.59%,-2.37%,🟢 穩健增長
Mantle,"$337,739,648",0.50%,0.82%,🚀 加速流入
Aptos,"$448,297,240",0.12%,2.00%,🟢 穩健增長
Tron,"$4,680,465,007",0.11%,6.69%,🟢 穩健增長
Avalanche,"$1,324,327,394",-0.10%,3.51%,⚠️ 資金流出
Polygon,"$1,066,984,634",-3.04%,-8.49%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
cronos,VNO,$0.008502,1.58%,"$41,730","$293,874",0.14,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
cronos,FUL,$0.003321,3.73%,"$31,658","$283,140",0.11,https://dexscreener.com/cronos/0x6ae624714f221964aff3ab8d8276a7ec142a759f
cronos,CROID,$0.011110,6.26%,"$8,295","$142,395",0.06,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,FER,$0.000397,3.30%,"$7,593","$96,892",0.08,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,TONIC,$0.000000,3.97%,"$3,909","$300,906",0.01,https://dexscreener.com/cronos/0xa922530960a1f94828a7e132ec1ba95717ed1eab
bsc,BULLA,$0.037780,-42.05%,"$17,958,020","$991,439",18.11,https://dexscreener.com/bsc/0x48bc32f212d539b23e1459e57dc27724aea6677a
bsc,BROCCOLI,$0.026990,25.54%,"$6,691,770","$2,477,166",2.70,https://dexscreener.com/bsc/0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b
bsc,ARK,$19.610000,-0.75%,"$4,413,439","$86,192,863",0.05,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
bsc,币安人生,$0.126200,-9.86%,"$3,832,383","$3,784,342",1.01,https://dexscreener.com/bsc/0x66f289de31eef70d52186729d2637ac978cfc56b
bsc,4,$0.028540,-5.32%,"$2,186,118","$1,490,161",1.47,https://dexscreener.com/bsc/0xf0a949d3d93b833c183a27ee067165b6f2c9625e
sui,SCA,$0.042660,1.58%,"$243,019","$415,383",0.59,https://dexscreener.com/sui/0x9661cca01a5b9b3536883568fa967a2943e237de11a97976795f5adb293892e9
sui,NAVX,$0.018770,1.71%,"$105,159","$333,560",0.32,https://dexscreener.com/sui/0x0254747f5ca059a1972cd7f6016485d51392a3fde608107b93bbaebea550f703
sui,BLUB,$0.000000,19.76%,"$53,409","$241,084",0.22,https://dexscreener.com/sui/0x40a372f9ee1989d76ceb8e50941b04468f8551d091fb8a5d7211522e42e60aaf
sui,PANS,$0.000247,-28.57%,"$49,314","$88,295",0.56,https://dexscreener.com/sui/0x155b01dc5dbf6eb319ee5df50d201ae49fdc7a0a074acfe4fe1201acbf181a56
arbitrum,LINK,$13.530000,1.13%,"$105,516","$315,426",0.33,https://dexscreener.com/arbitrum/0xe8795cf9c2309ecfe05df028eb0f21d5d6e3a951
arbitrum,T,$0.002893,-1.09%,"$19,578","$277,415",0.07,https://dexscreener.com/arbitrum/0xd971ff5a7530919ae67e06695710b262a72e8f2f
arbitrum,GMX,$8.200000,0.68%,"$12,371","$66,071",0.19,https://dexscreener.com/arbitrum/0xc99be44383bc8d82357f5a1d9ae9976ee9d75bee
arbitrum,PEAR,$0.029710,1.75%,"$6,022","$999,698",0.01,https://dexscreener.com/arbitrum/0x299c7d6f2ef82cb52b2ab83b14f05c6b2b803aba
arbitrum,ADOGE,$0.000000,3.24%,$661,"$126,672",0.01,https://dexscreener.com/arbitrum/0x11eecdbd8f2d670016d061e4c064072e6158ede2
ethereum,USDS,$1.000092,0.02%,"$26,580,704","$100,011,705",0.27,https://dexscreener.com/ethereum/0xa632d59b9b804a956bfaa9b48af3a1b74808fc1f
ethereum,PEPE,$0.000007,-3.93%,"$6,487,179","$41,555,586",0.16,https://dexscreener.com/ethereum/0xa43fe16908251ee70ef74718545e4fe6c5ccec9f
ethereum,CBBTC,$92232.073000,0.49%,"$5,602,144","$215,423,467",0.03,https://dexscreener.com/ethereum/0x83f24023d15d835a213df24fd309c47dab5beb32
ethereum,SUSDE,$1.210000,0.06%,"$2,227,851","$91,716,041",0.02,https://dexscreener.com/ethereum/0x744793b5110f6ca9cc7cdfe1ce16677c3eb192ef
ethereum,YEE,$0.029370,13.16%,"$1,524,481","$1,230,783",1.24,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
base,CBBTC,$93422.330000,2.38%,"$56,932,493","$24,235,663",2.35,https://dexscreener.com/base/0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1
base,ZORA,$0.044590,2.26%,"$1,881,629","$542,169",3.47,https://dexscreener.com/base/0x3f53f1fd5b7723ddf38d93a584d280b9b94c3111
base,KTA,$0.252800,10.91%,"$1,337,451","$8,750,000",0.15,https://dexscreener.com/base/0xd9edc75a3a797ec92ca370f19051babebfb2edee
base,EDEL,$0.031090,98.45%,"$963,452","$1,577,739",0.61,https://dexscreener.com/base/0x566bee7ef7b39f29d150ab3be6b6242c17cc5a31
base,TIBBIR,$0.216400,5.38%,"$694,489","$436,753",1.59,https://dexscreener.com/base/0x0f664affb82f074937d5cfcd61b97f3f32d5dc50
optimism,ALETH,$3068.780000,0.58%,"$42,066","$4,163,160",0.01,https://dexscreener.com/optimism/0xa1055762336f92b4b8d2edc032a0ce45ead6280a
optimism,ALUSD,$0.992200,0.08%,"$41,723","$1,859,069",0.02,https://dexscreener.com/optimism/0x124d69daeda338b1b31ffc8e429e39c9a991164e
optimism,OVER,$0.278600,-1.01%,"$13,355","$985,343",0.01,https://dexscreener.com/optimism/0x1eaa860dca29a5124f665f7d80affed92e877681
optimism,MOOBIFI,$189.280000,0.66%,"$3,712","$346,021",0.01,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,TAROT,$0.051770,1.29%,"$2,844","$451,005",0.01,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
solana,PONKE,$0.062370,-11.81%,"$5,623,912","$2,631,563",2.14,https://dexscreener.com/solana/5utwg3y3f5cx4ykodgtjwehdrx5hdkz5bzz72x8eq6ze
solana,KMNO,$0.059070,-3.07%,"$2,615,563","$2,893,732",0.90,https://dexscreener.com/solana/3ndjn1njvukgrjbc1hhvper6kwtzkhdydrpycjyx3cxk
solana,KASH,$0.000184,204.00%,"$2,612,244","$46,621",56.03,https://dexscreener.com/solana/xywwfyn3ckul1tewal7unet62c1wyrwihwryzpeepmy
solana,FWOG,$0.016240,-11.56%,"$2,070,959","$2,905,542",0.71,https://dexscreener.com/solana/ab1eu2l1jr3nfeft85aud2zgksubam1kr8mr3um2sjwt
solana,JDHOUSE,$0.000110,84.52%,"$2,040,151","$36,036",56.61,https://dexscreener.com/solana/5cfqy4qrxzr1kxhbn95pzubqn6q83ybqacjkg1fzcdzf
tron,PEPE,$0.006952,-33.95%,"$1,230,820","$518,907",2.37,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,SUN,$0.020060,0.24%,"$93,048","$16,761,279",0.01,https://dexscreener.com/tron/thu6conqvz3phyhentdyw9ae3pgypwbsp6
tron,OSP,$1.980000,10.19%,"$90,096","$3,977,588",0.02,https://dexscreener.com/tron/tsqxeoxd6qwhunblj9slq7p8wy59oabuf8
tron,ARES,$0.000053,10.90%,"$31,228","$53,910",0.58,https://dexscreener.com/tron/tmaypj9wnqwqzabn5mweh3qxpzge6gnixr
tron,SUNPEPE,$0.000065,-1.09%,"$26,648","$52,608",0.51,https://dexscreener.com/tron/twqh9wcgtosnfguu8u8rigzd1ytjxfk9yu
avalanche,AUSD,$1.000400,0.01%,"$11,167,657","$2,242,609",4.98,https://dexscreener.com/avalanche/0xcec377285abf370fdf872625d2742252656d631a
avalanche,COQ,$0.000000,7.44%,"$231,517","$953,793",0.24,https://dexscreener.com/avalanche/0x41ab86eecbd110a82ca602d032a461f453066f1e
avalanche,JOE,$0.070450,1.55%,"$113,804","$781,622",0.15,https://dexscreener.com/avalanche/0x454e67025631c065d3cfad6d71e6892f74487a15
avalanche,ARENA,$0.002159,1.03%,"$70,216","$320,441",0.22,https://dexscreener.com/avalanche/0xa78c3e56afb8d34a536825e2497255e78b388619
avalanche,WOLF,$0.000001,7.41%,"$2,925","$71,167",0.04,https://dexscreener.com/avalanche/0x08db8eafeea89476bfc51b07613f430748ff350a
polygon,AS,$1.240000,-0.62%,"$246,287","$17,090,579",0.01,https://dexscreener.com/polygon/0x1a9221261dc445d773e66075b9e9e52f40e15ab1
polygon,QUICK,$0.012230,2.13%,"$74,987","$187,990",0.40,https://dexscreener.com/polygon/0xde2d1fd2e8238aba80a5b80c7262e4833d92f624
polygon,MV,$0.004968,-5.22%,"$3,867","$65,091",0.06,https://dexscreener.com/polygon/0x690a87ed8972e451e755b8f2dc1fc2b28e3c6566
