=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
BSC,"$6,879,330,952",2.15%,5.48%,🚀 加速流入
Cronos,"$389,945,447",2.01%,5.25%,🚀 加速流入
Bitcoin,"$7,186,655,606",1.60%,6.82%,🚀 加速流入
Sui,"$990,698,446",1.48%,7.37%,🚀 加速流入
Base,"$4,754,291,377",1.31%,7.02%,🚀 加速流入
Ethereum,"$73,339,757,869",1.12%,6.57%,🚀 加速流入
Vaulta,"$389,461,215",0.90%,2.85%,🚀 加速流入
Arbitrum,"$3,072,040,311",0.87%,8.26%,🟢 穩健增長
OP Mainnet,"$307,214,190",0.81%,4.45%,🚀 加速流入
Solana,"$8,753,577,589",0.79%,3.06%,🚀 加速流入
Mantle,"$337,739,648",0.50%,0.82%,🚀 加速流入
Hyperliquid L1,"$1,435,129,581",0.21%,-2.74%,🟢 穩健增長
Tron,"$4,678,425,307",0.07%,6.64%,🟢 穩健增長
Aptos,"$448,019,278",0.06%,1.94%,🟢 穩健增長
Avalanche,"$1,324,327,394",-0.10%,3.51%,⚠️ 資金流出
Polygon,"$1,066,984,634",-3.04%,-8.49%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
bsc,BULLA,$0.037660,-37.58%,"$17,741,177","$989,281",17.93,https://dexscreener.com/bsc/0x48bc32f212d539b23e1459e57dc27724aea6677a
bsc,BROCCOLI,$0.026630,15.32%,"$6,615,050","$2,462,662",2.69,https://dexscreener.com/bsc/0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b
bsc,ARK,$19.610000,-0.73%,"$4,374,754","$86,187,695",0.05,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
bsc,币安人生,$0.127600,-7.75%,"$3,788,505","$3,813,227",0.99,https://dexscreener.com/bsc/0x66f289de31eef70d52186729d2637ac978cfc56b
bsc,4,$0.028660,-4.16%,"$2,175,984","$1,496,430",1.45,https://dexscreener.com/bsc/0xf0a949d3d93b833c183a27ee067165b6f2c9625e
cronos,VNO,$0.008574,2.34%,"$42,340","$296,521",0.14,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
cronos,FUL,$0.003346,4.51%,"$31,766","$285,404",0.11,https://dexscreener.com/cronos/0x6ae624714f221964aff3ab8d8276a7ec142a759f
cronos,CROID,$0.011090,6.10%,"$9,315","$141,731",0.07,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,FER,$0.000397,3.56%,"$7,514","$96,892",0.08,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,TONIC,$0.000000,4.73%,"$3,850","$300,906",0.01,https://dexscreener.com/cronos/0xa922530960a1f94828a7e132ec1ba95717ed1eab
sui,USDB,$0.999700,-0.02%,"$491,250","$1,086,757",0.45,https://dexscreener.com/sui/0x7a0abae43a864801894c29d72c387ce7681ba752dd331492b32c3c5e1672c973
sui,SCA,$0.042800,1.95%,"$247,946","$418,871",0.59,https://dexscreener.com/sui/0x9661cca01a5b9b3536883568fa967a2943e237de11a97976795f5adb293892e9
sui,NAVX,$0.018910,2.15%,"$105,576","$336,297",0.31,https://dexscreener.com/sui/0x0254747f5ca059a1972cd7f6016485d51392a3fde608107b93bbaebea550f703
sui,BLUB,$0.000000,22.00%,"$53,013","$247,711",0.21,https://dexscreener.com/sui/0x40a372f9ee1989d76ceb8e50941b04468f8551d091fb8a5d7211522e42e60aaf
sui,PANS,$0.000253,-26.95%,"$49,455","$90,075",0.55,https://dexscreener.com/sui/0x155b01dc5dbf6eb319ee5df50d201ae49fdc7a0a074acfe4fe1201acbf181a56
base,CBBTC,$93802.700000,2.85%,"$58,482,537","$23,550,079",2.48,https://dexscreener.com/base/0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1
base,ZORA,$0.045390,4.77%,"$1,893,350","$527,629",3.59,https://dexscreener.com/base/0x3f53f1fd5b7723ddf38d93a584d280b9b94c3111
base,KTA,$0.257800,13.44%,"$1,367,905","$8,872,248",0.15,https://dexscreener.com/base/0xd9edc75a3a797ec92ca370f19051babebfb2edee
base,EDEL,$0.030460,94.00%,"$974,787","$1,569,602",0.62,https://dexscreener.com/base/0x566bee7ef7b39f29d150ab3be6b6242c17cc5a31
base,TIBBIR,$0.218300,5.19%,"$677,048","$440,883",1.54,https://dexscreener.com/base/0x0f664affb82f074937d5cfcd61b97f3f32d5dc50
ethereum,USDS,$1.000097,0.02%,"$29,914,747","$100,012,023",0.30,https://dexscreener.com/ethereum/0xa632d59b9b804a956bfaa9b48af3a1b74808fc1f
ethereum,PEPE,$0.000007,-1.01%,"$6,555,541","$42,057,840",0.16,https://dexscreener.com/ethereum/0xa43fe16908251ee70ef74718545e4fe6c5ccec9f
ethereum,CBBTC,$92232.073000,0.26%,"$5,602,105","$215,423,467",0.03,https://dexscreener.com/ethereum/0x83f24023d15d835a213df24fd309c47dab5beb32
ethereum,SUSDE,$1.210000,0.07%,"$2,227,582","$91,716,041",0.02,https://dexscreener.com/ethereum/0x744793b5110f6ca9cc7cdfe1ce16677c3eb192ef
ethereum,YEE,$0.029180,14.87%,"$1,641,367","$1,232,241",1.33,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
arbitrum,GNS,$1.150000,0.12%,"$251,460","$647,246",0.39,https://dexscreener.com/arbitrum/0x9b6ff025aee245d314c09f57b72f0de6e231c3a6
arbitrum,T,$0.002893,-1.09%,"$19,578","$277,415",0.07,https://dexscreener.com/arbitrum/0xd971ff5a7530919ae67e06695710b262a72e8f2f
arbitrum,GMX,$8.280000,1.98%,"$12,179","$66,759",0.18,https://dexscreener.com/arbitrum/0xc99be44383bc8d82357f5a1d9ae9976ee9d75bee
arbitrum,PEAR,$0.029710,1.75%,"$6,022","$999,698",0.01,https://dexscreener.com/arbitrum/0x299c7d6f2ef82cb52b2ab83b14f05c6b2b803aba
arbitrum,ADOGE,$0.000000,3.24%,$661,"$126,672",0.01,https://dexscreener.com/arbitrum/0x11eecdbd8f2d670016d061e4c064072e6158ede2
optimism,ALETH,$3094.180000,1.96%,"$44,355","$4,198,084",0.01,https://dexscreener.com/optimism/0xa1055762336f92b4b8d2edc032a0ce45ead6280a
optimism,ALUSD,$0.992500,0.00%,"$43,498","$1,859,348",0.02,https://dexscreener.com/optimism/0x124d69daeda338b1b31ffc8e429e39c9a991164e
optimism,OVER,$0.280000,-0.73%,"$14,139","$992,613",0.01,https://dexscreener.com/optimism/0x1eaa860dca29a5124f665f7d80affed92e877681
optimism,MOOBIFI,$190.830000,1.87%,"$3,712","$348,863",0.01,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,TAROT,$0.051770,1.23%,"$2,844","$451,006",0.01,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
solana,JLP,$4.760000,1.12%,"$8,994,697","$2,803,854",3.21,https://dexscreener.com/solana/6nuivmsnjsi4afsmseiaezsav9n4n1zrd4jenuwnrvyb
solana,PONKE,$0.063930,-4.10%,"$4,953,041","$2,676,893",1.85,https://dexscreener.com/solana/5utwg3y3f5cx4ykodgtjwehdrx5hdkz5bzz72x8eq6ze
solana,KMNO,$0.060500,-0.62%,"$2,772,855","$2,938,768",0.94,https://dexscreener.com/solana/3ndjn1njvukgrjbc1hhvper6kwtzkhdydrpycjyx3cxk
solana,KASH,$0.000156,157.00%,"$2,619,518","$42,896",61.07,https://dexscreener.com/solana/xywwfyn3ckul1tewal7unet62c1wyrwihwryzpeepmy
solana,RALPH,$0.000747,1013.00%,"$2,063,993","$78,396",26.33,https://dexscreener.com/solana/dbyk8geixwneh2zfw2lo1svuq1wkhaeqyndsrakq6bhf
tron,PEPE,$0.006965,-33.86%,"$1,231,236","$519,586",2.37,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,OSP,$1.980000,10.19%,"$90,096","$3,977,588",0.02,https://dexscreener.com/tron/tsqxeoxd6qwhunblj9slq7p8wy59oabuf8
tron,SUN,$0.020060,0.16%,"$88,922","$16,761,279",0.01,https://dexscreener.com/tron/thu6conqvz3phyhentdyw9ae3pgypwbsp6
tron,ARES,$0.000053,10.90%,"$31,228","$53,910",0.58,https://dexscreener.com/tron/tmaypj9wnqwqzabn5mweh3qxpzge6gnixr
tron,SUNPEPE,$0.000065,-1.09%,"$26,648","$52,608",0.51,https://dexscreener.com/tron/twqh9wcgtosnfguu8u8rigzd1ytjxfk9yu
avalanche,AUSD,$1.000400,0.01%,"$11,160,534","$2,242,911",4.98,https://dexscreener.com/avalanche/0xcec377285abf370fdf872625d2742252656d631a
avalanche,COQ,$0.000000,6.83%,"$228,310","$961,119",0.24,https://dexscreener.com/avalanche/0x41ab86eecbd110a82ca602d032a461f453066f1e
avalanche,JOE,$0.071090,0.13%,"$76,470","$788,858",0.10,https://dexscreener.com/avalanche/0x454e67025631c065d3cfad6d71e6892f74487a15
avalanche,ARENA,$0.002194,2.66%,"$72,074","$323,814",0.22,https://dexscreener.com/avalanche/0xa78c3e56afb8d34a536825e2497255e78b388619
avalanche,WOLF,$0.000001,7.41%,"$2,925","$71,167",0.04,https://dexscreener.com/avalanche/0x08db8eafeea89476bfc51b07613f430748ff350a
polygon,AS,$1.240000,-0.67%,"$241,658","$17,089,901",0.01,https://dexscreener.com/polygon/0x1a9221261dc445d773e66075b9e9e52f40e15ab1
polygon,QUICK,$0.012230,2.18%,"$76,932","$188,212",0.41,https://dexscreener.com/polygon/0xde2d1fd2e8238aba80a5b80c7262e4833d92f624
polygon,MV,$0.004971,-5.16%,"$3,877","$65,111",0.06,https://dexscreener.com/polygon/0x690a87ed8972e451e755b8f2dc1fc2b28e3c6566
