=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Cronos,"$390,974,627",2.27%,5.53%,🚀 加速流入
Hyperliquid L1,"$1,458,783,385",1.86%,-1.14%,🟢 穩健增長
Bitcoin,"$7,174,936,347",1.43%,6.64%,🚀 加速流入
BSC,"$6,829,498,213",1.41%,4.72%,🚀 加速流入
Solana,"$8,804,534,226",1.38%,3.66%,🚀 加速流入
Base,"$4,752,710,824",1.30%,6.99%,🚀 加速流入
Arbitrum,"$3,079,187,328",1.10%,8.51%,🟢 穩健增長
OP Mainnet,"$307,586,657",0.93%,4.57%,🚀 加速流入
Ethereum,"$73,180,646,801",0.90%,6.34%,🟢 穩健增長
Sui,"$983,691,749",0.76%,6.61%,🟢 穩健增長
Vaulta,"$388,568,041",0.67%,2.62%,🚀 加速流入
Avalanche,"$1,331,015,130",0.41%,4.03%,🟢 穩健增長
Mantle,"$336,813,813",0.23%,0.54%,🚀 加速流入
Tron,"$4,681,285,372",0.13%,6.71%,🟢 穩健增長
Aptos,"$442,082,993",-1.27%,0.59%,⚠️ 資金流出
Polygon,"$1,072,105,807",-2.57%,-8.05%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
cronos,PEPE,$0.000007,4.98%,"$27,083","$95,805",0.28,https://dexscreener.com/cronos/0xb90d6e09075168281d47da6f0665ff4fd8f0ff6f
cronos,VNO,$0.008520,2.35%,"$26,315","$293,702",0.09,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
cronos,FUL,$0.003259,2.87%,"$16,595","$279,911",0.06,https://dexscreener.com/cronos/0x6ae624714f221964aff3ab8d8276a7ec142a759f
cronos,FER,$0.000402,2.94%,"$12,656","$97,458",0.13,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,CROID,$0.011140,9.36%,"$10,209","$142,673",0.07,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
bsc,BULLA,$0.039100,-42.17%,"$16,843,626","$1,015,269",16.59,https://dexscreener.com/bsc/0x48bc32f212d539b23e1459e57dc27724aea6677a
bsc,HAPPY-SCI,$0.001346,1890.00%,"$6,824,161","$148,261",46.03,https://dexscreener.com/bsc/0x9cf746e45a0cbfbc39c928b66953d086b942f7fa
bsc,BROCCOLI,$0.028350,48.81%,"$6,693,462","$2,518,128",2.66,https://dexscreener.com/bsc/0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b
bsc,ARK,$19.560000,-1.20%,"$4,310,032","$86,082,199",0.05,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
bsc,币安人生,$0.132400,2.77%,"$3,784,671","$3,871,601",0.98,https://dexscreener.com/bsc/0x66f289de31eef70d52186729d2637ac978cfc56b
