=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Bitcoin,"$7,238,410,671",2.33%,7.59%,🚀 加速流入
BSC,"$6,886,249,755",2.25%,5.59%,🚀 加速流入
Cronos,"$389,893,965",1.99%,5.24%,🚀 加速流入
Sui,"$992,833,030",1.70%,7.61%,🚀 加速流入
Base,"$4,754,985,215",1.33%,7.04%,🚀 加速流入
Ethereum,"$73,400,765,466",1.20%,6.66%,🚀 加速流入
Vaulta,"$389,461,215",0.90%,2.85%,🚀 加速流入
Arbitrum,"$3,072,040,311",0.87%,8.26%,🟢 穩健增長
Solana,"$8,753,615,610",0.79%,3.06%,🚀 加速流入
OP Mainnet,"$306,927,422",0.72%,4.35%,🚀 加速流入
Mantle,"$337,360,372",0.39%,0.70%,🚀 加速流入
Hyperliquid L1,"$1,435,129,581",0.21%,-2.74%,🟢 穩健增長
Tron,"$4,678,425,307",0.07%,6.64%,🟢 穩健增長
Aptos,"$448,019,278",0.06%,1.94%,🟢 穩健增長
Avalanche,"$1,324,631,508",-0.07%,3.53%,⚠️ 資金流出
Polygon,"$1,059,377,279",-3.73%,-9.15%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
bsc,BULLA,$0.043830,-6.49%,"$15,486,760","$1,100,583",14.07,https://dexscreener.com/bsc/0x48bc32f212d539b23e1459e57dc27724aea6677a
bsc,BROCCOLI,$0.026410,-5.61%,"$5,492,411","$2,453,592",2.24,https://dexscreener.com/bsc/0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b
bsc,ARK,$19.570000,-0.71%,"$4,376,550","$86,097,905",0.05,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
bsc,币安人生,$0.129100,-10.73%,"$3,362,626","$3,833,175",0.88,https://dexscreener.com/bsc/0x66f289de31eef70d52186729d2637ac978cfc56b
bsc,PIZZA6900,$0.000481,341.00%,"$2,439,734","$85,192",28.64,https://dexscreener.com/bsc/0x30b81118499e89c212d3cffa6c2ada7e2869f71f
cronos,VNO,$0.008573,0.79%,"$40,298","$296,523",0.14,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
cronos,FUL,$0.003346,4.12%,"$31,653","$285,430",0.11,https://dexscreener.com/cronos/0x6ae624714f221964aff3ab8d8276a7ec142a759f
cronos,CROID,$0.011110,6.30%,"$9,355","$141,924",0.07,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,FER,$0.000397,3.59%,"$7,501","$96,892",0.08,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,TONIC,$0.000000,6.59%,"$3,888","$306,328",0.01,https://dexscreener.com/cronos/0xa922530960a1f94828a7e132ec1ba95717ed1eab
sui,USDB,$1.000011,0.02%,"$491,320","$1,086,987",0.45,https://dexscreener.com/sui/0x7a0abae43a864801894c29d72c387ce7681ba752dd331492b32c3c5e1672c973
sui,US,$0.006594,1.89%,"$410,001","$644,718",0.64,https://dexscreener.com/sui/0x968f1f73b8e766e2ce0198c807d0c956aa384bfe64c98a18e56bfb970a13e7bb
sui,SCA,$0.042890,1.99%,"$252,644","$419,964",0.60,https://dexscreener.com/sui/0x9661cca01a5b9b3536883568fa967a2943e237de11a97976795f5adb293892e9
sui,NAVX,$0.018900,2.21%,"$105,405","$336,052",0.31,https://dexscreener.com/sui/0x0254747f5ca059a1972cd7f6016485d51392a3fde608107b93bbaebea550f703
sui,BLUB,$0.000000,18.75%,"$53,125","$244,576",0.22,https://dexscreener.com/sui/0x40a372f9ee1989d76ceb8e50941b04468f8551d091fb8a5d7211522e42e60aaf
base,CBBTC,$93849.056000,2.71%,"$61,347,692","$22,679,523",2.70,https://dexscreener.com/base/0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1
base,ZORA,$0.044730,3.22%,"$1,936,739","$603,776",3.21,https://dexscreener.com/base/0x3f53f1fd5b7723ddf38d93a584d280b9b94c3111
base,KTA,$0.259100,11.56%,"$1,393,552","$8,879,576",0.16,https://dexscreener.com/base/0xd9edc75a3a797ec92ca370f19051babebfb2edee
base,EDEL,$0.030600,94.54%,"$981,865","$1,570,333",0.63,https://dexscreener.com/base/0x566bee7ef7b39f29d150ab3be6b6242c17cc5a31
base,TIBBIR,$0.215100,4.89%,"$657,587","$443,920",1.48,https://dexscreener.com/base/0x0f664affb82f074937d5cfcd61b97f3f32d5dc50
ethereum,USDS,$1.000110,0.02%,"$31,250,949","$100,012,954",0.31,https://dexscreener.com/ethereum/0xa632d59b9b804a956bfaa9b48af3a1b74808fc1f
ethereum,CBBTC,$93928.150000,2.11%,"$7,286,608","$217,232,933",0.03,https://dexscreener.com/ethereum/0x83f24023d15d835a213df24fd309c47dab5beb32
ethereum,PEPE,$0.000007,-2.21%,"$6,569,353","$42,112,957",0.16,https://dexscreener.com/ethereum/0xa43fe16908251ee70ef74718545e4fe6c5ccec9f
ethereum,SUSDE,$1.210000,0.07%,"$2,424,336","$91,716,253",0.03,https://dexscreener.com/ethereum/0x744793b5110f6ca9cc7cdfe1ce16677c3eb192ef
ethereum,YEE,$0.029320,18.31%,"$1,660,103","$1,233,382",1.35,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
arbitrum,GNS,$1.150000,-0.10%,"$256,696","$645,827",0.40,https://dexscreener.com/arbitrum/0x9b6ff025aee245d314c09f57b72f0de6e231c3a6
arbitrum,T,$0.002893,-1.09%,"$19,578","$277,415",0.07,https://dexscreener.com/arbitrum/0xd971ff5a7530919ae67e06695710b262a72e8f2f
arbitrum,GMX,$8.210000,0.26%,"$11,726","$66,212",0.18,https://dexscreener.com/arbitrum/0xc99be44383bc8d82357f5a1d9ae9976ee9d75bee
arbitrum,PEAR,$0.029710,1.68%,"$6,015","$999,698",0.01,https://dexscreener.com/arbitrum/0x299c7d6f2ef82cb52b2ab83b14f05c6b2b803aba
arbitrum,ADOGE,$0.000000,3.24%,$661,"$126,672",0.01,https://dexscreener.com/arbitrum/0x11eecdbd8f2d670016d061e4c064072e6158ede2
solana,TRUMP,$5.530000,2.52%,"$96,028,476","$157,056,556",0.61,https://dexscreener.com/solana/9d9mb8kooffad3sctgztkxqypkshx6ezhbkio89ixyy2
solana,JLP,$4.750000,0.72%,"$9,231,370","$2,803,633",3.29,https://dexscreener.com/solana/6nuivmsnjsi4afsmseiaezsav9n4n1zrd4jenuwnrvyb
solana,PONKE,$0.061000,-0.45%,"$4,508,642","$2,608,785",1.73,https://dexscreener.com/solana/5utwg3y3f5cx4ykodgtjwehdrx5hdkz5bzz72x8eq6ze
solana,KMNO,$0.061370,-0.05%,"$3,220,062","$2,965,881",1.09,https://dexscreener.com/solana/3ndjn1njvukgrjbc1hhvper6kwtzkhdydrpycjyx3cxk
solana,RALPH,$0.000893,1231.00%,"$2,125,869","$85,484",24.87,https://dexscreener.com/solana/dbyk8geixwneh2zfw2lo1svuq1wkhaeqyndsrakq6bhf
optimism,USD₮0,$0.999500,-0.03%,"$56,329","$414,699",0.14,https://dexscreener.com/optimism/0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9
optimism,ALETH,$3086.210000,1.63%,"$45,174","$4,186,890",0.01,https://dexscreener.com/optimism/0xa1055762336f92b4b8d2edc032a0ce45ead6280a
optimism,ALUSD,$0.991600,-0.03%,"$44,223","$1,857,976",0.02,https://dexscreener.com/optimism/0x124d69daeda338b1b31ffc8e429e39c9a991164e
optimism,OVER,$0.280000,-0.73%,"$14,139","$992,613",0.01,https://dexscreener.com/optimism/0x1eaa860dca29a5124f665f7d80affed92e877681
optimism,MOOBIFI,$190.970000,1.85%,"$3,719","$349,118",0.01,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
tron,PEPE,$0.006915,-34.13%,"$1,232,239","$517,652",2.38,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,OSP,$1.980000,10.19%,"$90,096","$3,977,588",0.02,https://dexscreener.com/tron/tsqxeoxd6qwhunblj9slq7p8wy59oabuf8
tron,SUN,$0.020060,0.13%,"$80,625","$16,761,279",0.00,https://dexscreener.com/tron/thu6conqvz3phyhentdyw9ae3pgypwbsp6
tron,ARES,$0.000053,-0.56%,"$29,083","$53,910",0.54,https://dexscreener.com/tron/tmaypj9wnqwqzabn5mweh3qxpzge6gnixr
tron,SUNPEPE,$0.000065,-0.97%,"$26,649","$52,665",0.51,https://dexscreener.com/tron/twqh9wcgtosnfguu8u8rigzd1ytjxfk9yu
avalanche,AUSD,$1.000400,0.01%,"$11,128,633","$2,242,907",4.96,https://dexscreener.com/avalanche/0xcec377285abf370fdf872625d2742252656d631a
avalanche,COQ,$0.000000,5.22%,"$229,537","$950,591",0.24,https://dexscreener.com/avalanche/0x41ab86eecbd110a82ca602d032a461f453066f1e
avalanche,ARENA,$0.002198,2.02%,"$73,543","$322,515",0.23,https://dexscreener.com/avalanche/0xa78c3e56afb8d34a536825e2497255e78b388619
avalanche,JOE,$0.070670,-2.60%,"$71,052","$781,538",0.09,https://dexscreener.com/avalanche/0x454e67025631c065d3cfad6d71e6892f74487a15
avalanche,GUN,$0.014200,-0.60%,"$38,244","$320,230",0.12,https://dexscreener.com/avalanche/0xbd26e663281fb35d4757219eb180f02e8a065c09
polygon,AS,$1.240000,-0.67%,"$236,366","$17,090,783",0.01,https://dexscreener.com/polygon/0x1a9221261dc445d773e66075b9e9e52f40e15ab1
polygon,MV,$0.004971,-5.19%,"$3,875","$65,111",0.06,https://dexscreener.com/polygon/0x690a87ed8972e451e755b8f2dc1fc2b28e3c6566
