=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Cronos,"$390,974,627",2.27%,5.53%,🚀 加速流入
Hyperliquid L1,"$1,455,815,725",1.66%,-1.34%,🟢 穩健增長
BSC,"$6,835,398,151",1.50%,4.81%,🚀 加速流入
Bitcoin,"$7,172,047,361",1.39%,6.60%,🚀 加速流入
Base,"$4,752,710,824",1.30%,6.99%,🚀 加速流入
Arbitrum,"$3,079,187,328",1.10%,8.51%,🟢 穩健增長
Sui,"$986,780,144",1.08%,6.95%,🚀 加速流入
Ethereum,"$73,221,496,059",0.95%,6.40%,🚀 加速流入
OP Mainnet,"$307,586,657",0.93%,4.57%,🚀 加速流入
Solana,"$8,760,665,974",0.87%,3.14%,🚀 加速流入
Avalanche,"$1,336,713,210",0.84%,4.48%,🚀 加速流入
Vaulta,"$388,092,594",0.55%,2.49%,🚀 加速流入
Mantle,"$337,180,183",0.33%,0.65%,🚀 加速流入
Tron,"$4,677,563,106",0.05%,6.62%,🟢 穩健增長
Aptos,"$441,875,293",-1.31%,0.54%,⚠️ 資金流出
Polygon,"$1,072,105,807",-2.57%,-8.05%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
cronos,VNO,$0.008541,2.96%,"$26,710","$294,083",0.09,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
cronos,FUL,$0.003263,2.45%,"$16,601","$280,078",0.06,https://dexscreener.com/cronos/0x6ae624714f221964aff3ab8d8276a7ec142a759f
cronos,FER,$0.000400,2.78%,"$12,587","$97,252",0.13,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,CROID,$0.011130,9.29%,"$10,176","$142,665",0.07,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,TONIC,$0.000000,4.40%,"$3,909","$301,733",0.01,https://dexscreener.com/cronos/0xa922530960a1f94828a7e132ec1ba95717ed1eab
bsc,BULLA,$0.039050,-42.56%,"$16,910,209","$1,014,369",16.67,https://dexscreener.com/bsc/0x48bc32f212d539b23e1459e57dc27724aea6677a
bsc,HAPPY-SCI,$0.001332,2093.00%,"$6,766,028","$147,435",45.89,https://dexscreener.com/bsc/0x9cf746e45a0cbfbc39c928b66953d086b942f7fa
bsc,BROCCOLI,$0.029100,52.75%,"$6,732,310","$2,549,867",2.64,https://dexscreener.com/bsc/0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b
bsc,ARK,$19.580000,-1.27%,"$4,282,490","$86,108,043",0.05,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
bsc,币安人生,$0.132500,2.54%,"$3,794,264","$3,869,347",0.98,https://dexscreener.com/bsc/0x66f289de31eef70d52186729d2637ac978cfc56b
base,CBBTC,$92650.980000,1.49%,"$47,260,302","$33,252,284",1.42,https://dexscreener.com/base/0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1
base,ZORA,$0.045320,6.57%,"$1,789,231","$536,969",3.33,https://dexscreener.com/base/0x3f53f1fd5b7723ddf38d93a584d280b9b94c3111
base,TOSHI,$0.000359,4.85%,"$787,019","$120,097",6.55,https://dexscreener.com/base/0x74e4c08bb50619b70550733d32b7e60424e9628e
base,TIBBIR,$0.217300,8.25%,"$704,660","$459,200",1.53,https://dexscreener.com/base/0x0f664affb82f074937d5cfcd61b97f3f32d5dc50
base,EDEL,$0.026700,60.57%,"$699,787","$1,473,250",0.47,https://dexscreener.com/base/0x566bee7ef7b39f29d150ab3be6b6242c17cc5a31
arbitrum,GNS,$1.160000,0.87%,"$209,023","$648,041",0.32,https://dexscreener.com/arbitrum/0x9b6ff025aee245d314c09f57b72f0de6e231c3a6
arbitrum,T,$0.003171,8.60%,"$14,336","$290,468",0.05,https://dexscreener.com/arbitrum/0xd971ff5a7530919ae67e06695710b262a72e8f2f
arbitrum,GMX,$8.100000,1.05%,"$12,708","$65,395",0.19,https://dexscreener.com/arbitrum/0xc99be44383bc8d82357f5a1d9ae9976ee9d75bee
arbitrum,EPENDLE,$1.240000,0.48%,"$7,868","$524,901",0.01,https://dexscreener.com/arbitrum/0x6ad17e1133af65a8e3a9074e72004faef1e2341e
arbitrum,MAGIC,$0.099410,0.28%,"$5,703","$50,011",0.11,https://dexscreener.com/arbitrum/0x1106db7165a8d4a8559b441ecdee14a5d5070dbc
sui,SCA,$0.042470,1.01%,"$223,852","$415,451",0.54,https://dexscreener.com/sui/0x9661cca01a5b9b3536883568fa967a2943e237de11a97976795f5adb293892e9
sui,HAEDAL,$0.044430,2.92%,"$112,433","$832,625",0.14,https://dexscreener.com/sui/0x711f5d37e3b09b026b182d9e0973d05e9a837d11066ff48f4a55a426d8913359
sui,BLUB,$0.000000,39.98%,"$43,917","$261,419",0.17,https://dexscreener.com/sui/0x40a372f9ee1989d76ceb8e50941b04468f8551d091fb8a5d7211522e42e60aaf
sui,DMC,$0.001380,-1.21%,"$24,362","$136,594",0.18,https://dexscreener.com/sui/0xa288810f820498f7c2bca41cfadea3e99bd152b3dbeb2c282bb4b9c909f71c6d
sui,USDB,$0.999700,0.00%,"$22,939","$1,086,745",0.02,https://dexscreener.com/sui/0x7a0abae43a864801894c29d72c387ce7681ba752dd331492b32c3c5e1672c973
ethereum,USDS,$0.999700,-0.02%,"$12,124,545","$99,975,939",0.12,https://dexscreener.com/ethereum/0xa632d59b9b804a956bfaa9b48af3a1b74808fc1f
ethereum,CBBTC,$92243.140000,0.55%,"$5,602,107","$215,403,764",0.03,https://dexscreener.com/ethereum/0x83f24023d15d835a213df24fd309c47dab5beb32
ethereum,YEE,$0.025910,15.90%,"$1,573,588","$1,155,568",1.36,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
ethereum,MANYU,$0.000000,18.30%,"$420,372","$871,311",0.48,https://dexscreener.com/ethereum/0xc4704f13d5e08b27b039d53873e813dd2fad99d9
ethereum,BEAR,$0.015740,-4.47%,"$371,844","$120,614",3.08,https://dexscreener.com/ethereum/0xf15b73e7f5edcfc0d91da289c21d9af89cf377ce
optimism,USD₮0,$0.999900,0.01%,"$30,521","$420,871",0.07,https://dexscreener.com/optimism/0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9
optimism,ALETH,$3063.820000,0.71%,"$27,193","$4,158,154",0.01,https://dexscreener.com/optimism/0xa1055762336f92b4b8d2edc032a0ce45ead6280a
optimism,ALUSD,$0.991600,-0.05%,"$25,906","$1,857,925",0.01,https://dexscreener.com/optimism/0x124d69daeda338b1b31ffc8e429e39c9a991164e
optimism,OVER,$0.278600,-1.30%,"$11,290","$984,220",0.01,https://dexscreener.com/optimism/0x1eaa860dca29a5124f665f7d80affed92e877681
optimism,MOOBIFI,$188.790000,0.11%,"$4,130","$345,367",0.01,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
solana,TRUMP,$5.510000,1.88%,"$93,741,851","$156,550,340",0.60,https://dexscreener.com/solana/9d9mb8kooffad3sctgztkxqypkshx6ezhbkio89ixyy2
solana,FARTCOIN ,$0.389100,12.46%,"$8,573,867","$12,840,407",0.67,https://dexscreener.com/solana/bzc9nzfmqkxr6fz1dbph7bdf9broyef6pnzesp7v5iiw
solana,PONKE,$0.053960,62.22%,"$5,264,023","$2,449,833",2.15,https://dexscreener.com/solana/5utwg3y3f5cx4ykodgtjwehdrx5hdkz5bzz72x8eq6ze
solana,MADURO,$0.000889,29.15%,"$2,702,319","$96,992",27.86,https://dexscreener.com/solana/2hepehcrsrazfmvykyyrrfgdoirppr2emnqaiyqydfbo
solana,USELESS,$0.113600,13.60%,"$2,476,589","$3,132,339",0.79,https://dexscreener.com/solana/q2sphpduwfmg7m7wwrqklrn619caucfrsmhvjffodsp
avalanche,JOE,$0.072650,8.34%,"$229,244","$810,240",0.28,https://dexscreener.com/avalanche/0x454e67025631c065d3cfad6d71e6892f74487a15
avalanche,COQ,$0.000000,14.49%,"$219,835","$969,127",0.23,https://dexscreener.com/avalanche/0x41ab86eecbd110a82ca602d032a461f453066f1e
avalanche,PNG,$0.035690,6.09%,"$146,212","$314,802",0.46,https://dexscreener.com/avalanche/0xd7538cabbf8605bde1f4901b47b8d42c61de0367
avalanche,ARENA,$0.002212,7.44%,"$92,204","$326,570",0.28,https://dexscreener.com/avalanche/0xa78c3e56afb8d34a536825e2497255e78b388619
avalanche,YAK,$200.960000,2.87%,"$2,130","$274,555",0.01,https://dexscreener.com/avalanche/0xb5c9e891af3063004a441ba4fab4ca3d6deb5626
tron,PEPE,$0.003480,-68.03%,"$752,275","$366,976",2.05,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,SUNDOG,$0.011510,17.02%,"$477,640","$1,001,952",0.48,https://dexscreener.com/tron/tdr7rpu33htog8qo9i676v56bzcjkpjqox
tron,OSP,$1.800000,6.76%,"$74,181","$3,619,222",0.02,https://dexscreener.com/tron/tsqxeoxd6qwhunblj9slq7p8wy59oabuf8
tron,ARES,$0.000053,12.07%,"$30,948","$54,246",0.57,https://dexscreener.com/tron/tmaypj9wnqwqzabn5mweh3qxpzge6gnixr
tron,SUNPEPE,$0.000068,2.97%,"$26,247","$53,784",0.49,https://dexscreener.com/tron/twqh9wcgtosnfguu8u8rigzd1ytjxfk9yu
polygon,AS,$1.250000,-0.51%,"$290,034","$17,108,632",0.02,https://dexscreener.com/polygon/0x1a9221261dc445d773e66075b9e9e52f40e15ab1
polygon,QUICK,$0.012220,3.55%,"$72,864","$187,716",0.39,https://dexscreener.com/polygon/0xde2d1fd2e8238aba80a5b80c7262e4833d92f624
polygon,MEE,$0.002100,6.80%,"$16,975","$154,521",0.11,https://dexscreener.com/polygon/0x57bbdd430b6525d2c97a3e3f9aa910f7c64e123d
polygon,MV,$0.005244,-0.30%,"$1,139","$66,862",0.02,https://dexscreener.com/polygon/0x690a87ed8972e451e755b8f2dc1fc2b28e3c6566
