=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Cronos,"$392,965,469",2.80%,6.07%,🚀 加速流入
Bitcoin,"$7,270,242,797",2.78%,8.06%,🚀 加速流入
BSC,"$6,893,041,631",2.35%,5.69%,🚀 加速流入
Ethereum,"$73,812,752,562",1.77%,7.26%,🚀 加速流入
Hyperliquid L1,"$1,453,281,815",1.48%,-1.51%,🟢 穩健增長
Arbitrum,"$3,088,167,272",1.40%,8.83%,🚀 加速流入
OP Mainnet,"$308,780,937",1.32%,4.98%,🚀 加速流入
Sui,"$988,939,240",1.30%,7.18%,🚀 加速流入
Base,"$4,743,785,894",1.09%,6.79%,🚀 加速流入
Solana,"$8,770,038,379",0.98%,3.25%,🚀 加速流入
Vaulta,"$389,402,345",0.89%,2.84%,🚀 加速流入
Tron,"$4,707,910,022",0.70%,7.31%,🟢 穩健增長
Mantle,"$338,335,784",0.68%,1.00%,🚀 加速流入
Aptos,"$448,208,494",0.10%,1.98%,🟢 穩健增長
Avalanche,"$1,326,507,669",0.07%,3.68%,🟢 穩健增長
Polygon,"$1,062,550,567",-3.44%,-8.87%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
cronos,VNO,$0.008533,1.22%,"$41,790","$294,852",0.14,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
cronos,FUL,$0.003346,4.12%,"$31,653","$285,430",0.11,https://dexscreener.com/cronos/0x6ae624714f221964aff3ab8d8276a7ec142a759f
cronos,CROID,$0.011040,3.54%,"$7,844","$141,005",0.06,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,FER,$0.000397,3.36%,"$7,474","$96,892",0.08,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,TONIC,$0.000000,6.43%,"$3,906","$305,909",0.01,https://dexscreener.com/cronos/0xa922530960a1f94828a7e132ec1ba95717ed1eab
bsc,BULLA,$0.043440,-1.87%,"$13,582,218","$1,093,976",12.42,https://dexscreener.com/bsc/0x48bc32f212d539b23e1459e57dc27724aea6677a
bsc,BROCCOLI,$0.026650,-11.43%,"$4,522,578","$2,460,583",1.84,https://dexscreener.com/bsc/0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b
bsc,ARK,$19.520000,-0.81%,"$4,383,772","$85,993,585",0.05,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
bsc,PIZZA6900,$0.000654,498.00%,"$3,250,967","$101,115",32.15,https://dexscreener.com/bsc/0x30b81118499e89c212d3cffa6c2ada7e2869f71f
bsc,币安人生,$0.126600,-10.75%,"$3,178,393","$3,790,171",0.84,https://dexscreener.com/bsc/0x66f289de31eef70d52186729d2637ac978cfc56b
ethereum,CBBTC,$93977.800000,2.16%,"$7,363,105","$217,275,532",0.03,https://dexscreener.com/ethereum/0x83f24023d15d835a213df24fd309c47dab5beb32
ethereum,PEPE,$0.000007,-4.01%,"$6,450,896","$41,891,698",0.15,https://dexscreener.com/ethereum/0xa43fe16908251ee70ef74718545e4fe6c5ccec9f
ethereum,SUSDE,$1.210000,0.07%,"$2,424,336","$91,716,253",0.03,https://dexscreener.com/ethereum/0x744793b5110f6ca9cc7cdfe1ce16677c3eb192ef
ethereum,YEE,$0.029370,16.15%,"$1,680,571","$1,230,762",1.37,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
ethereum,NPC,$0.013180,7.65%,"$616,403","$4,142,730",0.15,https://dexscreener.com/ethereum/0x69c7bd26512f52bf6f76fab834140d13dda673ca
arbitrum,GNS,$1.150000,-0.56%,"$256,846","$642,399",0.40,https://dexscreener.com/arbitrum/0x9b6ff025aee245d314c09f57b72f0de6e231c3a6
arbitrum,T,$0.002893,2.81%,"$19,468","$277,415",0.07,https://dexscreener.com/arbitrum/0xd971ff5a7530919ae67e06695710b262a72e8f2f
arbitrum,PEAR,$0.029710,1.68%,"$6,015","$999,698",0.01,https://dexscreener.com/arbitrum/0x299c7d6f2ef82cb52b2ab83b14f05c6b2b803aba
arbitrum,ADOGE,$0.000000,3.24%,$661,"$126,672",0.01,https://dexscreener.com/arbitrum/0x11eecdbd8f2d670016d061e4c064072e6158ede2
arbitrum,KUDAI,$0.000004,3.19%,$297,"$152,613",0.00,https://dexscreener.com/arbitrum/0xd65d8f09e9236e4d4c7833926168a3c092425a6f
optimism,USD₮0,$0.999800,-0.02%,"$58,077","$424,742",0.14,https://dexscreener.com/optimism/0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9
optimism,ALUSD,$0.993000,0.05%,"$45,581","$1,859,964",0.02,https://dexscreener.com/optimism/0x124d69daeda338b1b31ffc8e429e39c9a991164e
optimism,OVER,$0.278200,-1.35%,"$14,131","$985,962",0.01,https://dexscreener.com/optimism/0x1eaa860dca29a5124f665f7d80affed92e877681
optimism,MOOBIFI,$190.084000,1.16%,"$3,892","$347,868",0.01,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,TAROT,$0.051870,1.33%,"$2,962","$451,414",0.01,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
sui,USDB,$1.000012,0.02%,"$491,337","$1,086,989",0.45,https://dexscreener.com/sui/0x7a0abae43a864801894c29d72c387ce7681ba752dd331492b32c3c5e1672c973
sui,SCA,$0.042890,1.70%,"$258,645","$419,274",0.62,https://dexscreener.com/sui/0x9661cca01a5b9b3536883568fa967a2943e237de11a97976795f5adb293892e9
sui,NAVX,$0.018960,2.11%,"$106,928","$336,387",0.32,https://dexscreener.com/sui/0x0254747f5ca059a1972cd7f6016485d51392a3fde608107b93bbaebea550f703
sui,IKA,$0.007646,-0.62%,"$67,822","$120,030",0.57,https://dexscreener.com/sui/0xc23e7e8a74f0b18af4dfb7c3280e2a56916ec4d41e14416f85184a8aab6b7789
sui,BLUB,$0.000000,17.55%,"$53,285","$244,729",0.22,https://dexscreener.com/sui/0x40a372f9ee1989d76ceb8e50941b04468f8551d091fb8a5d7211522e42e60aaf
base,CBBTC,$93445.900000,2.28%,"$62,490,313","$23,127,863",2.70,https://dexscreener.com/base/0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1
base,ZORA,$0.044270,1.28%,"$1,919,052","$520,132",3.69,https://dexscreener.com/base/0x3f53f1fd5b7723ddf38d93a584d280b9b94c3111
base,KTA,$0.259500,11.42%,"$1,412,837","$8,866,549",0.16,https://dexscreener.com/base/0xd9edc75a3a797ec92ca370f19051babebfb2edee
base,EDEL,$0.031070,96.03%,"$1,002,657","$1,577,780",0.64,https://dexscreener.com/base/0x566bee7ef7b39f29d150ab3be6b6242c17cc5a31
base,TIBBIR,$0.212600,2.92%,"$656,422","$440,571",1.49,https://dexscreener.com/base/0x0f664affb82f074937d5cfcd61b97f3f32d5dc50
solana,TRUMP,$5.480000,1.00%,"$96,103,550","$156,110,828",0.62,https://dexscreener.com/solana/9d9mb8kooffad3sctgztkxqypkshx6ezhbkio89ixyy2
solana,JLP,$4.730000,0.24%,"$9,473,662","$2,795,179",3.39,https://dexscreener.com/solana/6nuivmsnjsi4afsmseiaezsav9n4n1zrd4jenuwnrvyb
solana,PONKE,$0.061060,2.71%,"$4,339,054","$2,599,792",1.67,https://dexscreener.com/solana/5utwg3y3f5cx4ykodgtjwehdrx5hdkz5bzz72x8eq6ze
solana,KMNO,$0.059970,-1.66%,"$3,527,746","$2,922,195",1.21,https://dexscreener.com/solana/3ndjn1njvukgrjbc1hhvper6kwtzkhdydrpycjyx3cxk
solana,RALPH,$0.000742,1005.00%,"$2,211,125","$77,612",28.49,https://dexscreener.com/solana/dbyk8geixwneh2zfw2lo1svuq1wkhaeqyndsrakq6bhf
tron,PEPE,$0.006354,-38.97%,"$1,248,194","$496,181",2.52,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,SUNDOG,$0.012250,-1.85%,"$345,921","$1,030,612",0.34,https://dexscreener.com/tron/tdr7rpu33htog8qo9i676v56bzcjkpjqox
tron,OSP,$1.940000,7.85%,"$90,138","$3,893,336",0.02,https://dexscreener.com/tron/tsqxeoxd6qwhunblj9slq7p8wy59oabuf8
tron,SUN,$0.020070,-0.07%,"$69,584","$16,772,740",0.00,https://dexscreener.com/tron/thu6conqvz3phyhentdyw9ae3pgypwbsp6
tron,ARES,$0.000053,-8.00%,"$27,970","$53,830",0.52,https://dexscreener.com/tron/tmaypj9wnqwqzabn5mweh3qxpzge6gnixr
avalanche,AUSD,$1.000400,0.01%,"$10,970,850","$2,243,438",4.89,https://dexscreener.com/avalanche/0xcec377285abf370fdf872625d2742252656d631a
avalanche,COQ,$0.000000,5.94%,"$220,767","$944,044",0.23,https://dexscreener.com/avalanche/0x41ab86eecbd110a82ca602d032a461f453066f1e
avalanche,PNG,$0.035520,2.17%,"$183,556","$310,254",0.59,https://dexscreener.com/avalanche/0xd7538cabbf8605bde1f4901b47b8d42c61de0367
avalanche,ARENA,$0.002157,0.02%,"$74,718","$318,411",0.23,https://dexscreener.com/avalanche/0xa78c3e56afb8d34a536825e2497255e78b388619
avalanche,JOE,$0.070710,-1.73%,"$65,908","$780,037",0.08,https://dexscreener.com/avalanche/0x454e67025631c065d3cfad6d71e6892f74487a15
polygon,AS,$1.240000,-0.62%,"$229,143","$17,089,790",0.01,https://dexscreener.com/polygon/0x1a9221261dc445d773e66075b9e9e52f40e15ab1
polygon,QUICK,$0.012300,2.00%,"$75,813","$188,743",0.40,https://dexscreener.com/polygon/0xde2d1fd2e8238aba80a5b80c7262e4833d92f624
polygon,VOXEL,$0.012840,-0.56%,"$20,850","$245,632",0.08,https://dexscreener.com/polygon/0xf4ad214434071923dec64375961f2555947d789c
polygon,MV,$0.004951,-5.59%,"$3,937","$64,976",0.06,https://dexscreener.com/polygon/0x690a87ed8972e451e755b8f2dc1fc2b28e3c6566
