=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Cronos,"$392,732,161",2.73%,6.00%,🚀 加速流入
Bitcoin,"$7,242,514,739",2.39%,7.65%,🚀 加速流入
BSC,"$6,889,504,148",2.30%,5.64%,🚀 加速流入
Base,"$4,780,702,080",1.88%,7.62%,🚀 加速流入
Ethereum,"$73,812,752,562",1.77%,7.26%,🚀 加速流入
OP Mainnet,"$309,929,626",1.70%,5.37%,🚀 加速流入
Sui,"$992,054,771",1.62%,7.52%,🚀 加速流入
Arbitrum,"$3,088,167,272",1.40%,8.83%,🚀 加速流入
Hyperliquid L1,"$1,451,242,890",1.34%,-1.65%,🟢 穩健增長
Vaulta,"$390,875,046",1.27%,3.23%,🚀 加速流入
Solana,"$8,782,480,890",1.12%,3.40%,🚀 加速流入
Tron,"$4,707,910,022",0.70%,7.31%,🟢 穩健增長
Mantle,"$338,335,784",0.68%,1.00%,🚀 加速流入
Avalanche,"$1,332,702,047",0.54%,4.16%,🟢 穩健增長
Aptos,"$448,518,302",0.17%,2.06%,🟢 穩健增長
Polygon,"$1,062,550,567",-3.44%,-8.87%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
cronos,VNO,$0.008510,0.95%,"$42,211","$294,446",0.14,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
cronos,FUL,$0.003346,4.12%,"$31,653","$285,430",0.11,https://dexscreener.com/cronos/0x6ae624714f221964aff3ab8d8276a7ec142a759f
cronos,CROID,$0.011040,3.15%,"$7,842","$141,005",0.06,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,FER,$0.000397,3.36%,"$7,474","$96,892",0.08,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,TONIC,$0.000000,6.43%,"$3,906","$305,909",0.01,https://dexscreener.com/cronos/0xa922530960a1f94828a7e132ec1ba95717ed1eab
bsc,BULLA,$0.043900,4.25%,"$13,249,564","$1,102,261",12.02,https://dexscreener.com/bsc/0x48bc32f212d539b23e1459e57dc27724aea6677a
bsc,ARK,$19.520000,-0.80%,"$4,404,741","$85,988,140",0.05,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
bsc,BROCCOLI,$0.026580,-12.50%,"$4,198,226","$2,457,772",1.71,https://dexscreener.com/bsc/0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b
bsc,PIZZA6900,$0.000358,227.00%,"$3,523,394","$75,567",46.63,https://dexscreener.com/bsc/0x30b81118499e89c212d3cffa6c2ada7e2869f71f
bsc,币安人生,$0.127700,-10.55%,"$3,181,582","$3,813,739",0.83,https://dexscreener.com/bsc/0x66f289de31eef70d52186729d2637ac978cfc56b
