=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Cronos,"$391,029,855",2.29%,5.55%,🚀 加速流入
Hyperliquid L1,"$1,458,688,009",1.86%,-1.15%,🟢 穩健增長
BSC,"$6,847,145,968",1.67%,4.99%,🚀 加速流入
Sui,"$989,848,570",1.39%,7.28%,🚀 加速流入
Bitcoin,"$7,171,389,975",1.38%,6.59%,🚀 加速流入
Base,"$4,756,283,894",1.38%,7.07%,🚀 加速流入
Arbitrum,"$3,082,135,157",1.20%,8.62%,🟢 穩健增長
Ethereum,"$73,328,191,083",1.10%,6.56%,🚀 加速流入
OP Mainnet,"$307,583,245",0.93%,4.57%,🚀 加速流入
Solana,"$8,762,703,569",0.89%,3.17%,🚀 加速流入
Avalanche,"$1,336,082,638",0.79%,4.43%,🚀 加速流入
Vaulta,"$388,246,602",0.59%,2.53%,🚀 加速流入
Mantle,"$337,614,491",0.46%,0.78%,🚀 加速流入
Tron,"$4,680,738,786",0.12%,6.69%,🟢 穩健增長
Aptos,"$441,369,044",-1.43%,0.43%,⚠️ 資金流出
Polygon,"$1,072,066,038",-2.58%,-8.06%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
cronos,VNO,$0.008455,1.35%,"$30,148","$291,772",0.10,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
cronos,FUL,$0.003272,2.28%,"$19,130","$279,643",0.07,https://dexscreener.com/cronos/0x6ae624714f221964aff3ab8d8276a7ec142a759f
cronos,CROID,$0.011060,8.05%,"$10,014","$141,725",0.07,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,FER,$0.000400,3.10%,"$9,714","$97,252",0.10,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,TONIC,$0.000000,3.87%,"$4,035","$300,619",0.01,https://dexscreener.com/cronos/0xa922530960a1f94828a7e132ec1ba95717ed1eab
bsc,BULLA,$0.038420,-41.41%,"$16,573,456","$1,003,036",16.52,https://dexscreener.com/bsc/0x48bc32f212d539b23e1459e57dc27724aea6677a
bsc,BROCCOLI,$0.029460,51.98%,"$6,833,517","$2,566,637",2.66,https://dexscreener.com/bsc/0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b
bsc,HAPPY-SCI,$0.001293,115.00%,"$4,572,362","$145,571",31.41,https://dexscreener.com/bsc/0x9cf746e45a0cbfbc39c928b66953d086b942f7fa
bsc,ARK,$19.630000,-1.13%,"$4,344,521","$86,232,278",0.05,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
bsc,币安人生,$0.128600,-2.01%,"$3,753,570","$3,815,061",0.98,https://dexscreener.com/bsc/0x66f289de31eef70d52186729d2637ac978cfc56b
sui,SCA,$0.042500,0.99%,"$224,559","$415,046",0.54,https://dexscreener.com/sui/0x9661cca01a5b9b3536883568fa967a2943e237de11a97976795f5adb293892e9
sui,HAEDAL,$0.044320,1.74%,"$113,559","$831,595",0.14,https://dexscreener.com/sui/0x711f5d37e3b09b026b182d9e0973d05e9a837d11066ff48f4a55a426d8913359
sui,NAVX,$0.019280,6.71%,"$87,418","$338,735",0.26,https://dexscreener.com/sui/0x0254747f5ca059a1972cd7f6016485d51392a3fde608107b93bbaebea550f703
sui,BLUB,$0.000000,25.72%,"$47,257","$249,409",0.19,https://dexscreener.com/sui/0x40a372f9ee1989d76ceb8e50941b04468f8551d091fb8a5d7211522e42e60aaf
sui,DMC,$0.001369,-1.84%,"$24,485","$135,661",0.18,https://dexscreener.com/sui/0xa288810f820498f7c2bca41cfadea3e99bd152b3dbeb2c282bb4b9c909f71c6d
base,CBBTC,$92791.740000,1.33%,"$48,236,866","$22,669,707",2.13,https://dexscreener.com/base/0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1
base,ZORA,$0.044480,2.86%,"$1,800,769","$556,308",3.24,https://dexscreener.com/base/0x3f53f1fd5b7723ddf38d93a584d280b9b94c3111
base,EDEL,$0.024900,49.37%,"$739,011","$1,424,295",0.52,https://dexscreener.com/base/0x566bee7ef7b39f29d150ab3be6b6242c17cc5a31
base,TOSHI,$0.000352,-0.37%,"$738,465","$118,335",6.24,https://dexscreener.com/base/0x74e4c08bb50619b70550733d32b7e60424e9628e
base,TIBBIR,$0.214700,7.21%,"$711,173","$459,135",1.55,https://dexscreener.com/base/0x0f664affb82f074937d5cfcd61b97f3f32d5dc50
arbitrum,GNS,$1.160000,0.18%,"$223,838","$647,056",0.35,https://dexscreener.com/arbitrum/0x9b6ff025aee245d314c09f57b72f0de6e231c3a6
arbitrum,T,$0.003171,8.60%,"$14,336","$290,468",0.05,https://dexscreener.com/arbitrum/0xd971ff5a7530919ae67e06695710b262a72e8f2f
arbitrum,GMX,$8.042000,-0.44%,"$13,106","$64,954",0.20,https://dexscreener.com/arbitrum/0xc99be44383bc8d82357f5a1d9ae9976ee9d75bee
arbitrum,WINR,$0.001968,2.18%,"$5,342","$274,732",0.02,https://dexscreener.com/arbitrum/0xc35aa1cec34e02a8acc3e5f79c22be364823094c
arbitrum,PEAR,$0.029370,0.55%,"$2,146","$993,916",0.00,https://dexscreener.com/arbitrum/0x299c7d6f2ef82cb52b2ab83b14f05c6b2b803aba
ethereum,USDS,$0.999100,-0.07%,"$14,642,207","$99,922,237",0.15,https://dexscreener.com/ethereum/0xa632d59b9b804a956bfaa9b48af3a1b74808fc1f
ethereum,PEPE,$0.000007,-2.49%,"$7,410,671","$41,714,347",0.18,https://dexscreener.com/ethereum/0xa43fe16908251ee70ef74718545e4fe6c5ccec9f
ethereum,CBBTC,$92243.140000,0.55%,"$5,602,107","$215,403,764",0.03,https://dexscreener.com/ethereum/0x83f24023d15d835a213df24fd309c47dab5beb32
ethereum,YEE,$0.026320,15.66%,"$1,575,427","$1,166,354",1.35,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
ethereum,MANYU,$0.000000,16.18%,"$415,401","$877,586",0.47,https://dexscreener.com/ethereum/0xc4704f13d5e08b27b039d53873e813dd2fad99d9
optimism,ALETH,$3064.002400,0.69%,"$28,318","$4,158,508",0.01,https://dexscreener.com/optimism/0xa1055762336f92b4b8d2edc032a0ce45ead6280a
optimism,ALUSD,$0.993100,0.14%,"$27,002","$1,860,075",0.01,https://dexscreener.com/optimism/0x124d69daeda338b1b31ffc8e429e39c9a991164e
optimism,OVER,$0.279500,-0.91%,"$11,254","$987,295",0.01,https://dexscreener.com/optimism/0x1eaa860dca29a5124f665f7d80affed92e877681
optimism,MOOBIFI,$188.970000,0.23%,"$3,880","$345,696",0.01,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,TAROT,$0.051770,1.28%,"$2,844","$450,993",0.01,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
solana,FARTCOIN ,$0.393000,7.94%,"$8,566,160","$12,902,671",0.66,https://dexscreener.com/solana/bzc9nzfmqkxr6fz1dbph7bdf9broyef6pnzesp7v5iiw
solana,PONKE,$0.063330,88.06%,"$5,754,572","$2,654,465",2.17,https://dexscreener.com/solana/5utwg3y3f5cx4ykodgtjwehdrx5hdkz5bzz72x8eq6ze
solana,MADURO,$0.001034,92.68%,"$2,655,540","$104,467",25.42,https://dexscreener.com/solana/2hepehcrsrazfmvykyyrrfgdoirppr2emnqaiyqydfbo
solana,USELESS,$0.115000,9.50%,"$2,415,813","$3,150,186",0.77,https://dexscreener.com/solana/q2sphpduwfmg7m7wwrqklrn619caucfrsmhvjffodsp
solana,KASH,$0.000119,96.51%,"$2,399,357","$37,186",64.52,https://dexscreener.com/solana/xywwfyn3ckul1tewal7unet62c1wyrwihwryzpeepmy
avalanche,JOE,$0.071530,6.07%,"$237,860","$792,803",0.30,https://dexscreener.com/avalanche/0x454e67025631c065d3cfad6d71e6892f74487a15
avalanche,COQ,$0.000000,13.36%,"$222,537","$970,074",0.23,https://dexscreener.com/avalanche/0x41ab86eecbd110a82ca602d032a461f453066f1e
avalanche,PNG,$0.036120,7.28%,"$157,742","$315,927",0.50,https://dexscreener.com/avalanche/0xd7538cabbf8605bde1f4901b47b8d42c61de0367
avalanche,YAK,$198.640000,1.32%,"$2,343","$271,736",0.01,https://dexscreener.com/avalanche/0xb5c9e891af3063004a441ba4fab4ca3d6deb5626
avalanche,KIMBO,$0.000007,2.54%,"$2,028","$110,192",0.02,https://dexscreener.com/avalanche/0x03a5888726667fff1e753fc06b51dd1245e7371a
tron,PEPE,$0.005901,-44.57%,"$945,454","$476,843",1.98,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,SUNDOG,$0.011910,17.91%,"$489,123","$1,015,197",0.48,https://dexscreener.com/tron/tdr7rpu33htog8qo9i676v56bzcjkpjqox
tron,SUN,$0.019940,0.42%,"$82,902","$16,708,491",0.00,https://dexscreener.com/tron/thu6conqvz3phyhentdyw9ae3pgypwbsp6
tron,OSP,$1.840000,6.82%,"$68,577","$3,680,446",0.02,https://dexscreener.com/tron/tsqxeoxd6qwhunblj9slq7p8wy59oabuf8
tron,ARES,$0.000053,12.07%,"$30,948","$54,246",0.57,https://dexscreener.com/tron/tmaypj9wnqwqzabn5mweh3qxpzge6gnixr
polygon,AS,$1.250000,-0.41%,"$296,141","$17,108,572",0.02,https://dexscreener.com/polygon/0x1a9221261dc445d773e66075b9e9e52f40e15ab1
polygon,QUICK,$0.012220,3.34%,"$74,054","$187,893",0.39,https://dexscreener.com/polygon/0xde2d1fd2e8238aba80a5b80c7262e4833d92f624
polygon,MV,$0.005322,2.85%,"$2,039","$67,361",0.03,https://dexscreener.com/polygon/0x690a87ed8972e451e755b8f2dc1fc2b28e3c6566
