=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Bitcoin,"$7,292,073,881",3.09%,8.38%,🔥 資金暴衝
Cronos,"$393,404,246",2.91%,6.19%,🚀 加速流入
BSC,"$6,892,951,569",2.35%,5.69%,🚀 加速流入
Base,"$4,797,339,095",2.23%,7.99%,🚀 加速流入
Ethereum,"$73,982,129,434",2.00%,7.51%,🚀 加速流入
OP Mainnet,"$310,185,886",1.79%,5.46%,🚀 加速流入
Arbitrum,"$3,091,409,404",1.50%,8.94%,🚀 加速流入
Sui,"$989,457,442",1.35%,7.24%,🚀 加速流入
Hyperliquid L1,"$1,451,155,439",1.33%,-1.66%,🟢 穩健增長
Vaulta,"$390,880,743",1.27%,3.23%,🚀 加速流入
Solana,"$8,782,362,333",1.12%,3.40%,🚀 加速流入
Mantle,"$338,609,086",0.76%,1.08%,🚀 加速流入
Aptos,"$450,653,418",0.65%,2.54%,🚀 加速流入
Tron,"$4,704,096,927",0.62%,7.23%,🟢 穩健增長
Avalanche,"$1,333,712,940",0.61%,4.24%,🚀 加速流入
Polygon,"$1,061,876,429",-3.50%,-8.93%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
cronos,VNO,$0.008518,1.04%,"$43,001","$295,695",0.15,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
cronos,FUL,$0.003346,4.39%,"$31,591","$285,430",0.11,https://dexscreener.com/cronos/0x6ae624714f221964aff3ab8d8276a7ec142a759f
cronos,CROID,$0.011040,4.24%,"$7,542","$141,005",0.05,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,FER,$0.000397,3.54%,"$7,337","$96,892",0.08,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,TONIC,$0.000000,6.57%,"$3,914","$306,281",0.01,https://dexscreener.com/cronos/0xa922530960a1f94828a7e132ec1ba95717ed1eab
bsc,ARK,$19.480000,-0.95%,"$4,443,984","$85,906,335",0.05,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
bsc,PIZZA6900,$0.000220,102.00%,"$4,125,387","$60,533",68.15,https://dexscreener.com/bsc/0x30b81118499e89c212d3cffa6c2ada7e2869f71f
bsc,BROCCOLI,$0.027370,-8.82%,"$3,793,067","$2,496,895",1.52,https://dexscreener.com/bsc/0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b
bsc,币安人生,$0.129500,-8.27%,"$3,166,750","$3,841,413",0.82,https://dexscreener.com/bsc/0x66f289de31eef70d52186729d2637ac978cfc56b
bsc,HAPPY-SCI,$0.000723,-1.54%,"$1,940,592","$110,457",17.57,https://dexscreener.com/bsc/0x9cf746e45a0cbfbc39c928b66953d086b942f7fa
base,CBBTC,$93973.630000,3.07%,"$71,906,759","$22,588,165",3.18,https://dexscreener.com/base/0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1
base,ZORA,$0.044710,3.60%,"$1,857,144","$595,162",3.12,https://dexscreener.com/base/0x3f53f1fd5b7723ddf38d93a584d280b9b94c3111
base,KTA,$0.257300,9.87%,"$1,425,718","$8,878,267",0.16,https://dexscreener.com/base/0xd9edc75a3a797ec92ca370f19051babebfb2edee
base,EDEL,$0.033620,110.00%,"$1,071,914","$1,649,305",0.65,https://dexscreener.com/base/0x566bee7ef7b39f29d150ab3be6b6242c17cc5a31
base,RUSSELL,$0.008932,72.95%,"$802,605","$776,585",1.03,https://dexscreener.com/base/0xea8b7ed6170e0ea3703dde6b496b065a8ececd7b
ethereum,CBBTC,$94211.970000,2.41%,"$9,030,891","$217,491,161",0.04,https://dexscreener.com/ethereum/0x83f24023d15d835a213df24fd309c47dab5beb32
ethereum,PEPE,$0.000007,-1.79%,"$6,278,891","$42,246,736",0.15,https://dexscreener.com/ethereum/0xa43fe16908251ee70ef74718545e4fe6c5ccec9f
ethereum,SUSDE,$1.210000,0.05%,"$2,488,700","$91,704,772",0.03,https://dexscreener.com/ethereum/0x744793b5110f6ca9cc7cdfe1ce16677c3eb192ef
ethereum,SPX,$0.637400,-2.75%,"$1,991,939","$15,472,923",0.13,https://dexscreener.com/ethereum/0x52c77b0cb827afbad022e6d6caf2c44452edbc39
ethereum,YEE,$0.029890,12.13%,"$1,626,196","$1,248,627",1.30,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
optimism,USD₮0,$0.999400,-0.02%,"$62,603","$424,617",0.15,https://dexscreener.com/optimism/0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9
optimism,ALUSD,$0.993400,0.19%,"$51,339","$1,860,351",0.03,https://dexscreener.com/optimism/0x124d69daeda338b1b31ffc8e429e39c9a991164e
optimism,OVER,$0.279300,-0.93%,"$16,205","$992,672",0.02,https://dexscreener.com/optimism/0x1eaa860dca29a5124f665f7d80affed92e877681
optimism,MOOBIFI,$189.550000,0.97%,"$5,975","$348,207",0.02,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,TAROT,$0.052260,2.09%,"$3,813","$453,098",0.01,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
arbitrum,PENDLE,$2.280000,3.78%,"$430,724","$437,149",0.99,https://dexscreener.com/arbitrum/0xe461f84c3fe6bcdd1162eb0ef4284f3bb6e4cad3
arbitrum,GNS,$1.150000,0.33%,"$279,375","$646,870",0.43,https://dexscreener.com/arbitrum/0x9b6ff025aee245d314c09f57b72f0de6e231c3a6
arbitrum,T,$0.002893,2.81%,"$19,468","$277,415",0.07,https://dexscreener.com/arbitrum/0xd971ff5a7530919ae67e06695710b262a72e8f2f
arbitrum,GMX,$8.240000,1.45%,"$11,726","$66,468",0.18,https://dexscreener.com/arbitrum/0xc99be44383bc8d82357f5a1d9ae9976ee9d75bee
arbitrum,PEAR,$0.029730,1.73%,"$6,193","$999,901",0.01,https://dexscreener.com/arbitrum/0x299c7d6f2ef82cb52b2ab83b14f05c6b2b803aba
sui,US,$0.006660,3.49%,"$409,211","$648,532",0.63,https://dexscreener.com/sui/0x968f1f73b8e766e2ce0198c807d0c956aa384bfe64c98a18e56bfb970a13e7bb
sui,SCA,$0.043160,2.04%,"$257,579","$427,809",0.60,https://dexscreener.com/sui/0x9661cca01a5b9b3536883568fa967a2943e237de11a97976795f5adb293892e9
sui,NAVX,$0.019260,5.16%,"$106,263","$344,314",0.31,https://dexscreener.com/sui/0x0254747f5ca059a1972cd7f6016485d51392a3fde608107b93bbaebea550f703
sui,PANS,$0.000311,-15.45%,"$53,672","$98,862",0.54,https://dexscreener.com/sui/0x155b01dc5dbf6eb319ee5df50d201ae49fdc7a0a074acfe4fe1201acbf181a56
sui,BLUB,$0.000000,-1.53%,"$39,965","$252,184",0.16,https://dexscreener.com/sui/0x40a372f9ee1989d76ceb8e50941b04468f8551d091fb8a5d7211522e42e60aaf
solana,TRUMP,$5.550000,3.02%,"$95,955,963","$157,334,166",0.61,https://dexscreener.com/solana/9d9mb8kooffad3sctgztkxqypkshx6ezhbkio89ixyy2
solana,JLP,$4.770000,1.65%,"$9,999,394","$2,809,239",3.56,https://dexscreener.com/solana/6nuivmsnjsi4afsmseiaezsav9n4n1zrd4jenuwnrvyb
solana,PONKE,$0.063340,7.22%,"$4,302,189","$2,669,962",1.61,https://dexscreener.com/solana/5utwg3y3f5cx4ykodgtjwehdrx5hdkz5bzz72x8eq6ze
solana,KASH,$0.002089,242.00%,"$4,279,029","$163,317",26.20,https://dexscreener.com/solana/xywwfyn3ckul1tewal7unet62c1wyrwihwryzpeepmy
solana,KMNO,$0.060710,0.63%,"$3,575,205","$2,945,240",1.21,https://dexscreener.com/solana/3ndjn1njvukgrjbc1hhvper6kwtzkhdydrpycjyx3cxk
tron,PEPE,$0.005992,-42.42%,"$1,275,373","$481,751",2.65,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,SUNDOG,$0.012290,0.72%,"$336,623","$1,031,868",0.33,https://dexscreener.com/tron/tdr7rpu33htog8qo9i676v56bzcjkpjqox
tron,OSP,$1.940000,7.85%,"$90,138","$3,893,336",0.02,https://dexscreener.com/tron/tsqxeoxd6qwhunblj9slq7p8wy59oabuf8
tron,SUN,$0.020070,-0.07%,"$69,584","$16,772,740",0.00,https://dexscreener.com/tron/thu6conqvz3phyhentdyw9ae3pgypwbsp6
tron,SUNPEPE,$0.000065,-1.40%,"$26,649","$52,665",0.51,https://dexscreener.com/tron/twqh9wcgtosnfguu8u8rigzd1ytjxfk9yu
