=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Bitcoin,"$7,294,934,752",3.13%,8.43%,🔥 資金暴衝
Cronos,"$393,432,792",2.92%,6.19%,🚀 加速流入
BSC,"$6,892,951,569",2.35%,5.69%,🚀 加速流入
Ethereum,"$74,137,677,874",2.22%,7.73%,🚀 加速流入
Base,"$4,795,501,406",2.19%,7.95%,🚀 加速流入
OP Mainnet,"$310,401,669",1.86%,5.53%,🚀 加速流入
Arbitrum,"$3,095,156,553",1.63%,9.07%,🚀 加速流入
Sui,"$990,983,243",1.51%,7.41%,🚀 加速流入
Hyperliquid L1,"$1,452,041,621",1.39%,-1.60%,🟢 穩健增長
Solana,"$8,800,724,631",1.33%,3.62%,🚀 加速流入
Vaulta,"$390,881,348",1.27%,3.23%,🚀 加速流入
Aptos,"$452,771,766",1.12%,3.02%,🚀 加速流入
Avalanche,"$1,337,536,252",0.90%,4.54%,🚀 加速流入
Tron,"$4,715,359,011",0.86%,7.48%,🟢 穩健增長
Mantle,"$338,465,159",0.72%,1.03%,🚀 加速流入
Polygon,"$1,062,280,398",-3.46%,-8.90%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
cronos,VNO,$0.008550,1.42%,"$43,666","$297,413",0.15,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
cronos,FUL,$0.003346,4.88%,"$31,551","$285,430",0.11,https://dexscreener.com/cronos/0x6ae624714f221964aff3ab8d8276a7ec142a759f
cronos,CROID,$0.011230,5.74%,"$7,539","$143,521",0.05,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,FER,$0.000406,6.08%,"$7,244","$99,185",0.07,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,TONIC,$0.000000,6.17%,"$3,849","$306,281",0.01,https://dexscreener.com/cronos/0xa922530960a1f94828a7e132ec1ba95717ed1eab
bsc,ARK,$19.480000,-0.95%,"$4,443,453","$85,898,966",0.05,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
bsc,PIZZA6900,$0.000267,144.00%,"$4,267,813","$67,155",63.55,https://dexscreener.com/bsc/0x30b81118499e89c212d3cffa6c2ada7e2869f71f
bsc,BROCCOLI,$0.027090,-10.05%,"$3,431,663","$2,488,578",1.38,https://dexscreener.com/bsc/0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b
bsc,币安人生,$0.130100,-7.40%,"$3,142,791","$3,856,099",0.82,https://dexscreener.com/bsc/0x66f289de31eef70d52186729d2637ac978cfc56b
bsc,HAPPY-SCI,$0.000803,-8.24%,"$1,917,452","$116,616",16.44,https://dexscreener.com/bsc/0x9cf746e45a0cbfbc39c928b66953d086b942f7fa
ethereum,CBBTC,$94439.800000,2.66%,"$9,130,824","$217,741,179",0.04,https://dexscreener.com/ethereum/0x83f24023d15d835a213df24fd309c47dab5beb32
ethereum,PEPE,$0.000007,0.38%,"$5,817,541","$42,474,725",0.14,https://dexscreener.com/ethereum/0xa43fe16908251ee70ef74718545e4fe6c5ccec9f
ethereum,SUSDE,$1.210000,0.07%,"$2,516,397","$91,708,960",0.03,https://dexscreener.com/ethereum/0x744793b5110f6ca9cc7cdfe1ce16677c3eb192ef
ethereum,SPX,$0.641300,0.27%,"$1,905,557","$15,583,662",0.12,https://dexscreener.com/ethereum/0x52c77b0cb827afbad022e6d6caf2c44452edbc39
ethereum,YEE,$0.028880,10.50%,"$1,655,141","$1,232,525",1.34,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
base,CBBTC,$94386.900000,3.55%,"$74,969,063","$25,908,421",2.89,https://dexscreener.com/base/0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1
base,ZORA,$0.044760,4.96%,"$1,809,516","$613,401",2.95,https://dexscreener.com/base/0x3f53f1fd5b7723ddf38d93a584d280b9b94c3111
base,KTA,$0.259600,11.39%,"$1,429,869","$8,951,007",0.16,https://dexscreener.com/base/0xd9edc75a3a797ec92ca370f19051babebfb2edee
base,EDEL,$0.030430,90.61%,"$1,134,161","$1,574,169",0.72,https://dexscreener.com/base/0x566bee7ef7b39f29d150ab3be6b6242c17cc5a31
base,RUSSELL,$0.008880,72.72%,"$958,100","$777,682",1.23,https://dexscreener.com/base/0xea8b7ed6170e0ea3703dde6b496b065a8ececd7b
optimism,USD₮0,$0.999400,-0.07%,"$73,835","$424,612",0.17,https://dexscreener.com/optimism/0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9
optimism,ALUSD,$0.992500,0.05%,"$52,471","$1,859,361",0.03,https://dexscreener.com/optimism/0x124d69daeda338b1b31ffc8e429e39c9a991164e
optimism,OVER,$0.277500,-1.62%,"$20,072","$992,322",0.02,https://dexscreener.com/optimism/0x1eaa860dca29a5124f665f7d80affed92e877681
optimism,MOOBIFI,$190.630000,1.64%,"$5,975","$350,187",0.02,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,TAROT,$0.052300,2.22%,"$3,921","$453,292",0.01,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
arbitrum,PENDLE,$2.320000,5.93%,"$427,050","$443,617",0.96,https://dexscreener.com/arbitrum/0xe461f84c3fe6bcdd1162eb0ef4284f3bb6e4cad3
arbitrum,GNS,$1.150000,0.26%,"$288,155","$649,096",0.44,https://dexscreener.com/arbitrum/0x9b6ff025aee245d314c09f57b72f0de6e231c3a6
arbitrum,T,$0.002957,6.05%,"$17,747","$283,147",0.06,https://dexscreener.com/arbitrum/0xd971ff5a7530919ae67e06695710b262a72e8f2f
arbitrum,GMX,$8.320000,2.39%,"$11,800","$67,072",0.18,https://dexscreener.com/arbitrum/0xc99be44383bc8d82357f5a1d9ae9976ee9d75bee
arbitrum,PEAR,$0.029620,1.36%,"$7,474","$997,912",0.01,https://dexscreener.com/arbitrum/0x299c7d6f2ef82cb52b2ab83b14f05c6b2b803aba
sui,USDB,$1.000019,0.01%,"$490,611","$1,086,996",0.45,https://dexscreener.com/sui/0x7a0abae43a864801894c29d72c387ce7681ba752dd331492b32c3c5e1672c973
sui,US,$0.006793,5.63%,"$418,639","$656,275",0.64,https://dexscreener.com/sui/0x968f1f73b8e766e2ce0198c807d0c956aa384bfe64c98a18e56bfb970a13e7bb
sui,SCA,$0.043590,2.99%,"$264,179","$433,412",0.61,https://dexscreener.com/sui/0x9661cca01a5b9b3536883568fa967a2943e237de11a97976795f5adb293892e9
sui,PANS,$0.000305,-16.63%,"$53,506","$100,752",0.53,https://dexscreener.com/sui/0x155b01dc5dbf6eb319ee5df50d201ae49fdc7a0a074acfe4fe1201acbf181a56
sui,BLUB,$0.000000,3.70%,"$40,573","$261,798",0.15,https://dexscreener.com/sui/0x40a372f9ee1989d76ceb8e50941b04468f8551d091fb8a5d7211522e42e60aaf
solana,TRUMP,$5.590000,3.56%,"$95,569,712","$158,016,389",0.60,https://dexscreener.com/solana/9d9mb8kooffad3sctgztkxqypkshx6ezhbkio89ixyy2
solana,JLP,$4.790000,2.16%,"$10,150,956","$2,816,165",3.60,https://dexscreener.com/solana/6nuivmsnjsi4afsmseiaezsav9n4n1zrd4jenuwnrvyb
solana,KASH,$0.001432,255.00%,"$5,216,926","$136,026",38.35,https://dexscreener.com/solana/xywwfyn3ckul1tewal7unet62c1wyrwihwryzpeepmy
solana,PONKE,$0.062350,5.61%,"$4,290,643","$2,664,602",1.61,https://dexscreener.com/solana/5utwg3y3f5cx4ykodgtjwehdrx5hdkz5bzz72x8eq6ze
solana,KMNO,$0.060590,0.19%,"$3,618,381","$2,941,719",1.23,https://dexscreener.com/solana/3ndjn1njvukgrjbc1hhvper6kwtzkhdydrpycjyx3cxk
