=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Cronos,"$394,786,913",3.27%,6.56%,🔥 資金暴衝
Bitcoin,"$7,282,071,484",2.94%,8.23%,🚀 加速流入
Base,"$4,814,410,733",2.60%,8.38%,🚀 加速流入
OP Mainnet,"$312,519,959",2.55%,6.25%,🚀 加速流入
BSC,"$6,901,372,481",2.48%,5.82%,🚀 加速流入
Ethereum,"$74,312,561,344",2.46%,7.99%,🚀 加速流入
Sui,"$996,914,543",2.11%,8.05%,🚀 加速流入
Hyperliquid L1,"$1,461,137,400",2.03%,-0.98%,🟢 穩健增長
Solana,"$8,837,033,735",1.75%,4.04%,🚀 加速流入
Arbitrum,"$3,097,996,836",1.72%,9.17%,🚀 加速流入
Vaulta,"$391,799,063",1.51%,3.47%,🚀 加速流入
Aptos,"$453,326,565",1.25%,3.15%,🚀 加速流入
Tron,"$4,729,210,526",1.16%,7.80%,🚀 加速流入
Avalanche,"$1,340,220,082",1.10%,4.75%,🚀 加速流入
Mantle,"$338,932,182",0.86%,1.17%,🚀 加速流入
Polygon,"$1,066,804,925",-3.05%,-8.51%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
cronos,VNO,$0.008558,0.73%,"$44,600","$298,443",0.15,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
cronos,FUL,$0.003387,6.34%,"$31,471","$289,015",0.11,https://dexscreener.com/cronos/0x6ae624714f221964aff3ab8d8276a7ec142a759f
cronos,CROID,$0.011230,5.54%,"$7,657","$143,638",0.05,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,FER,$0.000404,5.50%,"$7,488","$99,211",0.08,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,TONIC,$0.000000,7.54%,"$3,820","$311,153",0.01,https://dexscreener.com/cronos/0xa922530960a1f94828a7e132ec1ba95717ed1eab
base,CBBTC,$94821.950000,3.89%,"$79,623,541","$22,966,858",3.47,https://dexscreener.com/base/0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1
base,ZORA,$0.044410,3.00%,"$1,825,677","$644,219",2.83,https://dexscreener.com/base/0x3f53f1fd5b7723ddf38d93a584d280b9b94c3111
base,KTA,$0.261000,11.80%,"$1,464,403","$9,013,688",0.16,https://dexscreener.com/base/0xd9edc75a3a797ec92ca370f19051babebfb2edee
base,EDEL,$0.030540,89.97%,"$1,173,708","$1,582,669",0.74,https://dexscreener.com/base/0x566bee7ef7b39f29d150ab3be6b6242c17cc5a31
base,RUSSELL,$0.008228,60.39%,"$1,055,854","$752,048",1.40,https://dexscreener.com/base/0xea8b7ed6170e0ea3703dde6b496b065a8ececd7b
optimism,USD₮0,$0.999100,-0.06%,"$117,412","$444,383",0.26,https://dexscreener.com/optimism/0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9
optimism,ALUSD,$0.993900,0.18%,"$55,030","$1,860,791",0.03,https://dexscreener.com/optimism/0x124d69daeda338b1b31ffc8e429e39c9a991164e
optimism,OVER,$0.279800,-0.79%,"$20,865","$1,001,302",0.02,https://dexscreener.com/optimism/0x1eaa860dca29a5124f665f7d80affed92e877681
optimism,MOOBIFI,$189.650000,0.98%,"$10,742","$350,162",0.03,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,TAROT,$0.052370,2.36%,"$4,079","$453,593",0.01,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
bsc,ARK,$19.470000,-0.96%,"$4,434,793","$85,886,819",0.05,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
