=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Sui,"$1,017,086,395",4.18%,10.23%,🔥 資金暴衝
Cronos,"$394,786,913",3.27%,6.56%,🔥 資金暴衝
Ethereum,"$74,721,032,215",3.02%,8.58%,🔥 資金暴衝
Bitcoin,"$7,282,071,484",2.94%,8.23%,🚀 加速流入
OP Mainnet,"$313,524,588",2.88%,6.59%,🚀 加速流入
BSC,"$6,903,503,454",2.51%,5.86%,🚀 加速流入
Base,"$4,806,425,661",2.43%,8.20%,🚀 加速流入
Hyperliquid L1,"$1,463,278,074",2.18%,-0.83%,🟢 穩健增長
Solana,"$8,872,649,953",2.16%,4.46%,🚀 加速流入
Arbitrum,"$3,105,264,150",1.96%,9.43%,🚀 加速流入
Aptos,"$454,588,775",1.53%,3.44%,🚀 加速流入
Vaulta,"$391,799,063",1.51%,3.47%,🚀 加速流入
Tron,"$4,731,117,488",1.20%,7.84%,🚀 加速流入
Avalanche,"$1,340,220,082",1.10%,4.75%,🚀 加速流入
Mantle,"$338,887,541",0.84%,1.16%,🚀 加速流入
Polygon,"$1,066,804,925",-3.05%,-8.51%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,US,$0.006664,2.75%,"$430,068","$648,767",0.66,https://dexscreener.com/sui/0x968f1f73b8e766e2ce0198c807d0c956aa384bfe64c98a18e56bfb970a13e7bb
sui,WAL,$0.149500,7.82%,"$297,508","$150,192",1.98,https://dexscreener.com/sui/0xf4238fa592c9ed7f148fd091cb2c4147cb15ad81b797115ce42971923ebf6e4c
sui,JACKSON,$0.048020,9.54%,"$169,826","$3,924,286",0.04,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,PANS,$0.000320,-6.56%,"$53,350","$107,324",0.50,https://dexscreener.com/sui/0x155b01dc5dbf6eb319ee5df50d201ae49fdc7a0a074acfe4fe1201acbf181a56
sui,BLUB,$0.000000,8.27%,"$45,440","$279,320",0.16,https://dexscreener.com/sui/0x40a372f9ee1989d76ceb8e50941b04468f8551d091fb8a5d7211522e42e60aaf
cronos,VNO,$0.008658,1.91%,"$47,560","$301,851",0.16,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
cronos,FUL,$0.003431,5.31%,"$31,413","$292,746",0.11,https://dexscreener.com/cronos/0x6ae624714f221964aff3ab8d8276a7ec142a759f
cronos,CROID,$0.011280,5.82%,"$7,853","$144,768",0.05,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,FER,$0.000405,5.70%,"$7,547","$99,727",0.08,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,TONIC,$0.000000,8.31%,"$3,997","$313,746",0.01,https://dexscreener.com/cronos/0xa922530960a1f94828a7e132ec1ba95717ed1eab
ethereum,CBBTC,$94718.130000,2.96%,"$9,309,444","$218,055,455",0.04,https://dexscreener.com/ethereum/0x83f24023d15d835a213df24fd309c47dab5beb32
ethereum,YEE,$0.029770,15.94%,"$1,656,360","$1,254,754",1.32,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
ethereum,NPC,$0.013800,9.69%,"$650,623","$4,292,319",0.15,https://dexscreener.com/ethereum/0x69c7bd26512f52bf6f76fab834140d13dda673ca
ethereum,OETH,$3231.340000,2.95%,"$409,494","$80,244,343",0.01,https://dexscreener.com/ethereum/0xcc7d5785ad5755b6164e21495e07adb0ff11c2a8
ethereum,MANYU,$0.000000,22.60%,"$401,486","$965,637",0.42,https://dexscreener.com/ethereum/0xc4704f13d5e08b27b039d53873e813dd2fad99d9
optimism,USD₮0,$0.999700,-0.01%,"$117,270","$444,682",0.26,https://dexscreener.com/optimism/0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9
optimism,ALETH,$3142.660000,3.09%,"$59,026","$4,264,958",0.01,https://dexscreener.com/optimism/0xa1055762336f92b4b8d2edc032a0ce45ead6280a
optimism,ALUSD,$0.992800,0.15%,"$58,578","$1,859,176",0.03,https://dexscreener.com/optimism/0x124d69daeda338b1b31ffc8e429e39c9a991164e
optimism,OVER,$0.278900,-1.31%,"$23,300","$998,608",0.02,https://dexscreener.com/optimism/0x1eaa860dca29a5124f665f7d80affed92e877681
