=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Sui,"$1,017,086,395",4.18%,10.23%,🔥 資金暴衝
Cronos,"$396,035,257",3.60%,6.90%,🔥 資金暴衝
Bitcoin,"$7,301,675,617",3.22%,8.53%,🔥 資金暴衝
Ethereum,"$74,721,032,215",3.02%,8.58%,🔥 資金暴衝
OP Mainnet,"$313,524,588",2.88%,6.59%,🚀 加速流入
BSC,"$6,925,032,220",2.83%,6.19%,🚀 加速流入
Vaulta,"$395,906,903",2.57%,4.56%,🚀 加速流入
Base,"$4,806,425,661",2.43%,8.20%,🚀 加速流入
Hyperliquid L1,"$1,463,278,074",2.18%,-0.83%,🟢 穩健增長
Solana,"$8,872,649,953",2.16%,4.46%,🚀 加速流入
Arbitrum,"$3,105,264,150",1.96%,9.43%,🚀 加速流入
Aptos,"$454,588,775",1.53%,3.44%,🚀 加速流入
Avalanche,"$1,345,133,378",1.47%,5.14%,🚀 加速流入
Tron,"$4,731,117,488",1.20%,7.84%,🚀 加速流入
Mantle,"$338,887,541",0.84%,1.16%,🚀 加速流入
Polygon,"$1,066,931,156",-3.04%,-8.50%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,USDB,$0.999800,0.01%,"$491,733","$1,086,787",0.45,https://dexscreener.com/sui/0x7a0abae43a864801894c29d72c387ce7681ba752dd331492b32c3c5e1672c973
sui,US,$0.006646,3.47%,"$428,422","$647,722",0.66,https://dexscreener.com/sui/0x968f1f73b8e766e2ce0198c807d0c956aa384bfe64c98a18e56bfb970a13e7bb
sui,WAL,$0.150200,9.29%,"$306,322","$151,194",2.03,https://dexscreener.com/sui/0xf4238fa592c9ed7f148fd091cb2c4147cb15ad81b797115ce42971923ebf6e4c
sui,JACKSON,$0.048030,10.00%,"$170,133","$3,926,880",0.04,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,PANS,$0.000322,-5.86%,"$53,434","$108,047",0.49,https://dexscreener.com/sui/0x155b01dc5dbf6eb319ee5df50d201ae49fdc7a0a074acfe4fe1201acbf181a56
cronos,VNO,$0.008631,1.59%,"$48,809","$301,208",0.16,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
cronos,FUL,$0.003431,5.31%,"$31,413","$292,746",0.11,https://dexscreener.com/cronos/0x6ae624714f221964aff3ab8d8276a7ec142a759f
cronos,CROID,$0.011280,5.75%,"$7,810","$144,768",0.05,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,FER,$0.000404,5.58%,"$7,548","$99,614",0.08,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,TONIC,$0.000000,5.28%,"$3,952","$313,746",0.01,https://dexscreener.com/cronos/0xa922530960a1f94828a7e132ec1ba95717ed1eab
ethereum,CBBTC,$94718.130000,2.96%,"$9,309,444","$218,055,455",0.04,https://dexscreener.com/ethereum/0x83f24023d15d835a213df24fd309c47dab5beb32
ethereum,YEE,$0.030130,9.86%,"$1,509,291","$1,262,573",1.20,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
ethereum,NPC,$0.013760,8.52%,"$652,023","$4,283,539",0.15,https://dexscreener.com/ethereum/0x69c7bd26512f52bf6f76fab834140d13dda673ca
ethereum,MANYU,$0.000000,37.47%,"$431,367","$1,020,698",0.42,https://dexscreener.com/ethereum/0xc4704f13d5e08b27b039d53873e813dd2fad99d9
ethereum,OETH,$3240.330000,3.35%,"$409,466","$80,467,587",0.01,https://dexscreener.com/ethereum/0xcc7d5785ad5755b6164e21495e07adb0ff11c2a8
optimism,USD₮0,$0.999500,0.01%,"$116,947","$444,593",0.26,https://dexscreener.com/optimism/0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9
optimism,ALETH,$3140.520000,3.01%,"$58,857","$4,261,984",0.01,https://dexscreener.com/optimism/0xa1055762336f92b4b8d2edc032a0ce45ead6280a
optimism,ALUSD,$0.992300,0.10%,"$58,682","$1,858,569",0.03,https://dexscreener.com/optimism/0x124d69daeda338b1b31ffc8e429e39c9a991164e
optimism,OVER,$0.278900,-0.79%,"$21,612","$998,608",0.02,https://dexscreener.com/optimism/0x1eaa860dca29a5124f665f7d80affed92e877681
optimism,MOOBIFI,$190.210000,0.98%,"$10,748","$351,199",0.03,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
bsc,ARK,$19.470000,-0.92%,"$4,321,602","$85,870,713",0.05,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
bsc,PIZZA6900,$0.000265,143.00%,"$4,268,837","$67,024",63.69,https://dexscreener.com/bsc/0x30b81118499e89c212d3cffa6c2ada7e2869f71f
bsc,哈基米,$0.041540,-1.51%,"$3,310,681","$1,821,190",1.82,https://dexscreener.com/bsc/0xc33bacff9141da689875e6381c1932348ab4c5cb
bsc,币安人生,$0.129100,-8.73%,"$3,129,195","$3,845,156",0.81,https://dexscreener.com/bsc/0x66f289de31eef70d52186729d2637ac978cfc56b
bsc,我踏马来了,$0.000777,198.00%,"$1,830,136","$127,569",14.35,https://dexscreener.com/bsc/0xa651c8deb3ff9f8d56a26e72042b7a8a1f433480
base,CBBTC,$94099.650000,3.20%,"$79,928,840","$23,163,255",3.45,https://dexscreener.com/base/0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1
base,ZORA,$0.044580,3.98%,"$1,702,195","$551,864",3.08,https://dexscreener.com/base/0x3f53f1fd5b7723ddf38d93a584d280b9b94c3111
base,KTA,$0.259700,9.65%,"$1,468,872","$8,977,488",0.16,https://dexscreener.com/base/0xd9edc75a3a797ec92ca370f19051babebfb2edee
base,EDEL,$0.034820,73.35%,"$1,167,487","$1,689,501",0.69,https://dexscreener.com/base/0x566bee7ef7b39f29d150ab3be6b6242c17cc5a31
base,RUSSELL,$0.008412,56.49%,"$1,105,973","$759,511",1.46,https://dexscreener.com/base/0xea8b7ed6170e0ea3703dde6b496b065a8ececd7b
solana,TRUMP,$5.610000,4.59%,"$97,827,902","$158,302,945",0.62,https://dexscreener.com/solana/9d9mb8kooffad3sctgztkxqypkshx6ezhbkio89ixyy2
solana,JLP,$4.810000,2.33%,"$10,993,738","$2,810,109",3.91,https://dexscreener.com/solana/6nuivmsnjsi4afsmseiaezsav9n4n1zrd4jenuwnrvyb
solana,KASH,$0.001216,260.00%,"$5,644,925","$126,307",44.69,https://dexscreener.com/solana/xywwfyn3ckul1tewal7unet62c1wyrwihwryzpeepmy
solana,KMNO,$0.061340,2.35%,"$3,884,014","$2,964,910",1.31,https://dexscreener.com/solana/3ndjn1njvukgrjbc1hhvper6kwtzkhdydrpycjyx3cxk
solana,PONKE,$0.058920,-7.43%,"$3,747,542","$2,594,918",1.44,https://dexscreener.com/solana/5utwg3y3f5cx4ykodgtjwehdrx5hdkz5bzz72x8eq6ze
arbitrum,PENDLE,$2.300000,5.12%,"$434,338","$442,899",0.98,https://dexscreener.com/arbitrum/0xe461f84c3fe6bcdd1162eb0ef4284f3bb6e4cad3
arbitrum,GNS,$1.150000,-0.05%,"$288,818","$649,252",0.44,https://dexscreener.com/arbitrum/0x9b6ff025aee245d314c09f57b72f0de6e231c3a6
arbitrum,EPENDLE,$1.330000,7.03%,"$13,465","$561,200",0.02,https://dexscreener.com/arbitrum/0x6ad17e1133af65a8e3a9074e72004faef1e2341e
arbitrum,T,$0.002974,-3.94%,"$8,348","$284,478",0.03,https://dexscreener.com/arbitrum/0xd971ff5a7530919ae67e06695710b262a72e8f2f
arbitrum,PEAR,$0.029700,1.57%,"$7,958","$999,323",0.01,https://dexscreener.com/arbitrum/0x299c7d6f2ef82cb52b2ab83b14f05c6b2b803aba
avalanche,AUSD,$1.000000,-0.03%,"$11,947,481","$2,502,023",4.78,https://dexscreener.com/avalanche/0xcec377285abf370fdf872625d2742252656d631a
avalanche,COQ,$0.000000,-1.76%,"$180,787","$959,260",0.19,https://dexscreener.com/avalanche/0x41ab86eecbd110a82ca602d032a461f453066f1e
avalanche,ARENA,$0.002248,3.52%,"$74,141","$329,965",0.22,https://dexscreener.com/avalanche/0xa78c3e56afb8d34a536825e2497255e78b388619
avalanche,JOE,$0.071880,-3.00%,"$55,249","$797,577",0.07,https://dexscreener.com/avalanche/0x454e67025631c065d3cfad6d71e6892f74487a15
avalanche,GUN,$0.014510,1.52%,"$37,173","$327,047",0.11,https://dexscreener.com/avalanche/0xbd26e663281fb35d4757219eb180f02e8a065c09
tron,PEPE,$0.006508,-24.42%,"$1,194,288","$502,587",2.38,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,OSP,$1.940000,7.85%,"$90,138","$3,893,336",0.02,https://dexscreener.com/tron/tsqxeoxd6qwhunblj9slq7p8wy59oabuf8
tron,SUN,$0.020060,0.17%,"$62,095","$16,750,971",0.00,https://dexscreener.com/tron/thu6conqvz3phyhentdyw9ae3pgypwbsp6
tron,SUNCAT,$0.000475,0.58%,"$19,085","$242,814",0.08,https://dexscreener.com/tron/thffwkt8qbmbzyhxen3dmknslm3dbsmmw4
tron,ARES,$0.000053,-7.93%,"$19,045","$53,657",0.35,https://dexscreener.com/tron/tmaypj9wnqwqzabn5mweh3qxpzge6gnixr
polygon,AS,$1.240000,-0.60%,"$219,001","$17,070,291",0.01,https://dexscreener.com/polygon/0x1a9221261dc445d773e66075b9e9e52f40e15ab1
polygon,GEOD,$0.148100,4.03%,"$45,619","$309,017",0.15,https://dexscreener.com/polygon/0x5fe84b85ba7dea0fbc8c4571491aca80d97f5e01
polygon,VOXEL,$0.012820,-0.37%,"$28,872","$245,455",0.12,https://dexscreener.com/polygon/0xf4ad214434071923dec64375961f2555947d789c
polygon,KARMA,$0.018950,-0.49%,"$6,600","$188,009",0.04,https://dexscreener.com/polygon/0x6d1f31e55816141c3359c868ef9503378afc590f
polygon,SAND,$0.126800,3.37%,"$6,074","$351,001",0.02,https://dexscreener.com/polygon/0x369582d2010b6ed950b571f4101e3bb9b554876f
