=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Sui,"$1,027,444,995",5.24%,11.36%,🔥 資金暴衝
Cronos,"$396,035,361",3.60%,6.90%,🔥 資金暴衝
Bitcoin,"$7,302,232,568",3.23%,8.53%,🔥 資金暴衝
Ethereum,"$74,721,422,460",3.02%,8.58%,🔥 資金暴衝
BSC,"$6,925,032,220",2.83%,6.19%,🚀 加速流入
Solana,"$8,925,897,275",2.77%,5.09%,🚀 加速流入
OP Mainnet,"$313,024,827",2.72%,6.42%,🚀 加速流入
Vaulta,"$395,903,037",2.57%,4.55%,🚀 加速流入
Base,"$4,806,902,716",2.44%,8.21%,🚀 加速流入
Arbitrum,"$3,112,753,919",2.20%,9.69%,🚀 加速流入
Hyperliquid L1,"$1,462,903,833",2.15%,-0.86%,🟢 穩健增長
Aptos,"$455,700,805",1.78%,3.69%,🚀 加速流入
Avalanche,"$1,345,133,378",1.47%,5.14%,🚀 加速流入
Tron,"$4,731,294,744",1.20%,7.85%,🚀 加速流入
Mantle,"$338,888,492",0.84%,1.16%,🚀 加速流入
Polygon,"$1,066,947,686",-3.04%,-8.50%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,USDB,$1.000008,0.02%,"$491,800","$1,086,995",0.45,https://dexscreener.com/sui/0x7a0abae43a864801894c29d72c387ce7681ba752dd331492b32c3c5e1672c973
sui,WAL,$0.149700,8.12%,"$316,008","$150,645",2.10,https://dexscreener.com/sui/0xf4238fa592c9ed7f148fd091cb2c4147cb15ad81b797115ce42971923ebf6e4c
sui,JACKSON,$0.048200,10.00%,"$171,061","$3,939,388",0.04,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,PANS,$0.000311,-9.05%,"$53,629","$118,290",0.45,https://dexscreener.com/sui/0x155b01dc5dbf6eb319ee5df50d201ae49fdc7a0a074acfe4fe1201acbf181a56
cronos,VNO,$0.008694,2.33%,"$50,440","$303,618",0.17,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
cronos,FUL,$0.003449,5.87%,"$31,473","$294,191",0.11,https://dexscreener.com/cronos/0x6ae624714f221964aff3ab8d8276a7ec142a759f
cronos,CROID,$0.011340,5.65%,"$7,738","$145,658",0.05,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,FER,$0.000405,4.68%,"$7,608","$99,940",0.08,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,TONIC,$0.000000,5.80%,"$4,102","$315,582",0.01,https://dexscreener.com/cronos/0xa922530960a1f94828a7e132ec1ba95717ed1eab
ethereum,CBBTC,$94718.130000,2.96%,"$9,309,444","$218,055,455",0.04,https://dexscreener.com/ethereum/0x83f24023d15d835a213df24fd309c47dab5beb32
ethereum,YEE,$0.029010,4.05%,"$1,378,367","$1,240,024",1.11,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
ethereum,NPC,$0.013790,8.95%,"$689,512","$4,292,272",0.16,https://dexscreener.com/ethereum/0x69c7bd26512f52bf6f76fab834140d13dda673ca
ethereum,MANYU,$0.000000,41.72%,"$638,453","$1,052,420",0.61,https://dexscreener.com/ethereum/0xc4704f13d5e08b27b039d53873e813dd2fad99d9
ethereum,OETH,$3234.610000,3.14%,"$414,898","$80,325,513",0.01,https://dexscreener.com/ethereum/0xcc7d5785ad5755b6164e21495e07adb0ff11c2a8
bsc,PIZZA6900,$0.000267,144.00%,"$4,268,920","$67,336",63.40,https://dexscreener.com/bsc/0x30b81118499e89c212d3cffa6c2ada7e2869f71f
bsc,ARK,$19.450000,-1.11%,"$4,246,949","$85,844,281",0.05,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
bsc,哈基米,$0.042080,0.83%,"$3,328,273","$1,835,780",1.81,https://dexscreener.com/bsc/0xc33bacff9141da689875e6381c1932348ab4c5cb
bsc,币安人生,$0.130000,-8.31%,"$3,129,145","$3,867,843",0.81,https://dexscreener.com/bsc/0x66f289de31eef70d52186729d2637ac978cfc56b
bsc,我踏马来了,$0.000822,217.00%,"$1,839,547","$131,494",13.99,https://dexscreener.com/bsc/0xa651c8deb3ff9f8d56a26e72042b7a8a1f433480
solana,TRUMP,$5.620000,4.28%,"$96,723,572","$158,494,538",0.61,https://dexscreener.com/solana/9d9mb8kooffad3sctgztkxqypkshx6ezhbkio89ixyy2
solana,JLP,$4.810000,2.32%,"$11,050,288","$2,811,129",3.93,https://dexscreener.com/solana/6nuivmsnjsi4afsmseiaezsav9n4n1zrd4jenuwnrvyb
solana,KASH,$0.001625,513.00%,"$5,714,948","$146,103",39.12,https://dexscreener.com/solana/xywwfyn3ckul1tewal7unet62c1wyrwihwryzpeepmy
solana,KMNO,$0.061240,1.91%,"$3,924,514","$2,961,954",1.32,https://dexscreener.com/solana/3ndjn1njvukgrjbc1hhvper6kwtzkhdydrpycjyx3cxk
solana,PONKE,$0.060120,-2.36%,"$3,692,558","$2,621,975",1.41,https://dexscreener.com/solana/5utwg3y3f5cx4ykodgtjwehdrx5hdkz5bzz72x8eq6ze
optimism,USD₮0,$0.999600,-0.03%,"$115,402","$444,655",0.26,https://dexscreener.com/optimism/0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9
optimism,ALUSD,$0.993300,0.11%,"$58,589","$1,859,674",0.03,https://dexscreener.com/optimism/0x124d69daeda338b1b31ffc8e429e39c9a991164e
optimism,ALETH,$3143.660000,3.06%,"$58,520","$4,266,285",0.01,https://dexscreener.com/optimism/0xa1055762336f92b4b8d2edc032a0ce45ead6280a
optimism,OVER,$0.278900,-0.63%,"$20,797","$998,665",0.02,https://dexscreener.com/optimism/0x1eaa860dca29a5124f665f7d80affed92e877681
optimism,MOOBIFI,$190.270000,0.97%,"$10,749","$351,303",0.03,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
base,CBBTC,$94393.170000,3.51%,"$81,102,733","$25,228,263",3.21,https://dexscreener.com/base/0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1
base,ZORA,$0.044380,3.15%,"$1,666,335","$540,066",3.09,https://dexscreener.com/base/0x3f53f1fd5b7723ddf38d93a584d280b9b94c3111
base,KTA,$0.263600,10.31%,"$1,480,679","$9,050,306",0.16,https://dexscreener.com/base/0xd9edc75a3a797ec92ca370f19051babebfb2edee
base,RUSSELL,$0.008457,57.08%,"$1,128,737","$761,760",1.48,https://dexscreener.com/base/0xea8b7ed6170e0ea3703dde6b496b065a8ececd7b
base,EDEL,$0.034530,48.16%,"$1,126,098","$1,683,211",0.67,https://dexscreener.com/base/0x566bee7ef7b39f29d150ab3be6b6242c17cc5a31
arbitrum,PENDLE,$2.320000,5.73%,"$442,679","$445,743",0.99,https://dexscreener.com/arbitrum/0xe461f84c3fe6bcdd1162eb0ef4284f3bb6e4cad3
arbitrum,GNS,$1.150000,0.16%,"$297,911","$650,574",0.46,https://dexscreener.com/arbitrum/0x9b6ff025aee245d314c09f57b72f0de6e231c3a6
arbitrum,GMX,$8.380000,3.15%,"$14,401","$67,546",0.21,https://dexscreener.com/arbitrum/0xc99be44383bc8d82357f5a1d9ae9976ee9d75bee
arbitrum,T,$0.002974,-3.94%,"$8,348","$284,478",0.03,https://dexscreener.com/arbitrum/0xd971ff5a7530919ae67e06695710b262a72e8f2f
arbitrum,PEAR,$0.029700,1.57%,"$7,958","$999,323",0.01,https://dexscreener.com/arbitrum/0x299c7d6f2ef82cb52b2ab83b14f05c6b2b803aba
avalanche,AUSD,$1.000000,-0.03%,"$11,943,597","$2,502,055",4.77,https://dexscreener.com/avalanche/0xcec377285abf370fdf872625d2742252656d631a
avalanche,COQ,$0.000000,1.33%,"$176,761","$972,121",0.18,https://dexscreener.com/avalanche/0x41ab86eecbd110a82ca602d032a461f453066f1e
avalanche,PNG,$0.038710,5.48%,"$170,658","$331,687",0.51,https://dexscreener.com/avalanche/0xd7538cabbf8605bde1f4901b47b8d42c61de0367
avalanche,ARENA,$0.002285,5.67%,"$86,047","$335,412",0.26,https://dexscreener.com/avalanche/0xa78c3e56afb8d34a536825e2497255e78b388619
avalanche,JOE,$0.072640,0.05%,"$52,514","$808,575",0.06,https://dexscreener.com/avalanche/0x454e67025631c065d3cfad6d71e6892f74487a15
tron,PEPE,$0.006293,-27.07%,"$1,203,237","$493,831",2.44,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,SUNDOG,$0.012020,-3.88%,"$300,198","$1,021,299",0.29,https://dexscreener.com/tron/tdr7rpu33htog8qo9i676v56bzcjkpjqox
tron,OSP,$1.940000,7.85%,"$90,138","$3,893,336",0.02,https://dexscreener.com/tron/tsqxeoxd6qwhunblj9slq7p8wy59oabuf8
tron,SUN,$0.020060,0.17%,"$62,095","$16,750,971",0.00,https://dexscreener.com/tron/thu6conqvz3phyhentdyw9ae3pgypwbsp6
tron,SUNCAT,$0.000468,-2.27%,"$20,013","$241,090",0.08,https://dexscreener.com/tron/thffwkt8qbmbzyhxen3dmknslm3dbsmmw4
polygon,AS,$1.240000,-0.59%,"$222,079","$17,065,084",0.01,https://dexscreener.com/polygon/0x1a9221261dc445d773e66075b9e9e52f40e15ab1
polygon,GEOD,$0.147900,3.30%,"$45,685","$308,581",0.15,https://dexscreener.com/polygon/0x5fe84b85ba7dea0fbc8c4571491aca80d97f5e01
polygon,VOXEL,$0.012550,-2.08%,"$29,689","$242,843",0.12,https://dexscreener.com/polygon/0xf4ad214434071923dec64375961f2555947d789c
polygon,KARMA,$0.018950,-0.59%,"$6,553","$188,009",0.03,https://dexscreener.com/polygon/0x6d1f31e55816141c3359c868ef9503378afc590f
polygon,SAND,$0.126700,3.31%,"$6,186","$351,010",0.02,https://dexscreener.com/polygon/0x369582d2010b6ed950b571f4101e3bb9b554876f
