=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Sui,"$1,037,875,333",6.31%,12.49%,🔥 資金暴衝
Cronos,"$398,536,545",4.25%,7.57%,🔥 資金暴衝
Bitcoin,"$7,297,621,063",3.16%,8.47%,🔥 資金暴衝
Ethereum,"$74,689,043,861",2.98%,8.53%,🚀 加速流入
Base,"$4,829,493,390",2.92%,8.72%,🚀 加速流入
BSC,"$6,921,633,796",2.78%,6.13%,🚀 加速流入
Solana,"$8,925,897,275",2.77%,5.09%,🚀 加速流入
OP Mainnet,"$313,024,827",2.72%,6.42%,🚀 加速流入
Vaulta,"$395,503,391",2.47%,4.45%,🚀 加速流入
Arbitrum,"$3,115,093,899",2.28%,9.78%,🚀 加速流入
Hyperliquid L1,"$1,463,395,466",2.19%,-0.83%,🟢 穩健增長
Aptos,"$455,407,628",1.71%,3.62%,🚀 加速流入
Tron,"$4,752,077,366",1.64%,8.32%,🚀 加速流入
Avalanche,"$1,345,232,639",1.48%,5.14%,🚀 加速流入
Mantle,"$338,887,541",0.84%,1.16%,🚀 加速流入
Polygon,"$1,066,523,900",-3.08%,-8.53%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,USDB,$1.000009,0.03%,"$492,644","$1,086,997",0.45,https://dexscreener.com/sui/0x7a0abae43a864801894c29d72c387ce7681ba752dd331492b32c3c5e1672c973
sui,US,$0.006646,2.76%,"$434,298","$647,761",0.67,https://dexscreener.com/sui/0x968f1f73b8e766e2ce0198c807d0c956aa384bfe64c98a18e56bfb970a13e7bb
sui,WAL,$0.151200,9.28%,"$331,543","$151,420",2.19,https://dexscreener.com/sui/0xf4238fa592c9ed7f148fd091cb2c4147cb15ad81b797115ce42971923ebf6e4c
sui,JACKSON,$0.048720,11.85%,"$171,525","$3,982,877",0.04,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
cronos,VNO,$0.008697,2.28%,"$50,473","$303,691",0.17,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
cronos,FUL,$0.003454,6.04%,"$31,500","$294,725",0.11,https://dexscreener.com/cronos/0x6ae624714f221964aff3ab8d8276a7ec142a759f
cronos,FER,$0.000405,4.64%,"$7,708","$100,021",0.08,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,CROID,$0.011340,7.46%,"$6,950","$145,658",0.05,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,TONIC,$0.000000,5.80%,"$4,102","$315,582",0.01,https://dexscreener.com/cronos/0xa922530960a1f94828a7e132ec1ba95717ed1eab
ethereum,CBBTC,$94718.130000,2.96%,"$9,309,444","$218,058,373",0.04,https://dexscreener.com/ethereum/0x83f24023d15d835a213df24fd309c47dab5beb32
