=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Cronos,"$398,536,545",4.25%,7.57%,🔥 資金暴衝
Bitcoin,"$7,297,621,063",3.16%,8.47%,🔥 資金暴衝
Solana,"$8,921,345,163",2.72%,5.04%,🚀 加速流入
Arbitrum,"$3,115,431,558",2.29%,9.79%,🚀 加速流入
Ethereum,"$74,681,143,010",0.00%,9.51%,⚠️ 資金流出
BSC,"$6,922,351,378",0.00%,6.28%,⚠️ 資金流出
Base,"$4,830,164,384",0.00%,8.29%,⚠️ 資金流出
Tron,"$4,752,019,054",0.00%,8.49%,⚠️ 資金流出
Avalanche,"$1,345,569,730",0.00%,7.11%,⚠️ 資金流出
Polygon,"$1,065,192,956",0.00%,-8.80%,⚠️ 資金流出
Sui,"$1,040,247,208",0.00%,14.71%,⚠️ 資金流出
Aptos,"$455,441,180",0.00%,6.06%,⚠️ 資金流出
Vaulta,"$395,502,694",0.00%,-5.73%,⚠️ 資金流出
OP Mainnet,"$313,242,159",0.00%,8.00%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
cronos,VNO,$0.008607,0.57%,"$51,945","$301,933",0.17,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
cronos,FUL,$0.003458,6.16%,"$31,500","$295,057",0.11,https://dexscreener.com/cronos/0x6ae624714f221964aff3ab8d8276a7ec142a759f
cronos,FER,$0.000405,4.56%,"$7,293","$100,021",0.07,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,CROID,$0.011320,5.64%,"$6,913","$145,495",0.05,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,TONIC,$0.000000,5.84%,"$4,153","$315,602",0.01,https://dexscreener.com/cronos/0xa922530960a1f94828a7e132ec1ba95717ed1eab
solana,TRUMP,$5.630000,4.62%,"$97,444,351","$158,773,584",0.61,https://dexscreener.com/solana/9d9mb8kooffad3sctgztkxqypkshx6ezhbkio89ixyy2
solana,JLP,$4.800000,2.02%,"$10,930,715","$2,807,825",3.89,https://dexscreener.com/solana/6nuivmsnjsi4afsmseiaezsav9n4n1zrd4jenuwnrvyb
solana,KASH,$0.001632,551.00%,"$5,776,211","$146,779",39.35,https://dexscreener.com/solana/xywwfyn3ckul1tewal7unet62c1wyrwihwryzpeepmy
solana,KMNO,$0.060790,0.98%,"$4,149,416","$2,947,987",1.41,https://dexscreener.com/solana/3ndjn1njvukgrjbc1hhvper6kwtzkhdydrpycjyx3cxk
solana,PONKE,$0.060280,-4.44%,"$3,578,836","$2,622,546",1.36,https://dexscreener.com/solana/5utwg3y3f5cx4ykodgtjwehdrx5hdkz5bzz72x8eq6ze
arbitrum,PENDLE,$2.330000,6.27%,"$433,304","$446,455",0.97,https://dexscreener.com/arbitrum/0xe461f84c3fe6bcdd1162eb0ef4284f3bb6e4cad3
arbitrum,GNS,$1.150000,-0.71%,"$295,015","$647,378",0.46,https://dexscreener.com/arbitrum/0x9b6ff025aee245d314c09f57b72f0de6e231c3a6
arbitrum,GMX,$8.350000,2.58%,"$14,545","$67,311",0.22,https://dexscreener.com/arbitrum/0xc99be44383bc8d82357f5a1d9ae9976ee9d75bee
arbitrum,PEAR,$0.029700,1.57%,"$7,958","$999,323",0.01,https://dexscreener.com/arbitrum/0x299c7d6f2ef82cb52b2ab83b14f05c6b2b803aba
arbitrum,T,$0.003044,-4.02%,"$7,455","$288,087",0.03,https://dexscreener.com/arbitrum/0xd971ff5a7530919ae67e06695710b262a72e8f2f
ethereum,CBBTC,$94718.130000,2.96%,"$9,309,444","$218,058,373",0.04,https://dexscreener.com/ethereum/0x83f24023d15d835a213df24fd309c47dab5beb32
ethereum,YEE,$0.027260,-2.61%,"$1,422,822","$1,200,041",1.19,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
ethereum,MANYU,$0.000000,38.71%,"$709,819","$1,025,659",0.69,https://dexscreener.com/ethereum/0xc4704f13d5e08b27b039d53873e813dd2fad99d9
ethereum,NPC,$0.013810,7.85%,"$683,221","$4,284,278",0.16,https://dexscreener.com/ethereum/0x69c7bd26512f52bf6f76fab834140d13dda673ca
ethereum,OETH,$3228.520000,2.90%,"$391,039","$80,174,475",0.00,https://dexscreener.com/ethereum/0xcc7d5785ad5755b6164e21495e07adb0ff11c2a8
bsc,RIVER,$17.018000,37.71%,"$7,354,909","$203,725",36.10,https://dexscreener.com/bsc/0xb249b6e4ac29301f680963a45fac7d09779ef980
bsc,PIZZA6900,$0.000270,147.00%,"$4,269,603","$67,686",63.08,https://dexscreener.com/bsc/0x30b81118499e89c212d3cffa6c2ada7e2869f71f
bsc,ARK,$19.430000,-1.20%,"$4,242,064","$85,800,933",0.05,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
bsc,哈基米,$0.042170,1.20%,"$3,373,749","$1,836,512",1.84,https://dexscreener.com/bsc/0xc33bacff9141da689875e6381c1932348ab4c5cb
bsc,币安人生,$0.130800,-8.29%,"$3,131,670","$3,875,191",0.81,https://dexscreener.com/bsc/0x66f289de31eef70d52186729d2637ac978cfc56b
base,CBBTC,$93993.560000,2.94%,"$82,950,490","$23,001,956",3.61,https://dexscreener.com/base/0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1
base,TIBO,$0.000269,33.10%,"$2,650,968","$147,431",17.98,https://dexscreener.com/base/0xaee7f1e0cf0ea5e518a5006c828b01c8b4676722
base,ZORA,$0.044180,1.90%,"$1,568,441","$525,206",2.99,https://dexscreener.com/base/0x3f53f1fd5b7723ddf38d93a584d280b9b94c3111
base,KTA,$0.261200,10.40%,"$1,485,734","$8,991,026",0.17,https://dexscreener.com/base/0xd9edc75a3a797ec92ca370f19051babebfb2edee
base,RUSSELL,$0.008251,55.19%,"$1,143,892","$751,108",1.52,https://dexscreener.com/base/0xea8b7ed6170e0ea3703dde6b496b065a8ececd7b
tron,PEPE,$0.006312,-32.60%,"$1,190,162","$494,606",2.41,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,OSP,$1.940000,7.90%,"$90,117","$3,893,336",0.02,https://dexscreener.com/tron/tsqxeoxd6qwhunblj9slq7p8wy59oabuf8
tron,SUN,$0.020100,0.39%,"$71,228","$16,769,211",0.00,https://dexscreener.com/tron/thu6conqvz3phyhentdyw9ae3pgypwbsp6
tron,SUNCAT,$0.000467,-2.62%,"$21,181","$240,546",0.09,https://dexscreener.com/tron/thffwkt8qbmbzyhxen3dmknslm3dbsmmw4
tron,ARES,$0.000053,-2.27%,"$17,866","$53,657",0.33,https://dexscreener.com/tron/tmaypj9wnqwqzabn5mweh3qxpzge6gnixr
avalanche,AUSD,$1.000000,-0.03%,"$11,976,531","$2,502,118",4.79,https://dexscreener.com/avalanche/0xcec377285abf370fdf872625d2742252656d631a
avalanche,COQ,$0.000000,1.70%,"$197,149","$970,517",0.20,https://dexscreener.com/avalanche/0x41ab86eecbd110a82ca602d032a461f453066f1e
avalanche,ARENA,$0.002285,5.94%,"$144,708","$333,391",0.43,https://dexscreener.com/avalanche/0xa78c3e56afb8d34a536825e2497255e78b388619
avalanche,JOE,$0.071950,-0.32%,"$49,526","$800,631",0.06,https://dexscreener.com/avalanche/0x454e67025631c065d3cfad6d71e6892f74487a15
avalanche,GUN,$0.014640,2.59%,"$40,935","$329,162",0.12,https://dexscreener.com/avalanche/0xbd26e663281fb35d4757219eb180f02e8a065c09
polygon,AS,$1.240000,-0.63%,"$234,762","$17,052,501",0.01,https://dexscreener.com/polygon/0x1a9221261dc445d773e66075b9e9e52f40e15ab1
polygon,GEOD,$0.148600,4.09%,"$44,718","$309,894",0.14,https://dexscreener.com/polygon/0x5fe84b85ba7dea0fbc8c4571491aca80d97f5e01
polygon,VOXEL,$0.012450,-3.15%,"$31,676","$241,882",0.13,https://dexscreener.com/polygon/0xf4ad214434071923dec64375961f2555947d789c
polygon,KARMA,$0.018940,-0.61%,"$6,657","$187,972",0.04,https://dexscreener.com/polygon/0x6d1f31e55816141c3359c868ef9503378afc590f
polygon,NWS,$0.000551,-0.38%,"$6,302","$53,078",0.12,https://dexscreener.com/polygon/0xb67d3eba00e7890fe1241bf4eec0ae08134ea715
sui,USDB,$0.999800,-0.01%,"$493,053","$1,086,790",0.45,https://dexscreener.com/sui/0x7a0abae43a864801894c29d72c387ce7681ba752dd331492b32c3c5e1672c973
sui,US,$0.006650,2.36%,"$432,138","$647,968",0.67,https://dexscreener.com/sui/0x968f1f73b8e766e2ce0198c807d0c956aa384bfe64c98a18e56bfb970a13e7bb
sui,WAL,$0.147100,6.42%,"$336,166","$149,611",2.25,https://dexscreener.com/sui/0xf4238fa592c9ed7f148fd091cb2c4147cb15ad81b797115ce42971923ebf6e4c
sui,JACKSON,$0.047930,11.07%,"$172,842","$3,917,996",0.04,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
optimism,USD₮0,$0.999900,0.01%,"$115,095","$424,836",0.27,https://dexscreener.com/optimism/0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9
optimism,ALUSD,$0.991900,0.06%,"$61,237","$1,857,602",0.03,https://dexscreener.com/optimism/0x124d69daeda338b1b31ffc8e429e39c9a991164e
optimism,ALETH,$3139.810000,2.96%,"$61,020","$4,259,692",0.01,https://dexscreener.com/optimism/0xa1055762336f92b4b8d2edc032a0ce45ead6280a
optimism,OVER,$0.278900,-0.55%,"$20,723","$998,849",0.02,https://dexscreener.com/optimism/0x1eaa860dca29a5124f665f7d80affed92e877681
optimism,MOOBIFI,$189.900000,0.49%,"$10,748","$350,615",0.03,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
