=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
OP Mainnet,"$313,201,972",3.80%,7.98%,🔥 資金暴衝
Sui,"$1,048,505,217",3.76%,15.62%,🔥 資金暴衝
Bitcoin,"$7,268,268,920",1.82%,8.85%,🚀 加速流入
Aptos,"$455,345,254",1.19%,6.04%,🚀 加速流入
Arbitrum,"$3,110,897,999",1.03%,10.27%,🟢 穩健增長
Vaulta,"$395,288,660",0.92%,-5.78%,🟢 穩健增長
Tron,"$4,735,796,375",0.87%,8.11%,🟢 穩健增長
Base,"$4,847,981,631",0.57%,8.69%,🟢 穩健增長
Avalanche,"$1,346,786,466",0.45%,7.21%,🟢 穩健增長
Solana,"$8,989,168,173",0.12%,8.06%,🟢 穩健增長
Cronos,"$398,919,942",0.12%,8.20%,🟢 穩健增長
Mantle,"$339,361,524",0.10%,0.48%,🚀 加速流入
Ethereum,"$74,532,266,351",0.01%,9.29%,🟢 穩健增長
BSC,"$6,922,242,640",0.01%,6.28%,🟢 穩健增長
Hyperliquid L1,"$1,458,108,008",-1.03%,-1.09%,⚠️ 資金流出
Polygon,"$1,068,407,546",-3.99%,-8.52%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
optimism,USD₮0,$0.999800,-0.02%,"$117,458","$484,759",0.24,https://dexscreener.com/optimism/0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9
optimism,ALUSD,$0.992500,0.01%,"$60,883","$1,858,750",0.03,https://dexscreener.com/optimism/0x124d69daeda338b1b31ffc8e429e39c9a991164e
optimism,OVER,$0.277800,-1.08%,"$18,466","$995,345",0.02,https://dexscreener.com/optimism/0x1eaa860dca29a5124f665f7d80affed92e877681
optimism,MOOBIFI,$189.300000,-0.74%,"$10,029","$349,497",0.03,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,TAROT,$0.052380,0.53%,"$2,074","$453,631",0.00,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
sui,WAL,$0.146900,4.98%,"$370,878","$151,215",2.45,https://dexscreener.com/sui/0xf4238fa592c9ed7f148fd091cb2c4147cb15ad81b797115ce42971923ebf6e4c
sui,JACKSON,$0.049100,11.41%,"$176,147","$4,013,051",0.04,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,USDB,$0.999800,0.01%,"$93,954","$376,198",0.25,https://dexscreener.com/sui/0x6dc4048ae8eb73f24b6bc2381c0e6de9e7b06b01d96cee1eac2decd2400ffa46
sui,BLUB,$0.000000,12.54%,"$39,746","$290,540",0.14,https://dexscreener.com/sui/0x40a372f9ee1989d76ceb8e50941b04468f8551d091fb8a5d7211522e42e60aaf
arbitrum,PENDLE,$2.320000,3.21%,"$342,323","$444,454",0.77,https://dexscreener.com/arbitrum/0xe461f84c3fe6bcdd1162eb0ef4284f3bb6e4cad3
arbitrum,GNS,$1.140000,-2.44%,"$150,432","$644,898",0.23,https://dexscreener.com/arbitrum/0x9b6ff025aee245d314c09f57b72f0de6e231c3a6
arbitrum,GMX,$8.360000,1.46%,"$12,366","$67,379",0.18,https://dexscreener.com/arbitrum/0xc99be44383bc8d82357f5a1d9ae9976ee9d75bee
arbitrum,XAI,$0.017790,-0.31%,"$10,131","$74,002",0.14,https://dexscreener.com/arbitrum/0xba1cf57b1a7401cc24622366808cea1f209a2c50
arbitrum,T,$0.003044,-4.02%,"$7,455","$288,087",0.03,https://dexscreener.com/arbitrum/0xd971ff5a7530919ae67e06695710b262a72e8f2f
tron,PEPE,$0.005681,-38.96%,"$1,299,111","$470,252",2.76,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,SUNDOG,$0.012530,3.24%,"$286,028","$1,043,403",0.27,https://dexscreener.com/tron/tdr7rpu33htog8qo9i676v56bzcjkpjqox
tron,OSP,$1.960000,9.87%,"$90,116","$3,923,231",0.02,https://dexscreener.com/tron/tsqxeoxd6qwhunblj9slq7p8wy59oabuf8
tron,SUN,$0.020110,0.19%,"$70,746","$16,768,930",0.00,https://dexscreener.com/tron/thu6conqvz3phyhentdyw9ae3pgypwbsp6
tron,SUNCAT,$0.000465,-3.04%,"$20,635","$240,177",0.09,https://dexscreener.com/tron/thffwkt8qbmbzyhxen3dmknslm3dbsmmw4
base,CBBTC,$93778.170000,0.72%,"$76,237,345","$22,940,321",3.32,https://dexscreener.com/base/0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1
base,ZORA,$0.043620,-2.09%,"$1,530,273","$526,515",2.91,https://dexscreener.com/base/0x3f53f1fd5b7723ddf38d93a584d280b9b94c3111
base,KTA,$0.256800,6.39%,"$1,467,311","$8,893,539",0.16,https://dexscreener.com/base/0xd9edc75a3a797ec92ca370f19051babebfb2edee
base,RUSSELL,$0.008106,43.03%,"$1,177,038","$743,119",1.58,https://dexscreener.com/base/0xea8b7ed6170e0ea3703dde6b496b065a8ececd7b
base,MADURO,$0.002497,296.00%,"$1,143,474","$128,072",8.93,https://dexscreener.com/base/0x3f9942dc5146a4d5084996f8090a448a07c6cccc
avalanche,AUSD,$1.000000,-0.03%,"$11,935,661","$2,502,224",4.77,https://dexscreener.com/avalanche/0xcec377285abf370fdf872625d2742252656d631a
avalanche,PNG,$0.039510,4.65%,"$202,391","$332,774",0.61,https://dexscreener.com/avalanche/0xd7538cabbf8605bde1f4901b47b8d42c61de0367
avalanche,COQ,$0.000000,-1.38%,"$183,800","$973,101",0.19,https://dexscreener.com/avalanche/0x41ab86eecbd110a82ca602d032a461f453066f1e
avalanche,ARENA,$0.002274,2.74%,"$150,633","$331,755",0.45,https://dexscreener.com/avalanche/0xa78c3e56afb8d34a536825e2497255e78b388619
avalanche,JOE,$0.071270,-2.02%,"$46,630","$794,916",0.06,https://dexscreener.com/avalanche/0x454e67025631c065d3cfad6d71e6892f74487a15
solana,TRUMP,$5.580000,1.30%,"$94,875,942","$157,846,353",0.60,https://dexscreener.com/solana/9d9mb8kooffad3sctgztkxqypkshx6ezhbkio89ixyy2
