=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Sui,"$1,055,285,937",6.70%,16.37%,🔥 資金暴衝
OP Mainnet,"$312,661,704",3.98%,7.80%,🔥 資金暴衝
Aptos,"$455,301,309",3.23%,6.03%,🔥 資金暴衝
Ethereum,"$74,420,367,031",1.93%,9.12%,🚀 加速流入
Bitcoin,"$7,259,433,349",1.88%,8.72%,🚀 加速流入
Solana,"$8,946,987,966",1.83%,7.55%,🚀 加速流入
Arbitrum,"$3,109,915,186",1.63%,10.23%,🚀 加速流入
Vaulta,"$394,610,975",1.63%,-5.94%,🟢 穩健增長
BSC,"$6,899,118,180",1.18%,5.92%,🚀 加速流入
Tron,"$4,747,110,405",1.10%,8.37%,🟢 穩健增長
Base,"$4,847,346,545",0.83%,8.68%,🟢 穩健增長
Mantle,"$339,131,053",0.63%,0.41%,🚀 加速流入
Cronos,"$396,964,027",0.57%,7.67%,🟢 穩健增長
Avalanche,"$1,346,604,300",0.54%,7.20%,🟢 穩健增長
Hyperliquid L1,"$1,454,718,120",-1.03%,-1.32%,⚠️ 資金流出
Polygon,"$1,074,129,970",-3.37%,-8.03%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,USDB,$0.999800,-0.02%,"$490,758","$1,086,798",0.45,https://dexscreener.com/sui/0x7a0abae43a864801894c29d72c387ce7681ba752dd331492b32c3c5e1672c973
sui,WAL,$0.146500,6.38%,"$382,804","$152,059",2.52,https://dexscreener.com/sui/0xf4238fa592c9ed7f148fd091cb2c4147cb15ad81b797115ce42971923ebf6e4c
sui,JACKSON,$0.055530,26.87%,"$204,936","$4,505,054",0.05,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,NAVX,$0.022480,24.97%,"$187,751","$390,037",0.48,https://dexscreener.com/sui/0x0254747f5ca059a1972cd7f6016485d51392a3fde608107b93bbaebea550f703
sui,BLUB,$0.000000,8.08%,"$40,536","$283,248",0.14,https://dexscreener.com/sui/0x40a372f9ee1989d76ceb8e50941b04468f8551d091fb8a5d7211522e42e60aaf
optimism,USD₮0,$1.000014,-0.01%,"$118,671","$484,583",0.24,https://dexscreener.com/optimism/0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9
optimism,ALUSD,$0.992900,0.11%,"$61,299","$1,858,664",0.03,https://dexscreener.com/optimism/0x124d69daeda338b1b31ffc8e429e39c9a991164e
optimism,OVER,$0.276600,-0.97%,"$17,238","$991,042",0.02,https://dexscreener.com/optimism/0x1eaa860dca29a5124f665f7d80affed92e877681
optimism,MOOBIFI,$189.590000,0.71%,"$10,220","$349,629",0.03,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,TAROT,$0.052380,0.58%,"$2,077","$453,639",0.00,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
