=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Sui,"$1,055,285,937",6.70%,16.37%,🔥 資金暴衝
OP Mainnet,"$312,661,704",3.98%,7.80%,🔥 資金暴衝
Aptos,"$455,301,309",3.23%,6.03%,🔥 資金暴衝
Ethereum,"$74,420,367,031",1.93%,9.12%,🚀 加速流入
Bitcoin,"$7,259,433,349",1.88%,8.72%,🚀 加速流入
Solana,"$8,946,987,966",1.83%,7.55%,🚀 加速流入
Arbitrum,"$3,109,915,186",1.63%,10.23%,🚀 加速流入
Vaulta,"$394,610,975",1.63%,-5.94%,🟢 穩健增長
BSC,"$6,899,118,180",1.18%,5.92%,🚀 加速流入
Tron,"$4,747,110,405",1.10%,8.37%,🟢 穩健增長
Mantle,"$339,131,053",0.63%,0.41%,🚀 加速流入
Cronos,"$396,964,027",0.57%,7.67%,🟢 穩健增長
Base,"$4,832,190,876",0.52%,8.34%,🟢 穩健增長
Avalanche,"$1,341,922,774",0.19%,6.82%,🟢 穩健增長
Hyperliquid L1,"$1,454,718,120",-1.03%,-1.32%,⚠️ 資金流出
Polygon,"$1,074,129,970",-3.37%,-8.03%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,USDB,$0.999800,0.01%,"$490,863","$1,086,809",0.45,https://dexscreener.com/sui/0x7a0abae43a864801894c29d72c387ce7681ba752dd331492b32c3c5e1672c973
sui,WAL,$0.147100,6.82%,"$385,731","$152,177",2.53,https://dexscreener.com/sui/0xf4238fa592c9ed7f148fd091cb2c4147cb15ad81b797115ce42971923ebf6e4c
sui,JACKSON,$0.055640,28.07%,"$207,470","$4,514,248",0.05,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,NAVX,$0.022000,22.46%,"$192,146","$385,324",0.50,https://dexscreener.com/sui/0x0254747f5ca059a1972cd7f6016485d51392a3fde608107b93bbaebea550f703
optimism,USD₮0,$1.000014,-0.01%,"$118,671","$484,583",0.24,https://dexscreener.com/optimism/0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9
optimism,ALUSD,$0.991900,0.02%,"$61,254","$1,857,723",0.03,https://dexscreener.com/optimism/0x124d69daeda338b1b31ffc8e429e39c9a991164e
optimism,OVER,$0.277100,-0.79%,"$17,241","$992,834",0.02,https://dexscreener.com/optimism/0x1eaa860dca29a5124f665f7d80affed92e877681
optimism,MOOBIFI,$189.690000,-0.05%,"$8,320","$349,819",0.02,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,TAROT,$0.052380,0.58%,"$2,077","$453,641",0.00,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
ethereum,CBBTC,$94718.130000,1.94%,"$5,375,647","$218,058,373",0.02,https://dexscreener.com/ethereum/0x83f24023d15d835a213df24fd309c47dab5beb32
ethereum,PEPE,$0.000007,0.53%,"$4,864,857","$42,931,099",0.11,https://dexscreener.com/ethereum/0xa43fe16908251ee70ef74718545e4fe6c5ccec9f
ethereum,ETH+,$3449.770000,1.42%,"$1,254,366","$20,203,863",0.06,https://dexscreener.com/ethereum/0x2c683fad51da2cd17793219cc86439c1875c353e
ethereum,YEE,$0.027940,7.35%,"$1,229,139","$1,214,038",1.01,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
ethereum,MANYU,$0.000000,42.50%,"$742,089","$1,036,211",0.72,https://dexscreener.com/ethereum/0xc4704f13d5e08b27b039d53873e813dd2fad99d9
solana,TRUMP,$5.620000,2.43%,"$89,837,739","$158,516,731",0.57,https://dexscreener.com/solana/9d9mb8kooffad3sctgztkxqypkshx6ezhbkio89ixyy2
solana,JLP,$4.800000,0.79%,"$8,856,111","$2,811,874",3.15,https://dexscreener.com/solana/6nuivmsnjsi4afsmseiaezsav9n4n1zrd4jenuwnrvyb
solana,KASH,$0.001544,577.00%,"$6,260,441","$143,309",43.68,https://dexscreener.com/solana/xywwfyn3ckul1tewal7unet62c1wyrwihwryzpeepmy
