=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Sui,"$1,055,854,186",6.76%,16.43%,🔥 資金暴衝
OP Mainnet,"$312,858,439",4.04%,7.86%,🔥 資金暴衝
Aptos,"$455,475,181",3.27%,6.07%,🔥 資金暴衝
Ethereum,"$74,452,148,954",1.97%,9.17%,🚀 加速流入
Solana,"$8,948,953,904",1.91%,7.57%,🚀 加速流入
Bitcoin,"$7,259,290,433",1.88%,8.72%,🚀 加速流入
Vaulta,"$395,491,513",1.86%,-5.73%,🟢 穩健增長
Arbitrum,"$3,112,822,709",1.72%,10.34%,🚀 加速流入
BSC,"$6,898,865,403",1.17%,5.92%,🚀 加速流入
Tron,"$4,746,961,893",1.09%,8.37%,🟢 穩健增長
Mantle,"$339,131,828",0.63%,0.41%,🚀 加速流入
Cronos,"$396,945,675",0.57%,7.66%,🟢 穩健增長
Base,"$4,832,190,876",0.52%,8.34%,🟢 穩健增長
Avalanche,"$1,342,249,300",0.21%,6.85%,🟢 穩健增長
Hyperliquid L1,"$1,453,372,722",-1.12%,-1.41%,⚠️ 資金流出
Polygon,"$1,072,950,001",-3.47%,-8.14%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,MAGMA,$0.137300,-4.73%,"$1,377,046","$186,779",7.37,https://dexscreener.com/sui/0x9aedfbd1a64798b83a0d70d4432327c6372207aa2ff60ed828b799a634054411
sui,USDB,$0.999800,-0.01%,"$490,482","$1,086,813",0.45,https://dexscreener.com/sui/0x7a0abae43a864801894c29d72c387ce7681ba752dd331492b32c3c5e1672c973
sui,WAL,$0.147600,9.09%,"$383,706","$151,893",2.53,https://dexscreener.com/sui/0xf4238fa592c9ed7f148fd091cb2c4147cb15ad81b797115ce42971923ebf6e4c
sui,JACKSON,$0.055880,30.52%,"$213,466","$4,533,479",0.05,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,NAVX,$0.022340,25.44%,"$195,304","$389,367",0.50,https://dexscreener.com/sui/0x0254747f5ca059a1972cd7f6016485d51392a3fde608107b93bbaebea550f703
optimism,USD₮0,$1.000120,0.01%,"$118,617","$484,637",0.24,https://dexscreener.com/optimism/0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9
optimism,ALUSD,$0.993500,0.20%,"$56,694","$1,859,884",0.03,https://dexscreener.com/optimism/0x124d69daeda338b1b31ffc8e429e39c9a991164e
optimism,OVER,$0.277100,-0.33%,"$17,016","$992,834",0.02,https://dexscreener.com/optimism/0x1eaa860dca29a5124f665f7d80affed92e877681
optimism,MOOBIFI,$187.600000,-0.80%,"$8,978","$347,978",0.03,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,TAROT,$0.052400,0.88%,"$1,841","$453,743",0.00,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
ethereum,PEPE,$0.000007,0.44%,"$5,075,114","$42,733,760",0.12,https://dexscreener.com/ethereum/0xa43fe16908251ee70ef74718545e4fe6c5ccec9f
ethereum,CBBTC,$94718.130000,2.44%,"$3,848,653","$218,058,373",0.02,https://dexscreener.com/ethereum/0x83f24023d15d835a213df24fd309c47dab5beb32
ethereum,SUSDE,$1.210000,0.04%,"$2,040,316","$92,101,544",0.02,https://dexscreener.com/ethereum/0x744793b5110f6ca9cc7cdfe1ce16677c3eb192ef
ethereum,ETH+,$3446.870000,1.94%,"$1,244,093","$20,182,840",0.06,https://dexscreener.com/ethereum/0x2c683fad51da2cd17793219cc86439c1875c353e
ethereum,YEE,$0.027570,7.77%,"$1,229,681","$1,206,420",1.02,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
