=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Sui,"$1,059,061,291",7.09%,16.78%,🔥 資金暴衝
OP Mainnet,"$312,917,563",4.06%,7.88%,🔥 資金暴衝
Aptos,"$455,861,226",3.35%,6.16%,🔥 資金暴衝
Solana,"$8,979,671,209",2.26%,7.94%,🚀 加速流入
Ethereum,"$74,539,391,931",2.09%,9.30%,🚀 加速流入
Bitcoin,"$7,269,249,471",2.02%,8.87%,🚀 加速流入
Vaulta,"$395,404,910",1.83%,-5.75%,🟢 穩健增長
Arbitrum,"$3,115,264,901",1.80%,10.42%,🚀 加速流入
BSC,"$6,892,618,023",1.08%,5.82%,🚀 加速流入
Tron,"$4,743,214,363",1.01%,8.28%,🟢 穩健增長
Cronos,"$397,300,040",0.66%,7.76%,🟢 穩健增長
Mantle,"$339,131,828",0.63%,0.41%,🚀 加速流入
Base,"$4,833,973,604",0.55%,8.38%,🟢 穩健增長
Avalanche,"$1,344,886,547",0.41%,7.06%,🟢 穩健增長
Hyperliquid L1,"$1,453,372,722",-1.12%,-1.41%,⚠️ 資金流出
Polygon,"$1,074,570,607",-3.33%,-8.00%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,USDB,$1.000030,0.01%,"$490,939","$1,087,020",0.45,https://dexscreener.com/sui/0x7a0abae43a864801894c29d72c387ce7681ba752dd331492b32c3c5e1672c973
sui,WAL,$0.148100,8.53%,"$390,764","$154,036",2.54,https://dexscreener.com/sui/0xf4238fa592c9ed7f148fd091cb2c4147cb15ad81b797115ce42971923ebf6e4c
sui,JACKSON,$0.056550,30.70%,"$221,223","$4,587,221",0.05,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,HAEDAL,$0.046840,5.26%,"$87,863","$855,150",0.10,https://dexscreener.com/sui/0x711f5d37e3b09b026b182d9e0973d05e9a837d11066ff48f4a55a426d8913359
optimism,OVER,$0.277100,-0.43%,"$16,934","$992,834",0.02,https://dexscreener.com/optimism/0x1eaa860dca29a5124f665f7d80affed92e877681
optimism,MOOBIFI,$187.880000,-0.64%,"$8,681","$348,477",0.02,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,TAROT,$0.052400,0.88%,"$1,842","$453,748",0.00,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
optimism,OPP,$0.000401,2.36%,"$1,234","$166,589",0.01,https://dexscreener.com/optimism/0x62191c893df8d26ac295ba1274a00975dc07190c
solana,TRUMP,$5.580000,2.50%,"$87,946,847","$157,828,312",0.56,https://dexscreener.com/solana/9d9mb8kooffad3sctgztkxqypkshx6ezhbkio89ixyy2
solana,JLP,$4.800000,1.10%,"$9,016,613","$2,811,248",3.21,https://dexscreener.com/solana/6nuivmsnjsi4afsmseiaezsav9n4n1zrd4jenuwnrvyb
solana,FARTCOIN ,$0.448700,14.33%,"$6,475,788","$13,936,974",0.46,https://dexscreener.com/solana/bzc9nzfmqkxr6fz1dbph7bdf9broyef6pnzesp7v5iiw
solana,KASH,$0.001757,1028.00%,"$6,329,315","$153,086",41.34,https://dexscreener.com/solana/xywwfyn3ckul1tewal7unet62c1wyrwihwryzpeepmy
solana,RALPH,$0.003868,5663.00%,"$4,923,374","$179,043",27.50,https://dexscreener.com/solana/dbyk8geixwneh2zfw2lo1svuq1wkhaeqyndsrakq6bhf
ethereum,USDS,$0.999900,0.01%,"$48,281,234","$99,997,135",0.48,https://dexscreener.com/ethereum/0xa632d59b9b804a956bfaa9b48af3a1b74808fc1f
ethereum,CBBTC,$94718.130000,2.48%,"$3,756,186","$218,058,373",0.02,https://dexscreener.com/ethereum/0x83f24023d15d835a213df24fd309c47dab5beb32
ethereum,SUSDE,$1.210000,0.07%,"$2,033,711","$92,106,397",0.02,https://dexscreener.com/ethereum/0x744793b5110f6ca9cc7cdfe1ce16677c3eb192ef
ethereum,ETH+,$3445.012000,1.87%,"$1,339,678","$20,172,106",0.07,https://dexscreener.com/ethereum/0x2c683fad51da2cd17793219cc86439c1875c353e
ethereum,YEE,$0.026990,4.99%,"$1,228,399","$1,193,017",1.03,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
arbitrum,PENDLE,$2.330000,6.45%,"$314,994","$446,053",0.71,https://dexscreener.com/arbitrum/0xe461f84c3fe6bcdd1162eb0ef4284f3bb6e4cad3
arbitrum,GNS,$1.150000,-1.73%,"$147,464","$646,432",0.23,https://dexscreener.com/arbitrum/0x9b6ff025aee245d314c09f57b72f0de6e231c3a6
arbitrum,EPENDLE,$1.350000,8.76%,"$16,374","$568,411",0.03,https://dexscreener.com/arbitrum/0x6ad17e1133af65a8e3a9074e72004faef1e2341e
arbitrum,XAI,$0.017880,2.86%,"$10,176","$74,354",0.14,https://dexscreener.com/arbitrum/0xba1cf57b1a7401cc24622366808cea1f209a2c50
arbitrum,GMX,$8.390000,2.94%,"$9,640","$67,589",0.14,https://dexscreener.com/arbitrum/0xc99be44383bc8d82357f5a1d9ae9976ee9d75bee
bsc,RIVER,$15.450000,1.93%,"$8,134,358","$122,930",66.17,https://dexscreener.com/bsc/0xb249b6e4ac29301f680963a45fac7d09779ef980
bsc,PIZZA6900,$0.000349,219.00%,"$4,427,037","$76,969",57.52,https://dexscreener.com/bsc/0x30b81118499e89c212d3cffa6c2ada7e2869f71f
bsc,ARK,$19.280000,-1.31%,"$4,404,890","$85,457,513",0.05,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
bsc,哈基米,$0.039420,-16.72%,"$2,722,422","$1,765,814",1.54,https://dexscreener.com/bsc/0xc33bacff9141da689875e6381c1932348ab4c5cb
