=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Sui,"$1,068,879,654",8.08%,17.87%,🔥 資金暴衝
OP Mainnet,"$312,980,389",4.09%,7.91%,🔥 資金暴衝
Mantle,"$347,745,518",3.18%,2.96%,🔥 資金暴衝
Aptos,"$452,322,956",2.55%,5.34%,🚀 加速流入
Solana,"$8,999,061,932",2.49%,8.17%,🚀 加速流入
Ethereum,"$74,725,068,551",2.37%,9.57%,🚀 加速流入
Bitcoin,"$7,236,072,123",1.56%,8.37%,🚀 加速流入
BSC,"$6,922,600,037",1.55%,6.28%,🚀 加速流入
Vaulta,"$394,036,644",1.48%,-6.08%,🟢 穩健增長
Arbitrum,"$3,095,861,996",1.17%,9.74%,🟢 穩健增長
Avalanche,"$1,353,655,236",1.06%,7.76%,🟢 穩健增長
Base,"$4,839,685,272",0.77%,8.51%,🟢 穩健增長
Cronos,"$397,731,090",0.76%,7.87%,🟢 穩健增長
Tron,"$4,721,367,425",0.55%,7.79%,🟢 穩健增長
Hyperliquid L1,"$1,471,748,071",0.13%,-0.16%,🟢 穩健增長
Polygon,"$1,068,116,125",-3.91%,-8.55%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,JACKSON,$0.057370,35.41%,"$244,181","$4,652,911",0.05,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,IKA,$0.008412,9.85%,"$93,514","$109,410",0.85,https://dexscreener.com/sui/0xc23e7e8a74f0b18af4dfb7c3280e2a56916ec4d41e14416f85184a8aab6b7789
sui,USDB,$0.999800,-0.02%,"$75,559","$376,203",0.20,https://dexscreener.com/sui/0x6dc4048ae8eb73f24b6bc2381c0e6de9e7b06b01d96cee1eac2decd2400ffa46
optimism,USD₮0,$0.999700,-0.03%,"$327,415","$458,921",0.71,https://dexscreener.com/optimism/0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9
optimism,OVER,$0.277000,-0.82%,"$16,379","$994,551",0.02,https://dexscreener.com/optimism/0x1eaa860dca29a5124f665f7d80affed92e877681
optimism,MOOBIFI,$187.100000,-0.75%,"$10,777","$348,212",0.03,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,TAROT,$0.052470,1.40%,"$1,534","$454,028",0.00,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
optimism,OPP,$0.000402,3.33%,"$1,142","$166,926",0.01,https://dexscreener.com/optimism/0x62191c893df8d26ac295ba1274a00975dc07190c
solana,TRUMP,$5.620000,2.03%,"$70,344,187","$158,546,327",0.44,https://dexscreener.com/solana/9d9mb8kooffad3sctgztkxqypkshx6ezhbkio89ixyy2
solana,JLP,$4.810000,2.09%,"$8,758,717","$2,811,627",3.12,https://dexscreener.com/solana/6nuivmsnjsi4afsmseiaezsav9n4n1zrd4jenuwnrvyb
