=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Sui,"$1,071,710,718",8.36%,18.18%,🔥 資金暴衝
Mantle,"$347,599,549",3.14%,2.92%,🔥 資金暴衝
Aptos,"$453,409,019",2.80%,5.59%,🚀 加速流入
Solana,"$8,993,531,663",2.42%,8.11%,🚀 加速流入
Ethereum,"$74,701,259,241",2.34%,9.54%,🚀 加速流入
OP Mainnet,"$306,153,164",1.82%,5.55%,🚀 加速流入
Vaulta,"$395,042,275",1.74%,-5.84%,🟢 穩健增長
BSC,"$6,918,093,074",1.48%,6.21%,🚀 加速流入
Bitcoin,"$7,219,895,064",1.33%,8.13%,🚀 加速流入
Cronos,"$399,929,226",1.32%,8.47%,🚀 加速流入
Arbitrum,"$3,094,429,549",1.13%,9.68%,🟢 穩健增長
Avalanche,"$1,353,655,236",1.06%,7.76%,🟢 穩健增長
Base,"$4,851,078,210",1.01%,8.76%,🟢 穩健增長
Tron,"$4,725,873,913",0.64%,7.89%,🟢 穩健增長
Polygon,"$1,067,560,676",-3.96%,-8.60%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,JACKSON,$0.057970,37.79%,"$245,027","$4,700,218",0.05,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,IKA,$0.008459,11.90%,"$93,082","$110,059",0.85,https://dexscreener.com/sui/0xc23e7e8a74f0b18af4dfb7c3280e2a56916ec4d41e14416f85184a8aab6b7789
sui,USDB,$0.999800,-0.02%,"$76,622","$376,203",0.20,https://dexscreener.com/sui/0x6dc4048ae8eb73f24b6bc2381c0e6de9e7b06b01d96cee1eac2decd2400ffa46
solana,TRUMP,$5.620000,2.52%,"$67,979,814","$158,537,913",0.43,https://dexscreener.com/solana/9d9mb8kooffad3sctgztkxqypkshx6ezhbkio89ixyy2
solana,JLP,$4.870000,3.54%,"$9,047,499","$2,824,913",3.20,https://dexscreener.com/solana/6nuivmsnjsi4afsmseiaezsav9n4n1zrd4jenuwnrvyb
solana,KASH,$0.002199,885.00%,"$6,958,022","$173,220",40.17,https://dexscreener.com/solana/xywwfyn3ckul1tewal7unet62c1wyrwihwryzpeepmy
solana,FARTCOIN ,$0.455300,21.46%,"$6,454,954","$14,275,718",0.45,https://dexscreener.com/solana/bzc9nzfmqkxr6fz1dbph7bdf9broyef6pnzesp7v5iiw
solana,RALPH,$0.002727,227.00%,"$3,769,448","$150,703",25.01,https://dexscreener.com/solana/dbyk8geixwneh2zfw2lo1svuq1wkhaeqyndsrakq6bhf
ethereum,FRXUSD,$1.000058,-0.04%,"$4,082,438","$40,086,443",0.10,https://dexscreener.com/ethereum/0x13e12bb0e6a2f1a3d6901a59a9d585e89a6243e1
ethereum,YEE,$0.024830,-9.60%,"$1,481,527","$1,158,700",1.28,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
