=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Sui,"$1,068,879,654",8.08%,17.87%,🔥 資金暴衝
Mantle,"$347,599,549",3.14%,2.92%,🔥 資金暴衝
Aptos,"$453,459,158",2.81%,5.60%,🚀 加速流入
Solana,"$9,011,803,682",2.63%,8.33%,🚀 加速流入
Ethereum,"$74,701,259,241",2.34%,9.54%,🚀 加速流入
Vaulta,"$395,051,107",1.74%,-5.84%,🟢 穩健增長
BSC,"$6,927,134,359",1.61%,6.35%,🚀 加速流入
Bitcoin,"$7,219,895,064",1.33%,8.13%,🚀 加速流入
Arbitrum,"$3,094,429,549",1.13%,9.68%,🟢 穩健增長
Avalanche,"$1,354,066,644",1.10%,7.79%,🟢 穩健增長
Cronos,"$397,731,090",0.76%,7.87%,🟢 穩健增長
Tron,"$4,726,413,279",0.66%,7.90%,🟢 穩健增長
Base,"$4,827,028,513",0.51%,8.22%,🟢 穩健增長
OP Mainnet,"$302,024,962",0.44%,4.13%,🟢 穩健增長
Hyperliquid L1,"$1,471,748,071",0.13%,-0.16%,🟢 穩健增長
Polygon,"$1,067,560,676",-3.96%,-8.60%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,JACKSON,$0.057480,34.78%,"$247,122","$4,659,032",0.05,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,IKA,$0.008330,7.62%,"$93,826","$108,207",0.87,https://dexscreener.com/sui/0xc23e7e8a74f0b18af4dfb7c3280e2a56916ec4d41e14416f85184a8aab6b7789
solana,TRUMP,$5.560000,1.01%,"$64,728,690","$157,599,083",0.41,https://dexscreener.com/solana/9d9mb8kooffad3sctgztkxqypkshx6ezhbkio89ixyy2
solana,JLP,$4.860000,2.59%,"$8,935,204","$2,813,364",3.18,https://dexscreener.com/solana/6nuivmsnjsi4afsmseiaezsav9n4n1zrd4jenuwnrvyb
solana,KASH,$0.002771,1322.00%,"$7,054,973","$194,596",36.25,https://dexscreener.com/solana/xywwfyn3ckul1tewal7unet62c1wyrwihwryzpeepmy
solana,FARTCOIN ,$0.451200,18.67%,"$6,611,466","$14,168,986",0.47,https://dexscreener.com/solana/bzc9nzfmqkxr6fz1dbph7bdf9broyef6pnzesp7v5iiw
solana,RALPH,$0.002573,218.00%,"$3,702,559","$145,495",25.45,https://dexscreener.com/solana/dbyk8geixwneh2zfw2lo1svuq1wkhaeqyndsrakq6bhf
ethereum,SUSDS,$1.082000,-0.02%,"$145,213,647","$50,041,325",2.90,https://dexscreener.com/ethereum/0x00836fe54625be242bcfa286207795405ca4fd10
ethereum,USDS,$0.999800,-0.02%,"$46,903,173","$99,991,647",0.47,https://dexscreener.com/ethereum/0xa632d59b9b804a956bfaa9b48af3a1b74808fc1f
ethereum,NUSD,$1.000200,0.05%,"$7,657,810","$11,415,125",0.67,https://dexscreener.com/ethereum/0x7e19f0253a564e026c63eeaa9338d6dbddef3b09
