=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Sui,"$1,069,059,783",8.10%,17.89%,🔥 資金暴衝
Mantle,"$347,168,061",3.01%,2.79%,🔥 資金暴衝
Aptos,"$452,985,800",2.70%,5.49%,🚀 加速流入
Solana,"$9,014,635,873",2.66%,8.36%,🚀 加速流入
Ethereum,"$74,646,245,408",2.26%,9.45%,🚀 加速流入
Bitcoin,"$7,249,735,054",1.75%,8.58%,🚀 加速流入
Vaulta,"$395,051,107",1.74%,-5.84%,🟢 穩健增長
BSC,"$6,927,735,095",1.62%,6.36%,🚀 加速流入
Cronos,"$399,909,996",1.32%,8.47%,🚀 加速流入
Arbitrum,"$3,099,841,236",1.30%,9.88%,🟢 穩健增長
Avalanche,"$1,354,066,644",1.10%,7.79%,🟢 穩健增長
Tron,"$4,726,413,279",0.66%,7.90%,🟢 穩健增長
Base,"$4,828,830,587",0.55%,8.26%,🟢 穩健增長
OP Mainnet,"$302,024,962",0.44%,4.13%,🟢 穩健增長
Polygon,"$1,068,301,625",-3.89%,-8.53%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,JACKSON,$0.057370,32.78%,"$248,730","$4,649,428",0.05,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,IKA,$0.008295,5.90%,"$96,266","$107,875",0.89,https://dexscreener.com/sui/0xc23e7e8a74f0b18af4dfb7c3280e2a56916ec4d41e14416f85184a8aab6b7789
solana,JLP,$4.850000,1.93%,"$8,883,583","$2,808,515",3.16,https://dexscreener.com/solana/6nuivmsnjsi4afsmseiaezsav9n4n1zrd4jenuwnrvyb
solana,KASH,$0.002114,1259.00%,"$7,153,175","$170,292",42.01,https://dexscreener.com/solana/xywwfyn3ckul1tewal7unet62c1wyrwihwryzpeepmy
solana,FARTCOIN ,$0.440900,14.27%,"$6,737,370","$14,002,119",0.48,https://dexscreener.com/solana/bzc9nzfmqkxr6fz1dbph7bdf9broyef6pnzesp7v5iiw
solana,RALPH,$0.002501,227.00%,"$3,617,731","$143,525",25.21,https://dexscreener.com/solana/dbyk8geixwneh2zfw2lo1svuq1wkhaeqyndsrakq6bhf
solana,MR. TARIFF,$0.000623,956.00%,"$3,402,562","$99,822",34.09,https://dexscreener.com/solana/4jjsok8ereabjkybbs2xluwc7jnara8imushppcammvr
ethereum,SUSDS,$1.082000,-0.01%,"$143,764,914","$50,041,228",2.87,https://dexscreener.com/ethereum/0x00836fe54625be242bcfa286207795405ca4fd10
ethereum,USDS,$0.999800,-0.02%,"$42,757,570","$99,992,149",0.43,https://dexscreener.com/ethereum/0xa632d59b9b804a956bfaa9b48af3a1b74808fc1f
ethereum,NUSD,$1.000006,0.02%,"$7,234,512","$11,413,992",0.63,https://dexscreener.com/ethereum/0x7e19f0253a564e026c63eeaa9338d6dbddef3b09
ethereum,FRXUSD,$1.000064,-0.04%,"$3,782,575","$40,086,532",0.09,https://dexscreener.com/ethereum/0x13e12bb0e6a2f1a3d6901a59a9d585e89a6243e1
ethereum,ETH+,$3520.040000,3.18%,"$1,853,293","$21,278,188",0.09,https://dexscreener.com/ethereum/0x2c683fad51da2cd17793219cc86439c1875c353e
bsc,RIVER,$22.032000,12.62%,"$9,453,358","$155,898",60.64,https://dexscreener.com/bsc/0xb249b6e4ac29301f680963a45fac7d09779ef980
bsc,ARK,$19.300000,-1.56%,"$3,975,283","$85,510,292",0.05,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
bsc,BROCCOLI,$0.036290,36.30%,"$3,390,587","$2,868,641",1.18,https://dexscreener.com/bsc/0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b
bsc,CRYPTO WINTER,$0.001258,6898.00%,"$3,258,642","$151,674",21.48,https://dexscreener.com/bsc/0x8e5f900d2b9a1d344c181058e8a2b4af9cd86d3e
bsc,哈基米,$0.041180,-8.31%,"$2,389,500","$1,821,078",1.31,https://dexscreener.com/bsc/0xc33bacff9141da689875e6381c1932348ab4c5cb
cronos,H2,$0.000668,-0.34%,$335,"$109,224",0.00,https://dexscreener.com/cronos/0x910c37d26a9eb4aadff925b47ffde6308e03fa37
cronos,FM,$0.007464,4.46%,$299,"$202,558",0.00,https://dexscreener.com/cronos/0x1577b7e25ef2b136e643271fb7116141bad61c35
cronos,AGENTFUN,$1.088000,0.00%,$1,"$515,634",0.00,https://dexscreener.com/cronos/0x861a978dc3c8183ce245a888f32e4eedd595aaa0
arbitrum,PENDLE,$2.320000,4.06%,"$344,324","$446,576",0.77,https://dexscreener.com/arbitrum/0xe461f84c3fe6bcdd1162eb0ef4284f3bb6e4cad3
arbitrum,GNS,$1.140000,-1.05%,"$179,551","$642,872",0.28,https://dexscreener.com/arbitrum/0x9b6ff025aee245d314c09f57b72f0de6e231c3a6
arbitrum,MAFLD,$0.004741,841.00%,"$63,163","$185,065",0.34,https://dexscreener.com/arbitrum/0x4e1837bb647c982b7b3e698d677bb0c47a01615a
arbitrum,ZRO,$1.440000,3.15%,"$18,767","$60,471",0.31,https://dexscreener.com/arbitrum/0x105ba85d9047daf3f9fe941d8188d4b9a6900388
arbitrum,T,$0.003142,6.70%,"$12,461","$294,329",0.04,https://dexscreener.com/arbitrum/0xd971ff5a7530919ae67e06695710b262a72e8f2f
avalanche,COQ,$0.000000,3.08%,"$197,467","$985,649",0.20,https://dexscreener.com/avalanche/0x41ab86eecbd110a82ca602d032a461f453066f1e
avalanche,ARENA,$0.002309,5.23%,"$158,378","$334,862",0.47,https://dexscreener.com/avalanche/0xa78c3e56afb8d34a536825e2497255e78b388619
avalanche,GUN,$0.015940,12.87%,"$84,928","$342,430",0.25,https://dexscreener.com/avalanche/0xbd26e663281fb35d4757219eb180f02e8a065c09
avalanche,JOE,$0.071530,0.92%,"$47,757","$799,774",0.06,https://dexscreener.com/avalanche/0x454e67025631c065d3cfad6d71e6892f74487a15
avalanche,GMX,$8.590000,4.59%,"$19,498","$1,276,116",0.02,https://dexscreener.com/avalanche/0x0c91a070f862666bbcce281346be45766d874d98
tron,PEPE,$0.005321,-23.63%,"$692,717","$455,914",1.52,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,BTT,$0.000000,0.03%,"$338,665","$4,359,396",0.08,https://dexscreener.com/tron/tlkyq7ej4ykbs3tgevobjwkaxwyqkwo2nn
tron,OSP,$2.170000,11.70%,"$99,185","$4,348,884",0.02,https://dexscreener.com/tron/tsqxeoxd6qwhunblj9slq7p8wy59oabuf8
tron,SUN,$0.020220,0.72%,"$47,380","$16,821,755",0.00,https://dexscreener.com/tron/thu6conqvz3phyhentdyw9ae3pgypwbsp6
tron,OSK,$85.550000,0.23%,"$29,177","$216,038",0.14,https://dexscreener.com/tron/ttrhkxr6cmrb5euwhphjjs5kgnbntrhqyz
base,ZORA,$0.044070,-2.85%,"$2,400,042","$11,876,104",0.20,https://dexscreener.com/base/0xedc625b74537ee3a10874f53d170e9c17a906b9c
base,RUSSELL,$0.008149,64.63%,"$1,286,694","$751,593",1.71,https://dexscreener.com/base/0xea8b7ed6170e0ea3703dde6b496b065a8ececd7b
base,REI,$0.020860,22.43%,"$1,074,282","$2,333,117",0.46,https://dexscreener.com/base/0x34e3334e845d101205394e0bd8821fddc7cd5559
