=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Sui,"$1,070,191,954",8.21%,18.01%,🔥 資金暴衝
Ethereum,"$75,324,411,969",3.19%,10.45%,🔥 資金暴衝
Mantle,"$347,694,769",3.17%,2.95%,🔥 資金暴衝
Solana,"$9,035,685,733",2.90%,8.61%,🚀 加速流入
Aptos,"$452,985,800",2.70%,5.49%,🚀 加速流入
OP Mainnet,"$306,918,516",2.07%,5.82%,🚀 加速流入
Vaulta,"$395,649,169",1.90%,-5.70%,🟢 穩健增長
Bitcoin,"$7,251,538,712",1.77%,8.60%,🚀 加速流入
BSC,"$6,930,590,720",1.66%,6.40%,🚀 加速流入
Arbitrum,"$3,109,657,752",1.62%,10.22%,🚀 加速流入
Tron,"$4,768,308,024",1.55%,8.86%,🚀 加速流入
Cronos,"$399,913,798",1.32%,8.47%,🚀 加速流入
Avalanche,"$1,355,629,605",1.21%,7.91%,🚀 加速流入
Base,"$4,847,672,193",0.94%,8.69%,🟢 穩健增長
Hyperliquid L1,"$1,463,464,338",-0.44%,-0.73%,⚠️ 資金流出
Polygon,"$1,070,228,182",-3.72%,-8.37%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,JACKSON,$0.055750,29.47%,"$249,914","$4,517,258",0.06,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,HAEDAL,$0.046570,2.23%,"$115,428","$853,376",0.14,https://dexscreener.com/sui/0x711f5d37e3b09b026b182d9e0973d05e9a837d11066ff48f4a55a426d8913359
sui,IKA,$0.008092,5.88%,"$88,592","$104,768",0.85,https://dexscreener.com/sui/0xc23e7e8a74f0b18af4dfb7c3280e2a56916ec4d41e14416f85184a8aab6b7789
ethereum,SUSDS,$1.082000,0.01%,"$139,279,805","$50,041,258",2.78,https://dexscreener.com/ethereum/0x00836fe54625be242bcfa286207795405ca4fd10
ethereum,NUSD,$1.000005,0.03%,"$6,206,194","$11,413,989",0.54,https://dexscreener.com/ethereum/0x7e19f0253a564e026c63eeaa9338d6dbddef3b09
ethereum,ETH+,$3486.550000,2.59%,"$1,857,294","$21,071,543",0.09,https://dexscreener.com/ethereum/0x2c683fad51da2cd17793219cc86439c1875c353e
ethereum,YEE,$0.025980,-10.92%,"$1,322,219","$1,176,946",1.12,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
ethereum,MANYU,$0.000000,32.76%,"$1,105,352","$1,084,116",1.02,https://dexscreener.com/ethereum/0xc4704f13d5e08b27b039d53873e813dd2fad99d9
solana,JLP,$4.800000,1.10%,"$9,049,816","$2,808,892",3.22,https://dexscreener.com/solana/6nuivmsnjsi4afsmseiaezsav9n4n1zrd4jenuwnrvyb
solana,KASH,$0.001793,843.00%,"$7,224,320","$157,120",45.98,https://dexscreener.com/solana/xywwfyn3ckul1tewal7unet62c1wyrwihwryzpeepmy
solana,FARTCOIN ,$0.419300,7.41%,"$6,763,667","$13,518,045",0.50,https://dexscreener.com/solana/bzc9nzfmqkxr6fz1dbph7bdf9broyef6pnzesp7v5iiw
solana,MR. TARIFF,$0.000394,568.00%,"$3,991,446","$70,668",56.48,https://dexscreener.com/solana/4jjsok8ereabjkybbs2xluwc7jnara8imushppcammvr
solana,RALPH,$0.002334,158.00%,"$3,600,689","$137,130",26.26,https://dexscreener.com/solana/dbyk8geixwneh2zfw2lo1svuq1wkhaeqyndsrakq6bhf
optimism,USD₮0,$1.000320,0.05%,"$359,078","$458,494",0.78,https://dexscreener.com/optimism/0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9
optimism,OVER,$0.268600,-3.84%,"$51,622","$982,024",0.05,https://dexscreener.com/optimism/0x1eaa860dca29a5124f665f7d80affed92e877681
optimism,OPP,$0.000440,12.07%,"$16,145","$170,778",0.09,https://dexscreener.com/optimism/0x62191c893df8d26ac295ba1274a00975dc07190c
optimism,MOOBIFI,$187.440000,-1.50%,"$11,099","$349,470",0.03,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,TAROT,$0.052720,1.64%,"$2,665","$455,110",0.01,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
bsc,RIVER,$23.110000,16.70%,"$9,413,050","$162,018",58.10,https://dexscreener.com/bsc/0xb249b6e4ac29301f680963a45fac7d09779ef980
bsc,CRYPTO WINTER,$0.000646,3280.00%,"$4,120,635","$110,251",37.38,https://dexscreener.com/bsc/0x8e5f900d2b9a1d344c181058e8a2b4af9cd86d3e
bsc,ARK,$19.290000,-1.38%,"$3,970,489","$85,478,080",0.05,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
bsc,BROCCOLI,$0.037320,41.17%,"$3,484,075","$2,886,475",1.21,https://dexscreener.com/bsc/0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b
bsc,哈基米,$0.039070,-12.61%,"$2,430,508","$1,767,620",1.38,https://dexscreener.com/bsc/0xc33bacff9141da689875e6381c1932348ab4c5cb
arbitrum,GNS,$1.140000,-1.41%,"$176,461","$638,422",0.28,https://dexscreener.com/arbitrum/0x9b6ff025aee245d314c09f57b72f0de6e231c3a6
arbitrum,MAFLD,$0.005067,906.00%,"$66,302","$191,344",0.35,https://dexscreener.com/arbitrum/0x4e1837bb647c982b7b3e698d677bb0c47a01615a
arbitrum,ZRO,$1.410000,1.47%,"$21,079","$59,700",0.35,https://dexscreener.com/arbitrum/0x105ba85d9047daf3f9fe941d8188d4b9a6900388
arbitrum,PEAR,$0.029590,-0.45%,"$13,757","$997,737",0.01,https://dexscreener.com/arbitrum/0x299c7d6f2ef82cb52b2ab83b14f05c6b2b803aba
arbitrum,T,$0.003128,6.24%,"$12,976","$291,720",0.04,https://dexscreener.com/arbitrum/0xd971ff5a7530919ae67e06695710b262a72e8f2f
tron,PEPE,$0.005337,-22.97%,"$698,852","$456,552",1.53,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,BTT,$0.000000,-0.37%,"$336,784","$4,354,547",0.08,https://dexscreener.com/tron/tlkyq7ej4ykbs3tgevobjwkaxwyqkwo2nn
tron,OSP,$2.170000,11.70%,"$99,185","$4,348,884",0.02,https://dexscreener.com/tron/tsqxeoxd6qwhunblj9slq7p8wy59oabuf8
tron,SUN,$0.020220,0.72%,"$47,380","$16,821,755",0.00,https://dexscreener.com/tron/thu6conqvz3phyhentdyw9ae3pgypwbsp6
tron,OSK,$85.550000,1.35%,"$28,328","$216,038",0.13,https://dexscreener.com/tron/ttrhkxr6cmrb5euwhphjjs5kgnbntrhqyz
cronos,MMF,$0.000127,1.23%,$643,"$79,851",0.01,https://dexscreener.com/cronos/0xba452a1c0875d33a440259b1ea4dca8f5d86d9ae
cronos,H2,$0.000668,-0.34%,$335,"$109,224",0.00,https://dexscreener.com/cronos/0x910c37d26a9eb4aadff925b47ffde6308e03fa37
cronos,FM,$0.007464,4.46%,$299,"$202,558",0.00,https://dexscreener.com/cronos/0x1577b7e25ef2b136e643271fb7116141bad61c35
cronos,AGENTFUN,$1.088000,0.00%,$1,"$515,634",0.00,https://dexscreener.com/cronos/0x861a978dc3c8183ce245a888f32e4eedd595aaa0
avalanche,COQ,$0.000000,2.77%,"$197,136","$978,926",0.20,https://dexscreener.com/avalanche/0x41ab86eecbd110a82ca602d032a461f453066f1e
avalanche,ARENA,$0.002309,5.07%,"$157,836","$334,927",0.47,https://dexscreener.com/avalanche/0xa78c3e56afb8d34a536825e2497255e78b388619
avalanche,GUN,$0.015710,11.01%,"$85,933","$340,189",0.25,https://dexscreener.com/avalanche/0xbd26e663281fb35d4757219eb180f02e8a065c09
avalanche,JOE,$0.070000,-1.20%,"$50,230","$790,080",0.06,https://dexscreener.com/avalanche/0x454e67025631c065d3cfad6d71e6892f74487a15
avalanche,GMX,$8.470000,3.46%,"$20,700","$1,261,687",0.02,https://dexscreener.com/avalanche/0x0c91a070f862666bbcce281346be45766d874d98
base,ZORA,$0.043380,-2.54%,"$2,324,741","$11,728,676",0.20,https://dexscreener.com/base/0xedc625b74537ee3a10874f53d170e9c17a906b9c
base,RUSSELL,$0.007784,56.24%,"$1,293,865","$732,508",1.77,https://dexscreener.com/base/0xea8b7ed6170e0ea3703dde6b496b065a8ececd7b
base,VVV,$2.200000,16.16%,"$1,201,090","$6,707,738",0.18,https://dexscreener.com/base/0x01784ef301d79e4b2df3a21ad9a536d4cf09a5ce
base,REI,$0.020850,23.47%,"$988,021","$2,327,524",0.42,https://dexscreener.com/base/0x34e3334e845d101205394e0bd8821fddc7cd5559
base,DRB,$0.000100,57.79%,"$871,527","$1,149,212",0.76,https://dexscreener.com/base/0x5116773e18a9c7bb03ebb961b38678e45e238923
polygon,SUT,$1.330000,20.71%,"$491,717","$734,184",0.67,https://dexscreener.com/polygon/0x6699f00b75741fc7ca4d20e190f763086f77cb41
polygon,AS,$1.240000,0.02%,"$295,532","$17,092,924",0.02,https://dexscreener.com/polygon/0x1a9221261dc445d773e66075b9e9e52f40e15ab1
polygon,AAVE,$171.100000,0.60%,"$47,350","$111,105",0.43,https://dexscreener.com/polygon/0x44720a6f572649526ac9073cae9200755cc78e0a
polygon,TEL,$0.004089,1.68%,"$21,787","$111,097",0.20,https://dexscreener.com/polygon/0xa5cabfc725dfa129f618d527e93702d10412f039
polygon,KARMA,$0.018780,0.18%,"$8,191","$186,533",0.04,https://dexscreener.com/polygon/0x6d1f31e55816141c3359c868ef9503378afc590f
