=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Sui,"$1,054,279,273",6.60%,16.26%,🔥 資金暴衝
Aptos,"$459,068,422",4.08%,6.91%,🔥 資金暴衝
Ethereum,"$75,212,474,242",3.22%,10.28%,🔥 資金暴衝
Mantle,"$347,643,246",3.15%,2.93%,🔥 資金暴衝
Solana,"$9,051,995,155",3.09%,8.81%,🔥 資金暴衝
OP Mainnet,"$307,499,486",2.68%,6.02%,🚀 加速流入
Base,"$4,853,340,063",2.39%,8.81%,🚀 加速流入
Arbitrum,"$3,112,663,569",1.86%,10.33%,🚀 加速流入
Vaulta,"$394,827,442",1.68%,-5.89%,🟢 穩健增長
BSC,"$6,925,043,939",1.58%,6.32%,🚀 加速流入
Cronos,"$398,826,284",1.04%,8.17%,🟢 穩健增長
Avalanche,"$1,350,574,110",0.83%,7.51%,🟢 穩健增長
Bitcoin,"$7,127,084,902",0.03%,6.74%,🟢 穩健增長
Tron,"$4,689,439,755",-0.13%,7.06%,⚠️ 資金流出
Hyperliquid L1,"$1,467,218,732",-0.27%,-0.47%,⚠️ 資金流出
Polygon,"$1,070,885,528",-3.62%,-8.31%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,JACKSON,$0.054230,26.21%,"$250,928","$4,396,063",0.06,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,IKA,$0.008083,5.50%,"$91,650","$103,794",0.88,https://dexscreener.com/sui/0xc23e7e8a74f0b18af4dfb7c3280e2a56916ec4d41e14416f85184a8aab6b7789
sui,USDB,$0.999800,-0.02%,"$80,095","$376,204",0.21,https://dexscreener.com/sui/0x6dc4048ae8eb73f24b6bc2381c0e6de9e7b06b01d96cee1eac2decd2400ffa46
ethereum,FRXUSD,$0.999800,-0.06%,"$3,725,009","$40,082,817",0.09,https://dexscreener.com/ethereum/0x13e12bb0e6a2f1a3d6901a59a9d585e89a6243e1
ethereum,ETH+,$3475.620000,2.82%,"$1,848,208","$21,009,722",0.09,https://dexscreener.com/ethereum/0x2c683fad51da2cd17793219cc86439c1875c353e
ethereum,YEE,$0.026750,-8.68%,"$1,349,634","$1,194,425",1.13,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
ethereum,MANYU,$0.000000,32.25%,"$1,146,015","$1,070,396",1.07,https://dexscreener.com/ethereum/0xc4704f13d5e08b27b039d53873e813dd2fad99d9
ethereum,NPC,$0.013770,4.41%,"$988,793","$4,292,646",0.23,https://dexscreener.com/ethereum/0x69c7bd26512f52bf6f76fab834140d13dda673ca
solana,JLP,$4.790000,1.26%,"$9,379,260","$2,800,764",3.35,https://dexscreener.com/solana/6nuivmsnjsi4afsmseiaezsav9n4n1zrd4jenuwnrvyb
solana,KASH,$0.001775,1437.00%,"$7,375,822","$156,552",47.11,https://dexscreener.com/solana/xywwfyn3ckul1tewal7unet62c1wyrwihwryzpeepmy
solana,FARTCOIN ,$0.430100,11.52%,"$6,982,377","$13,649,540",0.51,https://dexscreener.com/solana/bzc9nzfmqkxr6fz1dbph7bdf9broyef6pnzesp7v5iiw
solana,MR. TARIFF,$0.000434,637.00%,"$4,162,978","$69,933",59.53,https://dexscreener.com/solana/4jjsok8ereabjkybbs2xluwc7jnara8imushppcammvr
solana,BOB,$0.000178,211.00%,"$3,669,057","$45,794",80.12,https://dexscreener.com/solana/6apwljue6sgd8sox5ohqyysjhhphoadprdznovvs7vpa
optimism,USD₮0,$0.999900,0.02%,"$358,202","$458,335",0.78,https://dexscreener.com/optimism/0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9
optimism,OVER,$0.268300,-3.62%,"$51,831","$979,837",0.05,https://dexscreener.com/optimism/0x1eaa860dca29a5124f665f7d80affed92e877681
optimism,MOOBIFI,$184.450000,-2.54%,"$18,927","$346,043",0.05,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,OPP,$0.000437,11.91%,"$16,228","$169,967",0.10,https://dexscreener.com/optimism/0x62191c893df8d26ac295ba1274a00975dc07190c
optimism,TAROT,$0.052460,1.13%,"$3,166","$453,858",0.01,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
base,KUDABERI,$0.003300,10.26%,"$3,513,929","$361,664",9.72,https://dexscreener.com/base/0x29d7c815b9cdc72fd6cddf35b8aa4cc6d0cbf517
base,ZORA,$0.042490,-3.84%,"$2,581,776","$11,549,016",0.22,https://dexscreener.com/base/0xedc625b74537ee3a10874f53d170e9c17a906b9c
base,RUSSELL,$0.007507,56.72%,"$1,320,558","$719,533",1.84,https://dexscreener.com/base/0xea8b7ed6170e0ea3703dde6b496b065a8ececd7b
base,VVV,$2.250000,19.35%,"$1,242,609","$6,776,777",0.18,https://dexscreener.com/base/0x01784ef301d79e4b2df3a21ad9a536d4cf09a5ce
base,REI,$0.020030,19.31%,"$965,198","$2,279,920",0.42,https://dexscreener.com/base/0x34e3334e845d101205394e0bd8821fddc7cd5559
arbitrum,GNS,$1.130000,-1.13%,"$179,476","$637,607",0.28,https://dexscreener.com/arbitrum/0x9b6ff025aee245d314c09f57b72f0de6e231c3a6
arbitrum,MAFLD,$0.005067,906.00%,"$66,302","$191,344",0.35,https://dexscreener.com/arbitrum/0x4e1837bb647c982b7b3e698d677bb0c47a01615a
arbitrum,ZRO,$1.410000,1.27%,"$22,326","$59,614",0.37,https://dexscreener.com/arbitrum/0x105ba85d9047daf3f9fe941d8188d4b9a6900388
arbitrum,T,$0.003071,4.30%,"$13,923","$288,840",0.05,https://dexscreener.com/arbitrum/0xd971ff5a7530919ae67e06695710b262a72e8f2f
arbitrum,PEAR,$0.029590,-0.45%,"$13,757","$997,737",0.01,https://dexscreener.com/arbitrum/0x299c7d6f2ef82cb52b2ab83b14f05c6b2b803aba
bsc,RIVER,$23.430000,1.58%,"$8,774,525","$162,370",54.04,https://dexscreener.com/bsc/0xb249b6e4ac29301f680963a45fac7d09779ef980
bsc,CRYPTO WINTER,$0.000705,4008.00%,"$4,231,471","$115,308",36.70,https://dexscreener.com/bsc/0x8e5f900d2b9a1d344c181058e8a2b4af9cd86d3e
